population,scope,method,control,metric,source_images,selection_data,gain,ci_low,ci_high
development,1.0,raw_quality,raw_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,1.0,raw_quality,raw_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,1.0,raw_quality,raw_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,1.0,raw_quality,raw_goodput,psnr_db,100,calibration_only,0.0,0.0,0.0
development,1.0,raw_quality,raw_goodput,lpips,100,calibration_only,0.0,0.0,0.0
development,1.0,raw_quality,raw_goodput,dino,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_goodput,psnr_db,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_goodput,lpips,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_goodput,dino,100,calibration_only,0.0,0.0,0.0
development,1.0,raw_quality,arithmetic_quality,psnr_db,100,calibration_only,-0.0723367373148601,-0.16974064159393312,-0.006249981800715272
development,1.0,raw_quality,arithmetic_quality,lpips,100,calibration_only,0.002184279772142568,-0.00043940849384913874,0.005040210608703393
development,1.0,raw_quality,arithmetic_quality,dino,100,calibration_only,0.0004991721113522885,-0.002280619954069454,0.004373246356844907
development,1.0,arithmetic_quality,raw_m7,psnr_db,100,calibration_only,0.0723367373148601,0.006249981800715265,0.1697406415939331
development,1.0,arithmetic_quality,raw_m7,lpips,100,calibration_only,-0.002184279772142568,-0.005040210608703393,0.00043940849384913673
development,1.0,arithmetic_quality,raw_m7,dino,100,calibration_only,-0.0004991721113522885,-0.004373246356844907,0.0022806199540694534
development,1.0,arithmetic_quality,raw_m8,psnr_db,100,calibration_only,1.5147538375854492,1.1700641198952995,1.890573738892873
development,1.0,arithmetic_quality,raw_m8,lpips,100,calibration_only,-0.056005126163363464,-0.068473251717786,-0.04448701046096783
development,1.0,arithmetic_quality,raw_m8,dino,100,calibration_only,0.0928950311243534,0.07253137662261723,0.11488326562320195
development,1.0,arithmetic_quality,raw_m9,psnr_db,100,calibration_only,8.259150285720827,7.663424798488617,8.885032670855521
development,1.0,arithmetic_quality,raw_m9,lpips,100,calibration_only,-0.4719828182210524,-0.49293946327331156,-0.4515783171628913
development,1.0,arithmetic_quality,raw_m9,dino,100,calibration_only,0.8172104894369842,0.7997416256735257,0.8346127772783708
development,1.0,arithmetic_quality,arithmetic_m7,psnr_db,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_m7,lpips,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_m7,dino,100,calibration_only,0.0,0.0,0.0
development,1.0,arithmetic_quality,arithmetic_m8,psnr_db,100,calibration_only,3.1055468845367433,2.7142993880510327,3.499242464900017
development,1.0,arithmetic_quality,arithmetic_m8,lpips,100,calibration_only,-0.1681752704146007,-0.18659274551318958,-0.15010624895741542
development,1.0,arithmetic_quality,arithmetic_m8,dino,100,calibration_only,0.21534295742710427,0.18511767357960346,0.24671598936182756
development,1.0,arithmetic_quality,arithmetic_m9,psnr_db,100,calibration_only,7.449362942377729,6.9782940050760915,7.924364590525627
development,1.0,arithmetic_quality,arithmetic_m9,lpips,100,calibration_only,-0.4219132716829578,-0.43905446030137446,-0.40455806283311296
development,1.0,arithmetic_quality,arithmetic_m9,dino,100,calibration_only,0.5352722022403033,0.50512102312843,0.5650083437680733
development,1.0,arithmetic_quality,raw_reliability,psnr_db,100,calibration_only,0.0723367373148601,0.006249981800715265,0.1697406415939331
development,1.0,arithmetic_quality,raw_reliability,lpips,100,calibration_only,-0.002184279772142568,-0.005040210608703393,0.00043940849384913673
development,1.0,arithmetic_quality,raw_reliability,dino,100,calibration_only,-0.0004991721113522885,-0.004373246356844907,0.0022806199540694534
development,1.0,arithmetic_quality,raw_quality,psnr_db,100,calibration_only,0.0723367373148601,0.006249981800715265,0.1697406415939331
development,1.0,arithmetic_quality,raw_quality,lpips,100,calibration_only,-0.002184279772142568,-0.005040210608703393,0.00043940849384913673
development,1.0,arithmetic_quality,raw_quality,dino,100,calibration_only,-0.0004991721113522885,-0.004373246356844907,0.0022806199540694534
development,1.0,arithmetic_quality,raw_goodput,psnr_db,100,calibration_only,0.0723367373148601,0.006249981800715265,0.1697406415939331
development,1.0,arithmetic_quality,raw_goodput,lpips,100,calibration_only,-0.002184279772142568,-0.005040210608703393,0.00043940849384913673
development,1.0,arithmetic_quality,raw_goodput,dino,100,calibration_only,-0.0004991721113522885,-0.004373246356844907,0.0022806199540694534
development,1.0,arithmetic_quality,old_raw_adaptive,psnr_db,100,calibration_only,0.0723367373148601,0.006249981800715265,0.1697406415939331
development,1.0,arithmetic_quality,old_raw_adaptive,lpips,100,calibration_only,-0.002184279772142568,-0.005040210608703393,0.00043940849384913673
development,1.0,arithmetic_quality,old_raw_adaptive,dino,100,calibration_only,-0.0004991721113522885,-0.004373246356844907,0.0022806199540694534
development,1.0,arithmetic_quality,r2__full_grid_innovation,psnr_db,100,calibration_only,-1.6864518801371258,-1.8610792252222692,-1.5044378331502282
development,1.0,arithmetic_quality,r2__full_grid_innovation,lpips,100,calibration_only,-0.05553609528889259,-0.06226103536443164,-0.04903687461900215
development,1.0,arithmetic_quality,r2__full_grid_innovation,dino,100,calibration_only,0.2615898025035858,0.23582215481996535,0.28837885216126835
development,1.0,arithmetic_quality,r3__full_grid_prediction_features,psnr_db,100,calibration_only,-1.5093256918589273,-1.6900881996154784,-1.3214267129898072
development,1.0,arithmetic_quality,r3__full_grid_prediction_features,lpips,100,calibration_only,-0.053942250994344555,-0.060502801213413476,-0.047756736195025344
