population,scope,method,source_images,psnr_db,lpips,dino
development,1.0,raw_m7,100,18.019461431503295,0.23666967991739515,0.8486799637476604
development,1.0,raw_m8,100,16.577044331232706,0.290490526308616,0.7552857605119547
development,1.0,raw_m9,100,9.83264788309733,0.7064682183663051,0.030970302199323972
development,1.0,arithmetic_m7,100,18.09179816881816,0.23448540014525257,0.8481807916363081
development,1.0,arithmetic_m8,100,14.986251284281414,0.4026606705598534,0.6328378342092036
development,1.0,arithmetic_m9,100,10.642435226440432,0.6563986718282103,0.31290858939600485
development,1.0,raw_reliability,100,18.019461431503295,0.23666967991739515,0.8486799637476604
development,1.0,raw_quality,100,18.019461431503295,0.23666967991739515,0.8486799637476604
development,1.0,raw_goodput,100,18.019461431503295,0.23666967991739515,0.8486799637476604
development,1.0,arithmetic_reliability,100,18.09179816881816,0.23448540014525257,0.8481807916363081
development,1.0,arithmetic_quality,100,18.09179816881816,0.23448540014525257,0.8481807916363081
development,1.0,arithmetic_goodput,100,18.09179816881816,0.23448540014525257,0.8481807916363081
development,1.0,old_raw_adaptive,100,18.019461431503295,0.23666967991739515,0.8486799637476604
development,1.0,r2__full_grid_innovation,100,19.778250048955282,0.2900214954341452,0.5865909891327221
development,1.0,r3__full_grid_prediction_features,100,19.60112386067708,0.2884276511395971,0.5838336571057637
development,1.0,perceptual_deepjscc,100,23.327992089589433,0.25084112835427125,0.41658232957745606
development,1.0,wetok_8PSK_FEC,100,9.443471676508587,0.7082823459307354,0.011198467655728262
development,1.0,legacy_Deep_nominal_condition,100,23.327992089589433,0.25084112835427125,0.41658232957745606
development,4.0,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,4.0,raw_m8,100,19.69081347465515,0.1771490621877213,0.8897491864363352
development,4.0,raw_m9,100,12.484179321924847,0.563830238878727,0.15705728359209994
development,4.0,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,4.0,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,4.0,arithmetic_m9,100,16.40778059005737,0.3487309962138533,0.6859063872943321
development,4.0,raw_reliability,100,19.69081347465515,0.1771490621877213,0.8897491864363352
development,4.0,raw_quality,100,19.69081347465515,0.1771490621877213,0.8897491864363352
development,4.0,raw_goodput,100,19.69081347465515,0.1771490621877213,0.8897491864363352
development,4.0,arithmetic_reliability,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,4.0,arithmetic_quality,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,4.0,arithmetic_goodput,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,4.0,old_raw_adaptive,100,19.69081347465515,0.1771490621877213,0.8897491864363352
development,4.0,r2__full_grid_innovation,100,21.04018185933431,0.2107444712581734,0.7948888623714448
development,4.0,r3__full_grid_prediction_features,100,20.871728995641075,0.21014884373173118,0.7976299050450325
development,4.0,perceptual_deepjscc,100,24.4515012995402,0.19849025545020896,0.5612581010659535
development,4.0,wetok_8PSK_FEC,100,9.462868615786235,0.7078815990686416,0.014985250978109736
development,4.0,legacy_Deep_nominal_condition,100,24.4515012995402,0.19849025545020896,0.5612581010659535
development,5.0,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,5.0,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,raw_m9,100,16.843313846588135,0.29115668520331384,0.7034929110606514
development,5.0,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,5.0,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,arithmetic_m9,100,19.83331341743469,0.19147246965517606,0.8723496587077777
development,5.0,raw_reliability,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,raw_quality,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,raw_goodput,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,arithmetic_reliability,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,arithmetic_quality,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,arithmetic_goodput,100,19.83331341743469,0.19147246965517606,0.8723496587077777
development,5.0,old_raw_adaptive,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,5.0,r2__full_grid_innovation,100,21.437142909367875,0.1915385607009133,0.8352208166321118
development,5.0,r3__full_grid_prediction_features,100,21.312756500244145,0.18983808226262527,0.8381966213385265
development,5.0,perceptual_deepjscc,100,24.804319947560625,0.19535827595740554,0.6064057193696499
development,5.0,wetok_8PSK_FEC,100,9.484017629623413,0.7061627872784934,0.016790388161316512
development,5.0,legacy_Deep_nominal_condition,100,11.266093397140503,0.7367856798569362,0.055079653502131516
development,6.0,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,6.0,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,6.0,raw_m9,100,20.46142603556315,0.15426895695428053,0.9028729265928268
development,6.0,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,6.0,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,6.0,arithmetic_m9,100,21.08149687131246,0.14141902932276326,0.9201121548811594
development,6.0,raw_reliability,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,6.0,raw_quality,100,20.46142603556315,0.15426895695428053,0.9028729265928268
development,6.0,raw_goodput,100,19.691623792648315,0.17714132828637957,0.8897296416759491
