family,rule,snr_db,mode
raw,reliability,1.0,7
raw,reliability,4.0,8
raw,reliability,5.0,8
raw,reliability,6.0,8
raw,reliability,7.0,8
raw,reliability,13.0,9
raw,reliability,19.0,9
raw,quality,1.0,7
raw,quality,4.0,8
raw,quality,5.0,8
raw,quality,6.0,9
raw,quality,7.0,9
raw,quality,13.0,9
raw,quality,19.0,9
raw,goodput,1.0,7
raw,goodput,4.0,8
raw,goodput,5.0,8
raw,goodput,6.0,8
raw,goodput,7.0,9
raw,goodput,13.0,9
raw,goodput,19.0,9
arithmetic,reliability,1.0,7
arithmetic,reliability,4.0,8
arithmetic,reliability,5.0,8
arithmetic,reliability,6.0,9
arithmetic,reliability,7.0,9
arithmetic,reliability,13.0,9
arithmetic,reliability,19.0,9
arithmetic,quality,1.0,7
arithmetic,quality,4.0,8
arithmetic,quality,5.0,8
arithmetic,quality,6.0,9
arithmetic,quality,7.0,9
arithmetic,quality,13.0,9
arithmetic,quality,19.0,9
arithmetic,goodput,1.0,7
arithmetic,goodput,4.0,8
arithmetic,goodput,5.0,9
arithmetic,goodput,6.0,9
arithmetic,goodput,7.0,9
arithmetic,goodput,13.0,9
arithmetic,goodput,19.0,9
