method,complex_uses,scope,source_images,timing_rows,TX_mean_ms,RX_mean_ms,TX_p95_ms,RX_p95_ms,single_method_peak_allocated_MiB,communication_parameters,NFE_mean,scope_note
raw_adaptive,3060,snr_1,32,96,9.34920740655798,61.84473273879121,9.499895997578278,63.01986125254189,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
arithmetic_adaptive,3060,snr_1,32,96,50.27269215679553,69.43852631199357,54.04388425449724,70.51228399723186,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
perceptual_deepjscc,3060,snr_1,32,96,2.265020113706366,3.0104638854027144,2.574731995991897,3.0409807441174053,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
wetok_r3,3060,snr_1,32,96,29.491109489905888,39.39851879249545,29.643606503668707,39.62968324412941,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
raw_adaptive,3060,snr_4,32,96,9.938155865559867,62.24130490727475,10.09134150808677,63.60544599738205,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
arithmetic_adaptive,3060,snr_4,32,96,58.476490708623416,73.93388886400012,59.65936350185075,75.1249069980986,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
perceptual_deepjscc,3060,snr_4,32,96,2.2688685007778986,3.0155705729460656,2.549538003222551,3.066653502173722,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
wetok_r3,3060,snr_4,32,96,29.472625719184485,39.43256531192674,29.60955925300368,39.555141247547,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
raw_adaptive,3060,snr_7,32,96,10.932851686902723,62.98878624966164,11.143522493512137,63.62926375368261,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
arithmetic_adaptive,3060,snr_7,32,96,72.0900549798292,81.7754940106473,73.24975775554776,82.98961275067995,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
perceptual_deepjscc,3060,snr_7,32,96,2.241594177273025,3.0439130003590735,2.530219757318264,3.0674907502543647,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
wetok_r3,3060,snr_7,32,96,29.493411156029957,39.38004303139071,29.650457996467594,39.61654500380973,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
raw_adaptive,3060,snr_13,32,96,10.95866275015093,62.82216754137456,11.294811745756306,63.93871349064284,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
arithmetic_adaptive,3060,snr_13,32,96,72.14920842625361,81.79239528029333,73.54321925595286,83.50786298979074,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
perceptual_deepjscc,3060,snr_13,32,96,2.252754802157142,3.0293549466478,2.5973617484851275,3.1234617417794652,,,0,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model
