population,image_index,image_id,source_pixels_sha256,class_index,snr_db,seed,family,mode,header_accepted,body_crc_accepted,header_fields_correct,payload_bits_correct,receiver_label,receiver_mode,receiver_length_field,payload_key,standard_noise_sha256,received_sha256,transmitted_sha256,header_crc_bits,data_crc_bits,tail_bits_per_block,data_coded_bits,data_mother_coded_bits,header_uses,data_uses,complex_uses,total_energy,raw_payload_bits,actual_payload_bits,length_field,method,protocol,prefix_sha256,source_correct,accepted_correct,source_bit_error_rate,candidate_prefix_scales,source_complete,arithmetic_padding_reads,source_error,image_archive,image_slot,psnr_db,lpips,dino,ssim,image_sha256,metric_origin,all_failures_retained
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4101,raw,7,1,1,1,1,0,7,0,payload_0000,691459d153a805b71d271027b7ab762dd2088b8a265b12bbdf70c08297768f4d,d00200c3e19bd2f9af2c1827bf3d2600fb5446e779e0ea14d38bd7c162912acf,df88f14b4aca07e6c405ae7d2385c23883f7d099eba8f4e0d6250cbec8ec3af3,16,16,6,8272,3764,68,4136,4204,8408.0,1860,1860,0,raw_m7_N4204,common_paid_information,e4b06a86cafb5e2ab172b3df6e7434d7ba337c799c8ac9bce6422e6769784c05,1,1,0.0,7,1,0,,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/CALIBRATION_001/images/0000/reconstructions.npz,3,18.83089256286621,0.2445119321346283,0.8896205425262451,0.41869568824768066,4c858d43d1c7be9632463fb29c0efbe28165ad70cddbdce153d82c549f913cfd,identical_observable_RX_argument_memoization,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4101,raw,8,1,0,1,0,0,8,0,payload_0001,691459d153a805b71d271027b7ab762dd2088b8a265b12bbdf70c08297768f4d,4ef17f0b587b9daac91e96f568b64a4e4df1d75cecf585403a804c5e686da117,ac75799b2e07afb38d76d6c57898f5241f8cf040cdb9e47ffdfabe63415e7806,16,16,6,8272,6164,68,4136,4204,8408.0,3060,3060,0,raw_m8_N4204,common_paid_information,2d059da27e6bad9ce0bf06fcb3d1d312d525d640cb038dde35da794bab151d61,0,0,0.0032679738562091504,8,1,0,,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/digital_calibration_001/images/0000/reconstructions.npz,0,20.307828903198242,0.18084131181240082,0.9300205707550049,0.4765220284461975,c0783bf06256bbf0f25957420a83c3ab4b0101ae64c99962b334022326543af1,new_actual_RX_render,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4101,raw,9,1,0,1,0,0,9,0,payload_0002,691459d153a805b71d271027b7ab762dd2088b8a265b12bbdf70c08297768f4d,56665688f04c581529e76ec8d6e46db59e78449926d6af76779fe79ad4aa42db,f00b1ac9b4d0839d943c9fb5215239af2d8a1e726129928d288044e4911df60c,16,16,6,8272,10220,68,4136,4204,8408.0,5088,5088,0,raw_m9_N4204,common_paid_information,162d36bd57db1bb568ea792488c7c906cabb08a87c32a927d85d79490368c3de,0,0,0.24724842767295596,9,1,0,,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/digital_calibration_001/images/0000/reconstructions.npz,1,12.259058952331543,0.5537862777709961,0.19926679134368896,0.22221601009368896,b1334305e52e6a08a8e19c61cb60dddd359202238b96c15fafc746f8029b0a83,new_actual_RX_render,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4101,arithmetic,7,1,1,1,1,0,7,1558,payload_0003,691459d153a805b71d271027b7ab762dd2088b8a265b12bbdf70c08297768f4d,c3281f7b8c76fc28ad5428af2a4c2af3c5b3674ab56662bd5c69385caf2012e9,de1fccee35f37dc6bc3d2dac662f8bb2fff4ee59a54f10cb866a50d34e2b7d51,16,16,6,8220,3160,94,4110,4204,8408.0,1860,1558,1558,arithmetic_m7_N4204,common_paid_information,e4b06a86cafb5e2ab172b3df6e7434d7ba337c799c8ac9bce6422e6769784c05,1,1,0.0,7,1,30,,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/CALIBRATION_001/images/0000/reconstructions.npz,3,18.83089256286621,0.2445119321346283,0.8896205425262451,0.41869568824768066,4c858d43d1c7be9632463fb29c0efbe28165ad70cddbdce153d82c549f913cfd,identical_observable_RX_argument_memoization,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4101,arithmetic,8,1,1,1,1,0,8,2539,payload_0004,691459d153a805b71d271027b7ab762dd2088b8a265b12bbdf70c08297768f4d,bcd1af00cb34ab2017f17255d5fb1f153aadcb5a92529089d32ea2a360d652a9,001435e2d399fbc9df4374020e9e0b86040d0f7f8b52441d0fa21c82452c5395,16,16,6,8220,5122,94,4110,4204,8408.0,3060,2539,2539,arithmetic_m8_N4204,common_paid_information,21c76ffb0015c43ead607ca38b6570e6138f808d36953e3f9a2013abe036018b,1,1,0.0,8,1,0,,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/CALIBRATION_001/images/0000/reconstructions.npz,14,20.527027130126953,0.17093044519424438,0.935559868812561,0.4852798581123352,bef658ef50b694e763ed7708d4b07811bce69f06c90b63624e63205ccac397bc,identical_observable_RX_argument_memoization,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4101,arithmetic,9,1,0,1,0,0,9,4025,payload_0005,691459d153a805b71d271027b7ab762dd2088b8a265b12bbdf70c08297768f4d,5dfe4815d570194a9df5c0bf4f6c4d178e88933898a75a7580862ba0cc32d99e,47a7b2fb850365d8132ba8f3a7295b9a4671b63b6aa32b526605131f5ebd1fdd,16,16,6,8220,8094,94,4110,4204,8408.0,5088,4025,4025,arithmetic_m9_N4204,common_paid_information,bb5bb63720f4c77ed5c00ac1dbeeae17cccf2ef774a62fbbc2df9d2f910b0003,0,0,0.4946933962264151,9,1,266,,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/digital_calibration_001/images/0000/reconstructions.npz,2,13.841259002685547,0.5009769201278687,0.6691299676895142,0.25028809905052185,609813752ead423bc458724518ae59235968076eec5dba416a24bbb9bd0b0f90,new_actual_RX_render,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4102,raw,7,1,1,1,1,0,7,0,payload_0006,234fc3e99135461be577c0ebe83237415670e81b16088249799c0620a669f315,87d0c4725d927469f3190b39a46e1f176b8bce1abcfddf53da7877e668594ac2,df88f14b4aca07e6c405ae7d2385c23883f7d099eba8f4e0d6250cbec8ec3af3,16,16,6,8272,3764,68,4136,4204,8408.0,1860,1860,0,raw_m7_N4204,common_paid_information,e4b06a86cafb5e2ab172b3df6e7434d7ba337c799c8ac9bce6422e6769784c05,1,1,0.0,7,1,0,,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/CALIBRATION_001/images/0000/reconstructions.npz,3,18.83089256286621,0.2445119321346283,0.8896205425262451,0.41869568824768066,4c858d43d1c7be9632463fb29c0efbe28165ad70cddbdce153d82c549f913cfd,identical_observable_RX_argument_memoization,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4102,raw,8,1,1,1,1,0,8,0,payload_0007,234fc3e99135461be577c0ebe83237415670e81b16088249799c0620a669f315,9280114154fe3bdd6bca8366b9555d8f1bfb63090b15a82ca260f4de0af3f35b,ac75799b2e07afb38d76d6c57898f5241f8cf040cdb9e47ffdfabe63415e7806,16,16,6,8272,6164,68,4136,4204,8408.0,3060,3060,0,raw_m8_N4204,common_paid_information,21c76ffb0015c43ead607ca38b6570e6138f808d36953e3f9a2013abe036018b,1,1,0.0,8,1,0,,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/CALIBRATION_001/images/0000/reconstructions.npz,14,20.527027130126953,0.17093044519424438,0.935559868812561,0.4852798581123352,bef658ef50b694e763ed7708d4b07811bce69f06c90b63624e63205ccac397bc,identical_observable_RX_argument_memoization,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4102,raw,9,1,0,1,0,0,9,0,payload_0008,234fc3e99135461be577c0ebe83237415670e81b16088249799c0620a669f315,0d332226653b924045ce7a51058452ee6ead0052530ea66d85325d62de4ccb07,f00b1ac9b4d0839d943c9fb5215239af2d8a1e726129928d288044e4911df60c,16,16,6,8272,10220,68,4136,4204,8408.0,5088,5088,0,raw_m9_N4204,common_paid_information,4527f8aeec5a11837377fd5162c58a8acfb25fe92aece6c2a877a79cb938c018,0,0,0.2460691823899371,9,1,0,,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/digital_calibration_001/images/0000/reconstructions.npz,3,12.54258918762207,0.5479930639266968,0.0236292015761137,0.2288876622915268,dd7eb1b5e76349188554878b98a20dc74e93c8547a056edb3d592d58381e5d15,new_actual_RX_render,True
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,4e3e42f45d76214ba1326cb6e9eb921281cdbbf2d4b4e43200f658b9877f82aa,0,1.0,4102,arithmetic,7,1,1,1,1,0,7,1558,payload_0009,234fc3e99135461be577c0ebe83237415670e81b16088249799c0620a669f315,e4793befc32eae61d0e19234de2f8252f46da3ce68d30907b01bae2b3ad8dcba,de1fccee35f37dc6bc3d2dac662f8bb2fff4ee59a54f10cb866a50d34e2b7d51,16,16,6,8220,3160,94,4110,4204,8408.0,1860,1558,1558,arithmetic_m7_N4204,common_paid_information,e4b06a86cafb5e2ab172b3df6e7434d7ba337c799c8ac9bce6422e6769784c05,1,1,0.0,7,1,30,,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/CALIBRATION_001/images/0000/reconstructions.npz,3,18.83089256286621,0.2445119321346283,0.8896205425262451,0.41869568824768066,4c858d43d1c7be9632463fb29c0efbe28165ad70cddbdce153d82c549f913cfd,identical_observable_RX_argument_memoization,True
