method,complex_uses,scope,source_images,timing_rows,TX_mean_ms,RX_mean_ms,TX_p95_ms,RX_p95_ms,single_method_peak_allocated_MiB,communication_parameters,NFE_mean,scope_note
arithmetic_adaptive_N4204,4204,snr_1,32,96,56.616619592811425,72.78771257460903,58.08616476133466,73.87078450119589,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_4,32,96,70.33120125106507,80.5278817300253,71.5522815080476,82.25642075558426,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_7,32,96,70.45225223100715,80.55867801097823,72.50422375363996,82.27455025917152,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_13,32,96,70.31461998849409,80.54672475100233,71.68517024547327,81.98932250525104,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_19,32,96,70.32373423893053,80.53660457244405,71.51733250066172,82.50280450010905,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,primary_1_4_7,32,288,65.80002435829455,77.95809077187086,72.02055500383722,82.06095290661324,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,high_13_19,32,192,70.31917711371231,80.54166466172319,71.66986669471953,82.4239340116037,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_1,32,96,56.69105666584073,72.80229424244074,58.00160024227807,74.36785975005478,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_4,32,96,70.41442765603279,80.8609888117644,71.76606875873404,83.21860825526528,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_7,32,96,70.47507465661813,80.7131781997062,72.16768000944285,82.76393199776066,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_13,32,96,70.29892847882972,80.51721726254375,71.48293624049984,82.27858073951211,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_19,32,96,70.38094490659812,80.52940631265908,71.54853374231607,82.02646074641962,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
