file,image_index,snr_db,seed,method,complex_uses,image_archive,image_slot,selection
raw_adaptive_source0000_snr1_seed2001.png,0,1.0,2001,raw_adaptive,3060,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,preregistered_indices_and_noise_not_quality_selected
arithmetic_adaptive_source0000_snr1_seed2001.png,0,1.0,2001,arithmetic_adaptive,3060,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,preregistered_indices_and_noise_not_quality_selected
wetok_r3_source0000_snr1_seed2001.png,0,1.0,2001,wetok_r3,3060,/workspace/projects/VAR_COMM/outputs/WETOK-REENCODING-VECTOR-CONTROL-R3-EVALUATION/quality_0010000/images/000/reconstructions.npz,0,preregistered_indices_and_noise_not_quality_selected
perceptual_deepjscc_source0000_snr1_seed2001.png,0,1.0,2001,perceptual_deepjscc,3060,/workspace/projects/VAR_COMM/outputs/VAR-PREFIX-JSCC-EVAL-001/images/000/reconstructions.npz,2,preregistered_indices_and_noise_not_quality_selected
swin_ra32_source0000_snr1_seed2001.png,0,1.0,2001,swin_ra32,4498,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/development_swin_001/frames/rate32_seed2001_snr1_source0000/reconstructions.npz,0,preregistered_indices_and_noise_not_quality_selected
adjscc_c2_source0000_snr1_seed2001.png,0,1.0,2001,adjscc_c2,4096,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/development_adjscc_001/frames/rate2_seed2001_snr1_source0000/reconstructions.npz,0,preregistered_indices_and_noise_not_quality_selected
raw_adaptive_N4498_source0000_snr1_seed2001.png,0,1.0,2001,raw_adaptive_N4498,4498,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/digital_development_001/images/0000/reconstructions.npz,5,preregistered_equal_N4498_sources_and_noise_not_quality_selected
arithmetic_adaptive_N4498_source0000_snr1_seed2001.png,0,1.0,2001,arithmetic_adaptive_N4498,4498,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,13,preregistered_equal_N4498_sources_and_noise_not_quality_selected
swin_ra32_source0000_snr1_seed2001.png,0,1.0,2001,swin_ra32,4498,/workspace/projects/VAR_COMM/outputs/EXTERNAL-BASELINE-POSITIONING-20260916/development_swin_001/frames/rate32_seed2001_snr1_source0000/reconstructions.npz,0,preregistered_equal_N4498_sources_and_noise_not_quality_selected
raw_adaptive_source0000_snr7_seed2001.png,0,7.0,2001,raw_adaptive,3060,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,30,preregistered_indices_and_noise_not_quality_selected
arithmetic_adaptive_source0000_snr7_seed2001.png,0,7.0,2001,arithmetic_adaptive,3060,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,27,preregistered_indices_and_noise_not_quality_selected
wetok_r3_source0000_snr7_seed2001.png,0,7.0,2001,wetok_r3,3060,/workspace/projects/VAR_COMM/outputs/WETOK-REENCODING-VECTOR-CONTROL-R3-EVALUATION/quality_0010000/images/000/reconstructions.npz,12,preregistered_indices_and_noise_not_quality_selected
