scope,method,complex_uses,total_energy,psnr_db,ssim,lpips,dino,TX_mean_ms,RX_mean_ms,RX_p95_ms,timing_source_images,timing_scope_note,quality_source_images,empirical_frontier_only_not_statistical_or_application_success,source_class_assumptions_matched,observed_nondominated_N_LPIPS_PSNR_RX,observed_dominators
primary_1_4_7,adjscc_c2,4096,8192,24.759968944125706,0.7000082580579652,0.3386680685107906,0.5774881430466972,3.4731807107325747,24.17080025935623,24.238655032240786,100,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded,100,True,False,True,
high_13_19,adjscc_c2,4096,8192,27.614722270965576,0.7989690346519152,0.24345812393041946,0.8084365373353163,3.466653579719908,24.17012103450058,24.236792749434244,100,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded,100,True,False,True,
primary_1_4_7,adjscc_c4,8192,16384,27.187584582434766,0.7845278463098738,0.2121266067731712,0.7714269697997306,3.3095613405587048,24.2505941553908,24.316003831336275,100,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded,100,True,False,True,
high_13_19,adjscc_c4,8192,16384,30.27840483665466,0.8729044533769289,0.12006838292038687,0.9216364767154057,3.308099923063613,24.2512387073657,24.325070763006806,100,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded,100,True,False,True,
primary_1_4_7,adjscc_c6,12288,24576,27.98753743065728,0.8147677244080437,0.16453692243020568,0.8295336720678541,3.3335663046131634,24.30690570081222,24.370913486927748,100,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded,100,True,False,True,
high_13_19,adjscc_c6,12288,24576,31.173228203455597,0.898664642473062,0.07229192410518104,0.9525955983996391,3.3320673979081525,24.30751863362578,24.378897197311744,100,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded,100,True,False,True,
primary_1_4_7,arithmetic_adaptive,3060,6120,19.669175090789796,0.5117587086020244,0.1825800808167292,0.8872288244631555,60.27974594841605,75.04930306221367,82.22911719421973,32,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model,100,True,False,True,
high_13_19,arithmetic_adaptive,3060,6120,21.24372802734375,0.5698160606622696,0.1358956206962466,0.9238587516546249,72.28377182764234,82.07251205165753,83.73648074557423,32,sealed_previous_session_CPU_to_CPU; co-resident memory not attributed per model,100,True,False,False,perceptual_deepjscc;raw_adaptive;wetok_r3
primary_1_4_7,arithmetic_adaptive_N4204,4204,8408,20.513897436989676,0.5423424998215504,0.15875383980779184,0.9024934788544974,65.80002435829455,77.95809077187086,82.06095290661324,32,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU,100,True,False,False,raw_adaptive_N4204
high_13_19,arithmetic_adaptive_N4204,4204,8408,21.24372802734375,0.5698160506784916,0.1358956206962466,0.9238587516546249,70.31917711371231,80.54166466172319,82.4239340116037,32,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU,100,True,False,False,perceptual_deepjscc;raw_adaptive;raw_adaptive_N4204;wetok_r3
primary_1_4_7,arithmetic_adaptive_N4498,4498,8996,20.605341298845083,0.5455119654370679,0.15538294629297325,0.9054897852738699,65.86018632616388,78.12548708463711,82.7096096065361,32,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU,100,True,False,False,raw_adaptive_N4498
