complex_uses,scope,method,control,metric,mean_difference,ci_low,ci_high,source_images,bootstrap_resamples
4204,snr_1,raw,arithmetic,psnr_db,0.14412293752034505,-0.048670751253763495,0.3455341998736063,100,10000
4204,snr_1,raw,arithmetic,ssim,0.012627886893848575,0.005782685015040139,0.020221033978586385,100,10000
4204,snr_1,raw,arithmetic,lpips,-0.013354731251796086,-0.021745006952434764,-0.005648775122438873,100,10000
4204,snr_1,raw,arithmetic,dino,0.020075698296229048,0.009317936584353445,0.03185946593185266,100,10000
4204,snr_4,raw,arithmetic,psnr_db,-0.01345362981160486,-0.10330588197708133,0.0788630671501158,100,10000
4204,snr_4,raw,arithmetic,ssim,0.002147550731897356,-0.0008995780237019067,0.005749967717876039,100,10000
4204,snr_4,raw,arithmetic,lpips,-0.000683610439300536,-0.00516297933893899,0.0035765977709864573,100,10000
4204,snr_4,raw,arithmetic,dino,-0.000647280613581338,-0.005153335099418957,0.004108452409505848,100,10000
4204,snr_7,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4204,snr_7,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4204,snr_7,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4204,snr_7,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
4204,snr_13,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4204,snr_13,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4204,snr_13,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4204,snr_13,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
4204,snr_19,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4204,snr_19,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4204,snr_19,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4204,snr_19,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
4204,primary_1_4_7,raw,arithmetic,psnr_db,0.043556435902913596,-0.029747639073265813,0.12103170739279871,100,10000
4204,primary_1_4_7,raw,arithmetic,ssim,0.004925145875248643,0.0023063901778724405,0.007771583080809145,100,10000
4204,primary_1_4_7,raw,arithmetic,lpips,-0.00467944723036554,-0.00806898251093096,-0.001501185591746535,100,10000
4204,primary_1_4_7,raw,arithmetic,dino,0.006476139227549244,0.0026776982396841224,0.010580059164100233,100,10000
4204,high_13_19,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4204,high_13_19,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4204,high_13_19,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4204,high_13_19,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
4498,snr_1,raw,arithmetic,psnr_db,0.17925984700520822,0.0220841432412465,0.3464065235455826,100,10000
4498,snr_1,raw,arithmetic,ssim,0.011572172790765762,0.0053800694830715605,0.018914618682116264,100,10000
4498,snr_1,raw,arithmetic,lpips,-0.012825332110126812,-0.020516814243358876,-0.006138122706363595,100,10000
4498,snr_1,raw,arithmetic,dino,0.0216636327902476,0.011023728092511495,0.034043733544647695,100,10000
4498,snr_4,raw,arithmetic,psnr_db,-0.05379259745279949,-0.13125474747021992,-0.004913414239883522,100,10000
4498,snr_4,raw,arithmetic,ssim,-0.0005027771989504509,-0.001589893282701574,0.0006711139505108193,100,10000
4498,snr_4,raw,arithmetic,lpips,0.0006416482416292033,-0.0008030313525038459,0.002550200251551966,100,10000
4498,snr_4,raw,arithmetic,dino,-0.00035073459148406985,-0.0020385934213797197,0.0014115544309218685,100,10000
4498,snr_7,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4498,snr_7,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4498,snr_7,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4498,snr_7,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
4498,snr_13,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4498,snr_13,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4498,snr_13,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4498,snr_13,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
4498,snr_19,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4498,snr_19,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4498,snr_19,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4498,snr_19,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
4498,primary_1_4_7,raw,arithmetic,psnr_db,0.04182241651746972,-0.015662839439179933,0.10206718444824221,100,10000
4498,primary_1_4_7,raw,arithmetic,ssim,0.0036897985306051043,0.0015873589772317147,0.006167658201522296,100,10000
4498,primary_1_4_7,raw,arithmetic,lpips,-0.00406122795616587,-0.00672126941688152,-0.0017159838273914337,100,10000
4498,primary_1_4_7,raw,arithmetic,dino,0.007104299399587849,0.0034420143175456297,0.011338160807887722,100,10000
4498,high_13_19,raw,arithmetic,psnr_db,0.0,0.0,0.0,100,10000
4498,high_13_19,raw,arithmetic,ssim,0.0,0.0,0.0,100,10000
4498,high_13_19,raw,arithmetic,lpips,0.0,0.0,0.0,100,10000
4498,high_13_19,raw,arithmetic,dino,0.0,0.0,0.0,100,10000
