method,image_index,image_id,snr_db,seed,complex_uses,total_energy,psnr_db,ssim,lpips,dino,metric_origin,image_archive,image_slot,image_sha256,source_pixels_sha256,standard_noise_sha256,all_failures_retained
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,3060,6120,12.33504867553711,0.20740489661693573,0.2813071608543396,0.6454499363899231,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,True
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,3060,6120,12.33504867553711,0.20740489661693573,0.2813071608543396,0.6454499363899231,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,True
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,3060,6120,12.33504867553711,0.20740489661693573,0.2813071608543396,0.6454499363899231,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,True
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,3060,6120,12.33504867553711,0.20740489661693573,0.2813071608543396,0.6454499363899231,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,True
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,3060,6120,12.33504867553711,0.20740489661693573,0.2813071608543396,0.6454499363899231,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,c81ef1cac771a26cbcb719451572cd865b01a4bde7d78dab8cc53498ba2df4f5,True
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,3060,6120,12.33504867553711,0.20740489661693573,0.2813071608543396,0.6454499363899231,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,0,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,c81ef1cac771a26cbcb719451572cd865b01a4bde7d78dab8cc53498ba2df4f5,True
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,3060,6120,13.516948699951172,0.28195831179618835,0.20085062086582184,0.7360662221908569,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,13,e9998d3f265885ed6aa95a951d50a285fc28371aee7330606293da3cf7273446,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,True
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,3060,6120,13.516948699951172,0.28195831179618835,0.20085062086582184,0.7360662221908569,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,13,e9998d3f265885ed6aa95a951d50a285fc28371aee7330606293da3cf7273446,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,True
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,3060,6120,13.516948699951172,0.28195831179618835,0.20085062086582184,0.7360662221908569,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,13,e9998d3f265885ed6aa95a951d50a285fc28371aee7330606293da3cf7273446,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,True
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,3060,6120,13.516948699951172,0.28195831179618835,0.20085062086582184,0.7360662221908569,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,13,e9998d3f265885ed6aa95a951d50a285fc28371aee7330606293da3cf7273446,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,True
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,3060,6120,13.516948699951172,0.28195831179618835,0.20085062086582184,0.7360662221908569,frozen_PSNR_LPIPS_DINO_plus_common_SSIM_only,/workspace/projects/VAR_COMM/outputs/COMMUNICATION-CONVERGENCE-20260915/DEVELOPMENT_001/images/0000/reconstructions.npz,13,e9998d3f265885ed6aa95a951d50a285fc28371aee7330606293da3cf7273446,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,c81ef1cac771a26cbcb719451572cd865b01a4bde7d78dab8cc53498ba2df4f5,True
