arm,snr_db,transmissions,header_failures,body_crc_failures_with_usable_header,false_acceptances
lpips_0p01__unconditioned,1.0,300,0,300,0
lpips_0p01__unconditioned,4.0,300,0,1,0
lpips_0p01__unconditioned,7.0,300,0,0,0
lpips_0p01__unconditioned,13.0,300,0,0,0
lpips_0p01__unconditioned,19.0,300,0,0,0
lpips_0p01__conditioned,1.0,300,0,300,0
lpips_0p01__conditioned,4.0,300,0,1,0
lpips_0p01__conditioned,7.0,300,0,0,0
lpips_0p01__conditioned,13.0,300,0,0,0
lpips_0p01__conditioned,19.0,300,0,0,0
lpips_0p03__unconditioned,1.0,300,0,300,0
lpips_0p03__unconditioned,4.0,300,0,1,0
lpips_0p03__unconditioned,7.0,300,0,0,0
lpips_0p03__unconditioned,13.0,300,0,0,0
lpips_0p03__unconditioned,19.0,300,0,0,0
lpips_0p03__conditioned,1.0,300,0,300,0
lpips_0p03__conditioned,4.0,300,0,1,0
lpips_0p03__conditioned,7.0,300,0,0,0
lpips_0p03__conditioned,13.0,300,0,0,0
lpips_0p03__conditioned,19.0,300,0,0,0
lpips_0p1__unconditioned,1.0,300,0,300,0
lpips_0p1__unconditioned,4.0,300,0,1,0
lpips_0p1__unconditioned,7.0,300,0,0,0
lpips_0p1__unconditioned,13.0,300,0,0,0
lpips_0p1__unconditioned,19.0,300,0,0,0
lpips_0p1__conditioned,1.0,300,0,300,0
lpips_0p1__conditioned,4.0,300,0,1,0
lpips_0p1__conditioned,7.0,300,0,0,0
lpips_0p1__conditioned,13.0,300,0,0,0
lpips_0p1__conditioned,19.0,300,0,0,0
