arm,region,selected_step,final_5000_delta_mse,final_5000_delta_psnr_db,final_5000_delta_lpips,final_5000_delta_dino,final_5000_delta_registered_selection_score,budget_cap_not_convergence_proof
lpips_0p01__unconditioned,primary,20000,-8.021943895598904e-05,0.040051297452713186,-0.0017418077836433843,0.005698512192401695,-9.763751679242594e-05,True
lpips_0p01__unconditioned,mechanism,20000,-9.972005523741292e-05,0.06181305535634607,-0.00177166811459592,0.002927835083670116,-0.00011743673638337122,True
lpips_0p01__conditioned,primary,20000,-0.0001234928987719798,0.044641473187343905,-0.004009809760169847,0.015314804667813875,-0.00016359099637367792,True
lpips_0p01__conditioned,mechanism,20000,-6.775890942339706e-05,0.03882466782464178,-0.001365856990218156,0.0032175593160920224,-8.141747932557952e-05,True
lpips_0p03__unconditioned,primary,20000,-6.850478527162251e-05,0.03922594616148345,-0.002051260651606629,0.0058093502500818905,-0.00013004260481982305,True
lpips_0p03__unconditioned,mechanism,20000,-8.274189229834708e-05,0.060039222505356094,-0.002284618461090654,0.0043120245469940865,-0.00015128044613106628,True
lpips_0p03__conditioned,primary,20000,-7.585349563547956e-05,0.0292504923078738,-0.003235709813112997,0.009529431841853508,-0.0001729247900288701,True
lpips_0p03__conditioned,mechanism,20000,-4.184849851622367e-05,0.020841585583156075,-0.0024137127831992122,0.002451700493693365,-0.00011425988201220136,True
lpips_0p1__unconditioned,primary,20000,-6.618611145918496e-06,0.004918818473814923,-0.001256568677309472,0.00021858327670221112,-0.00013227547887686292,True
lpips_0p1__unconditioned,mechanism,20000,-2.908744958565572e-05,0.012816684722903204,-0.0015144217860781628,0.0010892746117380225,-0.00018052962819347512,True
lpips_0p1__conditioned,primary,20000,-2.3613315932582632e-05,-0.0046577782630947695,-0.002295606944710038,-0.002156829004486327,-0.00025317401040358956,True
lpips_0p1__conditioned,mechanism,20000,9.224568684455814e-06,-0.019867731094361574,-0.0027897080884625447,-0.005990486772523895,-0.00026974624016179796,True
