region,arm,reference,PSNR_minus_reference,LPIPS_minus_reference,DINO_minus_reference,mean_PSNR_LPIPS_covered,mean_three_metrics_covered,reference_is_expectation_not_deployment
primary,lpips_0p01__unconditioned,raw_adaptive,0.18293928146362323,0.048812709769441034,-0.10042475970255003,False,False,False
primary,lpips_0p01__unconditioned,arithmetic_adaptive,0.14041798167758515,0.04999587217138873,-0.10091106707851093,False,False,False
primary,lpips_0p01__unconditioned,perceptual_deepjscc,-4.568746067682902,0.027284920606762176,0.2418912012812992,True,False,False
primary,lpips_0p01__unconditioned,expected_mix_01,-0.0067087730884428255,0.0492863219059216,-0.09020101647471829,True,True,True
primary,lpips_0p01__unconditioned,expected_mix_03,-0.6180953923663507,0.04633777907493508,-0.04569530001708821,True,True,True
primary,lpips_0p01__unconditioned,expected_mix_05,0.03384911593283993,0.049481921006626337,-0.09315341656327938,False,False,True
primary,lpips_0p01__unconditioned,expected_mix_07,-0.5033095801546656,0.04689135822276705,-0.05405110083210393,True,True,True
primary,lpips_0p01__unconditioned,expected_mix_11,-0.21904969954705775,0.048262262339204144,-0.07474371864167247,True,True,True
primary,lpips_0p01__unconditioned,expected_mix_12,-0.8403819968049823,0.04526575434741329,-0.029514009361497204,True,True,True
primary,lpips_0p01__conditioned,raw_adaptive,0.8034418752458362,0.056128670142756576,-0.1168102307866017,False,False,False
primary,lpips_0p01__conditioned,arithmetic_adaptive,0.7609205754597983,0.05731183254470427,-0.11729653816256257,False,False,False
primary,lpips_0p01__conditioned,perceptual_deepjscc,-3.9482434739006895,0.03460088098007772,0.2255057301972475,True,False,False
primary,lpips_0p01__conditioned,expected_mix_01,0.6137938206937702,0.05660228227923716,-0.10658648755876994,False,False,True
primary,lpips_0p01__conditioned,expected_mix_03,0.0024072014158622677,0.05365373944825062,-0.062080771101139874,False,False,True
primary,lpips_0p01__conditioned,expected_mix_05,0.654351709715053,0.05679788137994187,-0.10953888764733101,False,False,True
primary,lpips_0p01__conditioned,expected_mix_07,0.11719301362754747,0.054207318596082604,-0.07043657191615559,False,False,True
