LPIPS_difference,LPIPS_direction_supported,PSNR_difference,PSNR_direction_supported,calibration_delta,conditioned_arm,control_arm,coverage,development_close,matching,metric_tolerance,practical_matched_advantage,region
,False,,False,,lpips_0p01__conditioned,,False,False,matched_LPIPS,0.005,False,primary
,False,,False,,lpips_0p01__conditioned,,False,False,matched_PSNR,0.1,False,primary
-0.0016609739470812982,True,0.5440037070380318,True,-0.0006172677431669493,lpips_0p03__conditioned,lpips_0p03__unconditioned,True,True,matched_LPIPS,0.005,True,primary
,False,,False,,lpips_0p03__conditioned,,False,False,matched_PSNR,0.1,False,primary
-0.005551275832371575,True,0.4066690264807806,True,-0.004713605276205485,lpips_0p1__conditioned,lpips_0p1__unconditioned,True,False,matched_LPIPS,0.005,False,primary
,False,,False,,lpips_0p1__conditioned,,False,False,matched_PSNR,0.1,False,primary
,False,,False,,lpips_0p01__conditioned,,False,False,matched_LPIPS,0.005,False,mechanism
,False,,False,,lpips_0p01__conditioned,,False,False,matched_PSNR,0.1,False,mechanism
-0.0023199565129147647,True,0.2875570827060276,True,-0.0012844469932218328,lpips_0p03__conditioned,lpips_0p03__unconditioned,True,True,matched_LPIPS,0.005,True,mechanism
,False,,False,,lpips_0p03__conditioned,,False,False,matched_PSNR,0.1,False,mechanism
-0.004805972795519562,True,0.17039187855190696,True,-0.004415507458357337,lpips_0p1__conditioned,lpips_0p1__unconditioned,True,True,matched_LPIPS,0.005,True,mechanism
-0.00881732254806492,True,-0.053333160612318305,False,-0.04957961389753507,lpips_0p1__conditioned,lpips_0p03__unconditioned,True,True,matched_PSNR,0.1,True,mechanism
