region,arm,control,metric,difference,ci_low,ci_high,source_images,involves_expected_reference
primary,expected_mix_12,arithmetic_adaptive,psnr_db,0.9807999784825673,0.9411925100685142,1.0198929269798833,100,True
primary,expected_mix_12,arithmetic_adaptive,lpips,0.004730117823975433,0.0031458005080789476,0.006374182923964889,100,True
primary,expected_mix_12,arithmetic_adaptive,dino,-0.07139705771701371,-0.07663296729683114,-0.06618425622709447,100,True
primary,expected_mix_12,arithmetic_adaptive,mse,-0.0019645734762672664,-0.0022108686981562545,-0.0017397025794589945,100,True
primary,expected_mix_12,raw_adaptive,psnr_db,1.0233212782686054,0.9807690377667334,1.0661438001651178,100,True
primary,expected_mix_12,raw_adaptive,lpips,0.0035469554220277245,0.0017912473289081769,0.0053523572004208295,100,True
primary,expected_mix_12,raw_adaptive,dino,-0.07091075034105286,-0.07635441006120615,-0.06558152046356217,100,True
primary,expected_mix_12,raw_adaptive,mse,-0.002071451687983799,-0.0023230192089175204,-0.0018367324769074532,100,True
primary,lpips_0p01__conditioned,arithmetic_adaptive,psnr_db,0.7609205754597983,0.6291607430511054,0.8898752719826166,100,False
primary,lpips_0p01__conditioned,arithmetic_adaptive,lpips,0.05731183254470427,0.05393430296341993,0.06068893673074327,100,False
primary,lpips_0p01__conditioned,arithmetic_adaptive,dino,-0.11729653816256257,-0.13022516167970993,-0.10487967778783705,100,False
primary,lpips_0p01__conditioned,arithmetic_adaptive,mse,-0.0018356814981773314,-0.0025788358814154266,-0.0010712615216236351,100,False
primary,lpips_0p01__conditioned,expected_mix_03,psnr_db,0.0024072014158622677,-0.11194935426557415,0.1151536762499415,100,True
primary,lpips_0p01__conditioned,expected_mix_03,lpips,0.05365373944825062,0.05000880769994643,0.05729895439266148,100,True
primary,lpips_0p01__conditioned,expected_mix_03,dino,-0.062080771101139874,-0.07493961230218432,-0.04928074947114511,100,True
primary,lpips_0p01__conditioned,expected_mix_03,mse,-0.00031635514343353685,-0.0009183513258869574,0.0003416921023471638,100,True
primary,lpips_0p01__conditioned,expected_mix_12,psnr_db,-0.2198794030227692,-0.3302295202190267,-0.11140652835697783,100,True
primary,lpips_0p01__conditioned,expected_mix_12,lpips,0.052581714720728846,0.048780903538715864,0.05636081038505673,100,True
primary,lpips_0p01__conditioned,expected_mix_12,dino,-0.04589948044554885,-0.058998881554575874,-0.03289066672502177,100,True
primary,lpips_0p01__conditioned,expected_mix_12,mse,0.00012889197808993468,-0.0004413943159714447,0.0007551501607612085,100,True
primary,lpips_0p01__conditioned,lpips_0p01__unconditioned,psnr_db,0.620502593782213,0.5774897662268745,0.662600831190745,100,False
primary,lpips_0p01__conditioned,lpips_0p01__unconditioned,lpips,0.007315960373315547,0.005588406304518379,0.009135805663652718,100,False
primary,lpips_0p01__conditioned,lpips_0p01__unconditioned,dino,-0.016385471084051653,-0.02171189443208276,-0.011356305954977865,100,False
primary,lpips_0p01__conditioned,lpips_0p01__unconditioned,mse,-0.0024534661111991025,-0.0027633112479654503,-0.0021521229430509266,100,False
primary,lpips_0p01__conditioned,lpips_0p03__unconditioned,psnr_db,0.6577884101867676,0.6133737154271867,0.7008881764411928,100,False
primary,lpips_0p01__conditioned,lpips_0p03__unconditioned,lpips,0.012125770664877362,0.010359483367453022,0.013954085003791587,100,False
primary,lpips_0p01__conditioned,lpips_0p03__unconditioned,dino,-0.018012812096211642,-0.023874973495387367,-0.012572157806613382,100,False
primary,lpips_0p01__conditioned,lpips_0p03__unconditioned,mse,-0.002545116965516677,-0.002864087767855381,-0.002235157283425603,100,False
primary,lpips_0p01__conditioned,lpips_0p1__unconditioned,psnr_db,0.8112091689639621,0.7635105170938704,0.8573497019078997,100,False
primary,lpips_0p01__conditioned,lpips_0p1__unconditioned,lpips,0.0171633306476805,0.015022723599026603,0.019407377670519057,100,False
primary,lpips_0p01__conditioned,lpips_0p1__unconditioned,dino,-0.019447453394532195,-0.025844795507275385,-0.013443491383559169,100,False
primary,lpips_0p01__conditioned,lpips_0p1__unconditioned,mse,-0.0029402267839112833,-0.0032940467840914304,-0.0025968091280778433,100,False
primary,lpips_0p01__conditioned,perceptual_deepjscc,psnr_db,-3.9482434739006895,-4.098865089257559,-3.801375613874859,100,False
primary,lpips_0p01__conditioned,perceptual_deepjscc,lpips,0.03460088098007772,0.02579526604287741,0.04292361495897381,100,False
primary,lpips_0p01__conditioned,perceptual_deepjscc,dino,0.2255057301972475,0.19941901746190466,0.25231614552955656,100,False
primary,lpips_0p01__conditioned,perceptual_deepjscc,mse,0.007596923507665263,0.006839234667635632,0.008422638674008337,100,False
primary,lpips_0p01__conditioned,raw_adaptive,psnr_db,0.8034418752458362,0.6748660739262899,0.9300705065197415,100,False
primary,lpips_0p01__conditioned,raw_adaptive,lpips,0.056128670142756576,0.05249106215737346,0.05977175535147803,100,False
primary,lpips_0p01__conditioned,raw_adaptive,dino,-0.1168102307866017,-0.1298418447615372,-0.10428035187162457,100,False
primary,lpips_0p01__conditioned,raw_adaptive,mse,-0.0019425597098938646,-0.0026560978094950652,-0.0011920202604100746,100,False
primary,lpips_0p01__conditioned,raw_m7,psnr_db,2.355808865229289,2.169720132986704,2.541112818797429,100,False
primary,lpips_0p01__conditioned,raw_m7,lpips,0.005132456287327741,0.0020607134802266957,0.00825314155412424,100,False
primary,lpips_0p01__conditioned,raw_m7,dino,-0.0795621329297622,-0.09199440227283369,-0.06742834379068678,100,False
primary,lpips_0p01__conditioned,raw_m7,mse,-0.0068547487856428346,-0.00802659090901256,-0.00568498472736112,100,False
primary,lpips_0p01__conditioned,raw_m8,psnr_db,1.776935133404202,1.6313370239734648,1.926003459771474,100,False
primary,lpips_0p01__conditioned,raw_m8,lpips,0.024964941100527844,0.019686194810757625,0.03005546115856204,100,False
primary,lpips_0p01__conditioned,raw_m8,dino,-0.07498924324082004,-0.08788237335781256,-0.06216588817060822,100,False
primary,lpips_0p01__conditioned,raw_m8,mse,-0.006091720204524736,-0.007090426984074929,-0.005144645208798179,100,False
primary,lpips_0p01__conditioned,raw_m9,psnr_db,5.934591108957927,5.593673194355436,6.271526383254264,100,False
primary,lpips_0p01__conditioned,raw_m9,lpips,-0.2293645682372153,-0.242794903239287,-0.21607991759618744,100,False
primary,lpips_0p01__conditioned,raw_m9,dino,0.39999029067758884,0.3810066659996389,0.41842735164475414,100,False
primary,lpips_0p01__conditioned,raw_m9,mse,-0.04980517166457817,-0.053371621672197556,-0.04640805525188299,100,False
primary,lpips_0p01__unconditioned,arithmetic_adaptive,psnr_db,0.14041798167758515,0.023801403178108912,0.25580490806367656,100,False
primary,lpips_0p01__unconditioned,arithmetic_adaptive,lpips,0.04999587217138873,0.04681531812364442,0.05316633662043346,100,False
primary,lpips_0p01__unconditioned,arithmetic_adaptive,dino,-0.10091106707851093,-0.11164639809644883,-0.09034155214495129,100,False
primary,lpips_0p01__unconditioned,arithmetic_adaptive,mse,0.0006177846130217713,-2.1050704070014143e-05,0.0013056822275770831,100,False
primary,lpips_0p01__unconditioned,expected_mix_01,psnr_db,-0.0067087730884428255,-0.12053009585619172,0.10570880917067312,100,True
primary,lpips_0p01__unconditioned,expected_mix_01,lpips,0.0492863219059216,0.046033097174083305,0.0525242294020817,100,True
primary,lpips_0p01__unconditioned,expected_mix_01,dino,-0.09020101647471829,-0.10098630655178539,-0.0795223016521116,100,True
primary,lpips_0p01__unconditioned,expected_mix_01,mse,0.0009124841709375488,0.000293004776101441,0.0015847698826101982,100,True
primary,lpips_0p01__unconditioned,expected_mix_12,psnr_db,-0.8403819968049823,-0.9444945976268344,-0.7388893655533864,100,True
primary,lpips_0p01__unconditioned,expected_mix_12,lpips,0.04526575434741329,0.04129323740441529,0.04915086569068129,100,True
primary,lpips_0p01__unconditioned,expected_mix_12,dino,-0.029514009361497204,-0.04135406231043017,-0.017790802066222588,100,True
primary,lpips_0p01__unconditioned,expected_mix_12,mse,0.002582358089289036,0.002026793643839591,0.003199235000497955,100,True
primary,lpips_0p01__unconditioned,perceptual_deepjscc,psnr_db,-4.568746067682902,-4.736402840269936,-4.400293054872089,100,False
primary,lpips_0p01__unconditioned,perceptual_deepjscc,lpips,0.027284920606762176,0.018094837420413068,0.03614206163600708,100,False
primary,lpips_0p01__unconditioned,perceptual_deepjscc,dino,0.2418912012812992,0.2152498274167171,0.2689388313533014,100,False
primary,lpips_0p01__unconditioned,perceptual_deepjscc,mse,0.010050389618864366,0.009045509027234243,0.011108329873762835,100,False
primary,lpips_0p01__unconditioned,raw_adaptive,psnr_db,0.18293928146362323,0.06934675333235026,0.296071118010415,100,False
primary,lpips_0p01__unconditioned,raw_adaptive,lpips,0.048812709769441034,0.04545910842654606,0.05213464944437145,100,False
primary,lpips_0p01__unconditioned,raw_adaptive,dino,-0.10042475970255003,-0.11121365922813616,-0.08978781579807399,100,False
primary,lpips_0p01__unconditioned,raw_adaptive,mse,0.0005109064013052378,-0.0001162876946687956,0.001191978867154234,100,False
primary,lpips_0p01__unconditioned,raw_m7,psnr_db,1.7353062714470757,1.572809263891644,1.9006005755795372,100,False
primary,lpips_0p01__unconditioned,raw_m7,lpips,-0.002183504085987806,-0.00513032995324789,0.0007317224149592189,100,False
primary,lpips_0p01__unconditioned,raw_m7,dino,-0.06317666184571054,-0.07344040793097681,-0.05307921671536233,100,False
primary,lpips_0p01__unconditioned,raw_m7,mse,-0.004401282674443732,-0.005401249649902008,-0.0034068625206950683,100,False
primary,lpips_0p01__unconditioned,raw_m8,psnr_db,1.1564325396219892,1.028007223473655,1.2911320864359537,100,False
primary,lpips_0p01__unconditioned,raw_m8,lpips,0.0176489807272123,0.012943287420707444,0.022270631726779462,100,False
primary,lpips_0p01__unconditioned,raw_m8,dino,-0.05860377215676839,-0.06966293084662822,-0.047369209517621344,100,False
primary,lpips_0p01__unconditioned,raw_m8,mse,-0.0036382540933256337,-0.004532162368563032,-0.0028093459853768096,100,False
primary,lpips_0p01__unconditioned,raw_m9,psnr_db,5.314088515175715,4.974824481195874,5.648320908175574,100,False
primary,lpips_0p01__unconditioned,raw_m9,lpips,-0.2366805286105308,-0.24951530968454766,-0.2242361769981475,100,False
primary,lpips_0p01__unconditioned,raw_m9,dino,0.4163757617616405,0.3986519388489736,0.4334255947363563,100,False
primary,lpips_0p01__unconditioned,raw_m9,mse,-0.04735170555337907,-0.0507970684958629,-0.04404644005941756,100,False
primary,lpips_0p03__conditioned,arithmetic_adaptive,psnr_db,0.6471358723110625,0.5155332363446556,0.7742261662483214,100,False
primary,lpips_0p03__conditioned,arithmetic_adaptive,lpips,0.04352508793274563,0.04054790231958031,0.04654048780062132,100,False
primary,lpips_0p03__conditioned,arithmetic_adaptive,dino,-0.10612811672190822,-0.11762143542638252,-0.09486466675996781,100,False
primary,lpips_0p03__conditioned,arithmetic_adaptive,mse,-0.0015366871566355252,-0.0022592535279480582,-0.0007848571667134926,100,False
primary,lpips_0p03__conditioned,expected_mix_07,psnr_db,0.0034083104788116534,-0.11359915145777602,0.1176538550447983,100,True
primary,lpips_0p03__conditioned,expected_mix_07,lpips,0.040420573984123936,0.037094354086191814,0.04370867418725241,100,True
primary,lpips_0p03__conditioned,expected_mix_07,dino,-0.05926815047550125,-0.07087494241689622,-0.047696119289551656,100,True
primary,lpips_0p03__conditioned,expected_mix_07,mse,-0.0002472804257397661,-0.0008574915428512383,0.0004151326424883563,100,True
primary,lpips_0p03__conditioned,expected_mix_12,psnr_db,-0.33366410617150494,-0.44508327726479935,-0.22465903612489244,100,True
primary,lpips_0p03__conditioned,expected_mix_12,lpips,0.03879497010877018,0.03516995613864435,0.04238213208814233,100,True
primary,lpips_0p03__conditioned,expected_mix_12,dino,-0.03473105900489453,-0.04673283268908939,-0.02262270566346978,100,True
primary,lpips_0p03__conditioned,expected_mix_12,mse,0.0004278863196317406,-0.0001296182089122225,0.001046998135956326,100,True
primary,lpips_0p03__conditioned,lpips_0p01__unconditioned,psnr_db,0.5067178906334773,0.46699541883998463,0.5462353386878971,100,False
primary,lpips_0p03__conditioned,lpips_0p01__unconditioned,lpips,-0.006470784238643115,-0.00766193449973232,-0.005283849940945705,100,False
primary,lpips_0p03__conditioned,lpips_0p01__unconditioned,dino,-0.005217049643397328,-0.00919455943153136,-0.0013961643388287904,100,False
primary,lpips_0p03__conditioned,lpips_0p01__unconditioned,mse,-0.002154471769657296,-0.0024319249100307285,-0.001882276794819821,100,False
primary,lpips_0p03__conditioned,lpips_0p03__unconditioned,psnr_db,0.5440037070380318,0.5029259813891519,0.5843794911702478,100,False
