method,snr_db,frames,header_failures,body_crc_failures,source_incomplete
arithmetic_N3060_m7_D0,1,300,0,2,0
arithmetic_N3060_m7_D0,4,300,0,0,0
arithmetic_N3060_m7_D0,7,300,0,0,0
arithmetic_N3060_m7_D0,13,300,0,0,0
arithmetic_N3060_m7_D0,19,300,0,0,0
arithmetic_N3060_m7_Dc,1,300,0,2,0
arithmetic_N3060_m7_Dc,4,300,0,0,0
arithmetic_N3060_m7_Dc,7,300,0,0,0
arithmetic_N3060_m7_Dc,13,300,0,0,0
arithmetic_N3060_m7_Dc,19,300,0,0,0
arithmetic_N3060_m8_D0,1,300,0,280,0
arithmetic_N3060_m8_D0,4,300,0,0,0
arithmetic_N3060_m8_D0,7,300,0,0,0
arithmetic_N3060_m8_D0,13,300,0,0,0
arithmetic_N3060_m8_D0,19,300,0,0,0
arithmetic_N3060_m8_Dc,1,300,0,280,0
arithmetic_N3060_m8_Dc,4,300,0,0,0
arithmetic_N3060_m8_Dc,7,300,0,0,0
arithmetic_N3060_m8_Dc,13,300,0,0,0
arithmetic_N3060_m8_Dc,19,300,0,0,0
arithmetic_N3060_m9_D0,1,300,0,300,0
arithmetic_N3060_m9_D0,4,300,0,253,0
arithmetic_N3060_m9_D0,7,300,0,2,0
arithmetic_N3060_m9_D0,13,300,0,0,0
arithmetic_N3060_m9_D0,19,300,0,0,0
arithmetic_N3060_m9_Dc,1,300,0,300,0
arithmetic_N3060_m9_Dc,4,300,0,253,0
arithmetic_N3060_m9_Dc,7,300,0,2,0
arithmetic_N3060_m9_Dc,13,300,0,0,0
arithmetic_N3060_m9_Dc,19,300,0,0,0
arithmetic_N3572_m7_D0,1,300,0,0,0
arithmetic_N3572_m7_D0,4,300,0,0,0
arithmetic_N3572_m7_D0,7,300,0,0,0
arithmetic_N3572_m7_D0,13,300,0,0,0
arithmetic_N3572_m7_D0,19,300,0,0,0
arithmetic_N3572_m7_Dc,1,300,0,0,0
arithmetic_N3572_m7_Dc,4,300,0,0,0
arithmetic_N3572_m7_Dc,7,300,0,0,0
arithmetic_N3572_m7_Dc,13,300,0,0,0
arithmetic_N3572_m7_Dc,19,300,0,0,0
arithmetic_N3572_m8_D0,1,300,0,189,0
arithmetic_N3572_m8_D0,4,300,0,0,0
arithmetic_N3572_m8_D0,7,300,0,0,0
arithmetic_N3572_m8_D0,13,300,0,0,0
arithmetic_N3572_m8_D0,19,300,0,0,0
arithmetic_N3572_m8_Dc,1,300,0,189,0
arithmetic_N3572_m8_Dc,4,300,0,0,0
arithmetic_N3572_m8_Dc,7,300,0,0,0
arithmetic_N3572_m8_Dc,13,300,0,0,0
arithmetic_N3572_m8_Dc,19,300,0,0,0
arithmetic_N3572_m9_D0,1,300,0,296,0
arithmetic_N3572_m9_D0,4,300,0,80,0
arithmetic_N3572_m9_D0,7,300,0,0,0
arithmetic_N3572_m9_D0,13,300,0,0,0
arithmetic_N3572_m9_D0,19,300,0,0,0
arithmetic_N3572_m9_Dc,1,300,0,296,0
arithmetic_N3572_m9_Dc,4,300,0,80,0
arithmetic_N3572_m9_Dc,7,300,0,0,0
arithmetic_N3572_m9_Dc,13,300,0,0,0
arithmetic_N3572_m9_Dc,19,300,0,0,0
arithmetic_N4084_m7_D0,1,300,0,0,0
arithmetic_N4084_m7_D0,4,300,0,0,0
arithmetic_N4084_m7_D0,7,300,0,0,0
arithmetic_N4084_m7_D0,13,300,0,0,0
arithmetic_N4084_m7_D0,19,300,0,0,0
arithmetic_N4084_m7_Dc,1,300,0,0,0
