method,sources,psnr_db,lpips_alex,dino_cosine
arithmetic_N3060_m7_D0,100,18.099719203313192,0.23394055638213954,0.8495574626723925
arithmetic_N3060_m7_Dc,100,18.751232034683227,0.21853207686791815,0.8411370316346486
arithmetic_N3060_m8_D0,100,18.750549379984538,0.22224519750600058,0.8383512768050033
arithmetic_N3060_m8_Dc,100,19.40937230205536,0.20961276523520544,0.822779402167847
arithmetic_N3060_m9_D0,100,18.152355037689208,0.2826068847626448,0.7540617100050052
arithmetic_N3060_m9_Dc,100,18.707158082644142,0.27272301612049343,0.7325953110065312
arithmetic_N3572_m7_D0,100,18.101699466705323,0.2338043454190095,0.8499016338586807
arithmetic_N3572_m7_Dc,100,18.75315245628357,0.21840494533876575,0.8414670485258102
arithmetic_N3572_m8_D0,100,19.177619758923846,0.2017911275438964,0.8630424271970987
arithmetic_N3572_m8_Dc,100,19.858418581962585,0.1891656739239891,0.8483753303637107
arithmetic_N3572_m9_D0,100,19.217236987431843,0.2319976896146934,0.8135814205594362
arithmetic_N3572_m9_Dc,100,19.821750257492067,0.22201289105912048,0.7927835873967658
arithmetic_N4084_m7_D0,100,18.101699466705323,0.23380434544384482,0.8499016338586807
arithmetic_N4084_m7_Dc,100,18.75315245628357,0.21840494530647994,0.8414670485258102
arithmetic_N4084_m8_D0,100,19.530743583043417,0.18477122988427677,0.881718203932047
arithmetic_N4084_m8_Dc,100,20.2259636554718,0.17228873938818776,0.8673221284548441
arithmetic_N4084_m9_D0,100,19.63971554501851,0.2097419007991751,0.8376723573642473
arithmetic_N4084_m9_Dc,100,20.263572897275292,0.19956202040115995,0.8158940171195814
m8_D0,100,19.06854592959086,0.19981271518270172,0.8628447697957355
m8_Dc_only,100,19.72750286801656,0.18752480134616298,0.8462321729759376
m8_plus_latent_1024,100,22.06737456448873,0.13622466565171878,0.8744118903577328
m8_plus_latent_512,100,21.34794983291626,0.15774083804835876,0.8533509700000288
m8_receiver_only_refiner,100,19.92028800455729,0.18787431444848576,0.8269842117081089
raw_N3060_m7_D0,100,18.085251859029132,0.2343774122496446,0.8496572971741359
raw_N3060_m7_Dc,100,18.73566827138265,0.21897413793454568,0.8410917710463205
raw_N3060_m8_D0,100,19.06854592959086,0.19981271507342654,0.8628447697957355
raw_N3060_m8_Dc,100,19.72750286801656,0.18752480129897595,0.8462321729759376
raw_N3060_m9_D0,100,17.194793958028157,0.33591213651746515,0.5915087039548282
raw_N3060_m9_Dc,100,17.64245987510681,0.3270664867895344,0.5743471275009214
raw_N3572_m7_D0,100,18.09925293858846,0.23387506347397963,0.8497139521837234
raw_N3572_m7_Dc,100,18.75039363606771,0.21849008895208438,0.8412407764991124
raw_N3572_m8_D0,100,19.468626972198486,0.18431141777212418,0.8829483889540036
raw_N3572_m8_Dc,100,20.1531457901001,0.1719236922239264,0.8679110597570738
raw_N3572_m9_D0,100,18.673810797691345,0.25619278496752185,0.735751346576338
raw_N3572_m9_Dc,100,19.209139623324077,0.24696511931717396,0.7169230129315207
raw_N4084_m7_D0,100,18.10172570292155,0.23380714614192644,0.8498787137269974
raw_N4084_m7_Dc,100,18.75316212908427,0.21840861350794633,0.8414229476451873
raw_N4084_m8_D0,100,19.609779196421307,0.1792700876581172,0.8878017263015111
raw_N4084_m8_Dc,100,20.306092918395997,0.16688991685335833,0.8731814269622166
raw_N4084_m9_D0,100,19.340521699905395,0.22652409163241582,0.7632422491603843
raw_N4084_m9_Dc,100,19.91538268184662,0.21691504870106776,0.7434275503593187
