method,calls,tx_ms_mean,rx_ms_mean,total_ms_mean,tx_ms_p50,rx_ms_p50,total_ms_p50
arithmetic_N3060_m8_Dc,50,118.32851338200271,132.29739152593538,250.6259049079381,117.89614899316803,132.02442199690267,249.93993100360967
arithmetic_N3060_m9_Dc,50,119.18499110033736,140.25422174250707,259.4392128428444,118.81996496231295,140.06890199379995,258.7311985262204
arithmetic_N3572_m8_Dc,50,118.33314285497181,132.60219370014966,250.93533655512147,118.18282899912447,132.38057048874907,250.5735529703088
arithmetic_N4084_m8_Dc,50,118.24852793593891,132.60864550247788,250.8571734384168,118.00896647037007,132.29953500558622,250.6176535389386
m8_D0,50,55.946644766954705,60.0881727586966,116.0348175256513,55.898934486322105,60.004904022207484,115.8429030328989
m8_Dc_only,50,55.8356914576143,59.919599500717595,115.7552909583319,55.72435600333847,59.72580803791061,115.50370600889437
m8_plus_latent_1024,50,55.870288958540186,60.33305159769952,116.20334055623971,55.71435551973991,60.255236516240984,115.92801849474199
m8_plus_latent_512,50,55.73122899630107,60.39369389996864,116.12492289626971,55.62119249952957,60.27126751723699,115.89749448467046
m8_receiver_only_refiner,50,55.81901454483159,60.3259067365434,116.14492128137499,55.40689450572245,60.084413998993114,115.5109170358628
raw_N3060_m8_Dc,50,55.580931345466524,70.26995840365998,125.85088974912651,55.472058011218905,70.15803552349098,125.61872650985606
raw_N3060_m9_Dc,50,55.904913401464,71.64495904115029,127.54987244261429,55.8198879880365,71.6014135396108,127.48228799318895
raw_N3572_m8_Dc,50,55.980280035873875,70.85174252395518,126.83202255982906,55.85857597179711,70.79262650222518,126.69125056709163
raw_N4084_m8_Dc,50,55.950281182304025,70.68143886164762,126.63172004395165,55.886400485178456,70.71844898746349,126.53102952754125
