method,snr_db,sources,psnr_db,lpips_alex,dino_cosine
arithmetic_N3060_m7_D0,1,100,18.09179814974467,0.2344854002694289,0.8481807779272397
arithmetic_N3060_m7_D0,4,100,18.101699466705323,0.23380434540410844,0.8499016338586807
arithmetic_N3060_m7_D0,7,100,18.101699466705323,0.23380434545377896,0.8499016338586807
arithmetic_N3060_m7_D0,13,100,18.101699466705323,0.23380434520542615,0.8499016338586807
arithmetic_N3060_m7_D0,19,100,18.101699466705323,0.2338043455779553,0.8499016338586807
arithmetic_N3060_m7_Dc,1,100,18.743550348281858,0.21904060316582527,0.8398169640700023
arithmetic_N3060_m7_Dc,4,100,18.75315245628357,0.21840494533379878,0.8414670485258102
arithmetic_N3060_m7_Dc,7,100,18.75315245628357,0.21840494552006326,0.8414670485258102
arithmetic_N3060_m7_Dc,13,100,18.75315245628357,0.21840494496126972,0.8414670485258102
arithmetic_N3060_m7_Dc,19,100,18.75315245628357,0.21840494535863403,0.8414670485258102
arithmetic_N3060_m8_D0,1,100,14.986251309712724,0.40266067237282804,0.632837841163079
arithmetic_N3060_m8_D0,4,100,19.69162389755249,0.1771413292052845,0.8897296357154846
arithmetic_N3060_m8_D0,7,100,19.69162389755249,0.17714132900660232,0.8897296357154846
arithmetic_N3060_m8_D0,13,100,19.69162389755249,0.1771413285347322,0.8897296357154846
arithmetic_N3060_m8_D0,19,100,19.69162389755249,0.1771413284105559,0.8897296357154846
arithmetic_N3060_m8_Dc,1,100,15.46959035396576,0.38919216992954403,0.6127589221360784
arithmetic_N3060_m8_Dc,4,100,20.39431778907776,0.1647179140833517,0.8752845221757889
arithmetic_N3060_m8_Dc,7,100,20.39431778907776,0.16471791396538418,0.8752845221757889
arithmetic_N3060_m8_Dc,13,100,20.39431778907776,0.16471791399642832,0.8752845221757889
arithmetic_N3060_m8_Dc,19,100,20.39431778907776,0.16471791420131926,0.8752845221757889
arithmetic_N3060_m9_D0,1,100,10.64243522644043,0.656398669394354,0.312908594775945
arithmetic_N3060_m9_D0,4,100,16.4077805964152,0.34873099659879997,0.6859063947759566
arithmetic_N3060_m9_D0,7,100,21.224103310902912,0.1361135149747133,0.9237760464350382
arithmetic_N3060_m9_D0,13,100,21.24372802734375,0.13589562157789867,0.923858757019043
arithmetic_N3060_m9_D0,19,100,21.24372802734375,0.1358956212674578,0.923858757019043
arithmetic_N3060_m9_Dc,1,100,10.830218644142148,0.6485106762126088,0.29604761597700413
arithmetic_N3060_m9_Dc,4,100,16.88803989728292,0.33745450211067995,0.6590691042256848
arithmetic_N3060_m9_Dc,7,100,21.925966625213622,0.12602788705378773,0.9026028732458751
arithmetic_N3060_m9_Dc,13,100,21.945782623291016,0.12581100765615705,0.9026284807920456
arithmetic_N3060_m9_Dc,19,100,21.945782623291016,0.12581100756923358,0.9026284807920456
arithmetic_N3572_m7_D0,1,100,18.101699466705323,0.23380434545377896,0.8499016338586807
arithmetic_N3572_m7_D0,4,100,18.101699466705323,0.23380434520542615,0.8499016338586807
arithmetic_N3572_m7_D0,7,100,18.101699466705323,0.2338043455779553,0.8499016338586807
arithmetic_N3572_m7_D0,13,100,18.101699466705323,0.23380434540410844,0.8499016338586807
arithmetic_N3572_m7_D0,19,100,18.101699466705323,0.23380434545377896,0.8499016338586807
arithmetic_N3572_m7_Dc,1,100,18.75315245628357,0.21840494552006326,0.8414670485258102
arithmetic_N3572_m7_Dc,4,100,18.75315245628357,0.21840494496126972,0.8414670485258102
arithmetic_N3572_m7_Dc,7,100,18.75315245628357,0.21840494535863403,0.8414670485258102
