method,source_index,snr_db,psnr_db,lpips_alex,dino_cosine
arithmetic_N3060_m7_D0,0,1,12.33504867553711,0.2813071608543396,0.6454495787620544
arithmetic_N3060_m7_D0,0,4,12.33504867553711,0.2813071608543396,0.6454495787620544
arithmetic_N3060_m7_D0,0,7,12.33504867553711,0.2813071608543396,0.6454495787620544
arithmetic_N3060_m7_D0,0,13,12.33504867553711,0.2813071608543396,0.6454495787620544
arithmetic_N3060_m7_D0,0,19,12.33504867553711,0.2813071608543396,0.6454495787620544
arithmetic_N3060_m7_Dc,0,1,13.200809478759766,0.2589964270591736,0.6476048231124878
arithmetic_N3060_m7_Dc,0,4,13.200809478759766,0.2589964270591736,0.6476048231124878
arithmetic_N3060_m7_Dc,0,7,13.200809478759766,0.2589964270591736,0.6476048231124878
arithmetic_N3060_m7_Dc,0,13,13.200809478759766,0.2589964270591736,0.6476048231124878
arithmetic_N3060_m7_Dc,0,19,13.200809478759766,0.2589964270591736,0.6476048231124878
arithmetic_N3060_m8_D0,0,1,10.507670084635416,0.3765508532524109,0.5628872315088908
arithmetic_N3060_m8_D0,0,4,13.516948699951172,0.20085062583287558,0.7360659837722778
arithmetic_N3060_m8_D0,0,7,13.516948699951172,0.20085062583287558,0.7360659837722778
arithmetic_N3060_m8_D0,0,13,13.516948699951172,0.20085062583287558,0.7360659837722778
arithmetic_N3060_m8_D0,0,19,13.516948699951172,0.20085062086582184,0.7360659837722778
arithmetic_N3060_m8_Dc,0,1,11.19171396891276,0.3629064957300822,0.5161945223808289
arithmetic_N3060_m8_Dc,0,4,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N3060_m8_Dc,0,7,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N3060_m8_Dc,0,13,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N3060_m8_Dc,0,19,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N3060_m9_D0,0,1,8.503665606180826,0.7090745766957601,0.29042790333429974
arithmetic_N3060_m9_D0,0,4,9.50710423787435,0.4743761618932088,0.4726955493291219
arithmetic_N3060_m9_D0,0,7,14.76740837097168,0.15156676868597665,0.8782002925872803
arithmetic_N3060_m9_D0,0,13,14.76740837097168,0.1515667736530304,0.8782002925872803
arithmetic_N3060_m9_D0,0,19,14.76740837097168,0.15156676868597665,0.8782002925872803
arithmetic_N3060_m9_Dc,0,1,8.638891061147055,0.7055392464001974,0.31282204389572144
arithmetic_N3060_m9_Dc,0,4,10.115227699279785,0.4605609675248464,0.4659319519996643
arithmetic_N3060_m9_Dc,0,7,15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_N3060_m9_Dc,0,13,15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_N3060_m9_Dc,0,19,15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_N3572_m7_D0,0,1,12.33504867553711,0.2813071608543396,0.6454495787620544
arithmetic_N3572_m7_D0,0,4,12.33504867553711,0.2813071608543396,0.6454495787620544
