method,calls,tx_ms_mean,rx_ms_mean,total_ms_mean
m8_D0,50,9.5695768261794,61.641506999731064,71.21108382591046
m8_Dc_only,50,9.545077256625518,61.83166318340227,71.37674044002779
m8_receiver_only_refiner,50,9.542355193989351,61.9861208985094,71.52847609249875
m8_plus_latent_512,50,59.30166002246551,61.99791926657781,121.29957928904332
m8_plus_latent_1024,50,59.21581575879827,62.116594419348985,121.33241017814726
raw_N3060_m8_Dc,50,9.499515235656872,61.8216346972622,71.32114993291907
arithmetic_N3060_m8_Dc,50,72.34649023390375,112.10666228085756,184.4531525147613
raw_N3060_m9_Dc,50,10.524496319703758,62.70174254779704,73.2262388675008
arithmetic_N3060_m9_Dc,50,72.99385079997592,125.69619744084775,198.69004824082367
raw_N3572_m8_Dc,50,9.604207318043336,62.036236139247194,71.64044345729053
arithmetic_N3572_m8_Dc,50,72.1805555629544,111.39709773822688,183.57765330118127
raw_N4084_m8_Dc,50,9.58617752068676,61.82424070429988,71.41041822498664
arithmetic_N4084_m8_Dc,50,71.86788352089934,111.3553757360205,183.22325925691985
