family,budget,renderer,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,actual_payload_bits_mean,header_failure_probability,body_crc_failure_given_header_accept
arithmetic,3572,D0,1.0,7,3000,1000,1860,0.9966666666666667,0.0033333333333332993,1853.8,17.808738202095032,0.2302042361497879,1540.084,0.0,0.0033333333333333335
arithmetic,3572,D0,1.0,8,3000,1000,3060,0.37766666666666665,0.6223333333333334,1155.6599999999999,17.136966032187143,0.2814109624760846,2484.81,0.0,0.6223333333333333
arithmetic,3572,D0,1.0,9,3000,1000,5088,0.0003333333333333333,0.9996666666666667,1.696,11.705455912192663,0.580670139376074,3988.72,0.0,0.9996666666666667
arithmetic,3572,D0,4.0,7,3000,1000,1860,1.0,0.0,1860.0,17.81330358886719,0.2299209054162105,1540.084,0.0,0.0
arithmetic,3572,D0,4.0,8,3000,1000,3060,0.9996666666666667,0.0003333333333332966,3058.98,19.39602796904246,0.17392921414722998,2484.81,0.0,0.0003333333333333333
arithmetic,3572,D0,4.0,9,3000,1000,5088,0.75,0.25,3816.0,20.114228819529217,0.16717083937985203,3988.72,0.0,0.25
arithmetic,3572,D0,7.0,7,3000,1000,1860,1.0,0.0,1860.0,17.81330359013875,0.22992090533301235,1540.084,0.0,0.0
arithmetic,3572,D0,7.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618800163267,0.1738951269723475,2484.81,0.0,0.0
arithmetic,3572,D0,7.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463291486103,0.1326294781472534,3988.72,0.0,0.0
arithmetic,3572,D0,13.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090551679334,1540.084,0.0,0.0
arithmetic,3572,D0,13.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951271250844,2484.81,0.0,0.0
arithmetic,3572,D0,13.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.1326294781056543,3988.72,0.0,0.0
arithmetic,3572,D0,19.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090539882581,1540.084,0.0,0.0
arithmetic,3572,D0,19.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951270841062,2484.81,0.0,0.0
arithmetic,3572,D0,19.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.13262947810130815,3988.72,0.0,0.0
arithmetic,3572,Dc,1.0,7,3000,1000,1860,0.9966666666666667,0.0033333333333332993,1853.8,18.465335905392966,0.21494215244924028,1540.084,0.0,0.0033333333333333335
arithmetic,3572,Dc,1.0,8,3000,1000,3060,0.37766666666666665,0.6223333333333334,1155.6599999999999,17.7418140261968,0.2683345262979468,2484.81,0.0,0.6223333333333333
arithmetic,3572,Dc,1.0,9,3000,1000,5088,0.0003333333333333333,0.9996666666666667,1.696,11.958923316955566,0.5715484346145143,3988.72,0.0,0.9996666666666667
arithmetic,3572,Dc,4.0,7,3000,1000,1860,1.0,0.0,1860.0,18.47018011569977,0.21466634441539645,1540.084,0.0,0.0
arithmetic,3572,Dc,4.0,8,3000,1000,3060,0.9996666666666667,0.0003333333333332966,3058.98,20.10866535981496,0.16111774388949077,2484.81,0.0,0.0003333333333333333
arithmetic,3572,Dc,4.0,9,3000,1000,5088,0.75,0.25,3816.0,20.792676453590392,0.15673011267744005,3988.72,0.0,0.25
arithmetic,3572,Dc,7.0,7,3000,1000,1860,1.0,0.0,1860.0,18.470180112838744,0.21466634447748462,1540.084,0.0,0.0
arithmetic,3572,Dc,7.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305562019347,0.16108667365585763,2484.81,0.0,0.0
arithmetic,3572,Dc,7.0,9,3000,1000,5088,1.0,0.0,5088.0,21.68609089120229,0.12251761462477347,3988.72,0.0,0.0
arithmetic,3572,Dc,13.0,7,3000,1000,1860,1.0,0.0,1860.0,18.4701801071167,0.21466634437566,1540.084,0.0,0.0
arithmetic,3572,Dc,13.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305565834045,0.16108667370056112,2484.81,0.0,0.0
arithmetic,3572,Dc,13.0,9,3000,1000,5088,1.0,0.0,5088.0,21.686090889930725,0.12251761456765234,3988.72,0.0,0.0
