source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc')",raw_N3572_m7_D0,12.33504867553711,0.2813071608543396,0.6454495787620544,D0,reliability,7
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc')",raw_N3572_m7_D0,12.33504867553711,0.2813071608543396,0.6454495787620544,D0,reliability,7
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc')",raw_N3572_m7_D0,12.33504867553711,0.2813071608543396,0.6454495787620544,D0,reliability,7
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096')",raw_N3572_m8_D0,13.516948699951172,0.20085063576698303,0.7360659837722778,D0,reliability,8
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096')",raw_N3572_m8_D0,13.516948699951172,0.20085062086582184,0.7360659837722778,D0,reliability,8
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,3572,7144,raw,8,8,1,0,1,3060,0,,"('raw', '72b2e590408b71e8bcf1c6ebdcd4dc0daf2441422365481a730ef9723887fe0a')",raw_N3572_m8_D0,13.427330017089844,0.19458290934562683,0.7575339674949646,D0,reliability,8
0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'be1d1147927a0b84a210de8e855e5386b65560b454840962e38e704d7b17754e')",raw_N3572_m9_D0,14.76740837097168,0.1515667736530304,0.8782002925872803,D0,reliability,9
0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'be1d1147927a0b84a210de8e855e5386b65560b454840962e38e704d7b17754e')",raw_N3572_m9_D0,14.76740837097168,0.1515667736530304,0.8782002925872803,D0,reliability,9
0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'be1d1147927a0b84a210de8e855e5386b65560b454840962e38e704d7b17754e')",raw_N3572_m9_D0,14.76740837097168,0.1515667587518692,0.8782002925872803,D0,reliability,9
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'be1d1147927a0b84a210de8e855e5386b65560b454840962e38e704d7b17754e')",raw_N3572_m9_D0,14.76740837097168,0.1515667736530304,0.8782002925872803,D0,reliability,9
