family,budget,renderer,policy,metric,mean_A_minus_B,mean_A_minus_mean_B,absolute_error
raw,3572,D0,reliability,psnr_db,-1.0455339876810708,-1.0455339876810719,1.1102230246251565e-15
raw,3572,D0,reliability,lpips_alex,0.006046841130902369,0.006046841130902425,5.637851296924623e-17
raw,3572,D0,reliability,dino_cosine,0.048732248336076735,0.04873224833607681,7.632783294297951e-17
raw,3572,D0,quality,psnr_db,-0.9480598246256511,-0.9480598246256484,2.6645352591003757e-15
raw,3572,D0,quality,lpips_alex,0.001822109242280324,0.0018221092422803509,2.688821387764051e-17
raw,3572,D0,quality,dino_cosine,0.05008628556132316,0.05008628556132322,5.551115123125783e-17
raw,3572,D0,goodput,psnr_db,-1.0455339876810708,-1.0455339876810719,1.1102230246251565e-15
raw,3572,D0,goodput,lpips_alex,0.006046841130902369,0.006046841130902425,5.637851296924623e-17
raw,3572,D0,goodput,dino_cosine,0.048732248336076735,0.04873224833607681,7.632783294297951e-17
raw,3572,Dc,reliability,psnr_db,-0.3537528095245362,-0.35375280952453636,1.6653345369377348e-16
raw,3572,Dc,reliability,lpips_alex,-0.005549953086922565,-0.005549953086922549,1.6479873021779667e-17
raw,3572,Dc,reliability,dino_cosine,0.03135989319284757,0.0313598931928476,2.7755575615628914e-17
raw,3572,Dc,quality,psnr_db,-0.263913647333781,-0.26391364733378353,2.55351295663786e-15
raw,3572,Dc,quality,lpips_alex,-0.009159163106232882,-0.009159163106232854,2.7755575615628914e-17
raw,3572,Dc,quality,dino_cosine,0.03095901076992353,0.030959010769923467,6.245004513516506e-17
raw,3572,Dc,goodput,psnr_db,-0.3537528095245362,-0.35375280952453636,1.6653345369377348e-16
raw,3572,Dc,goodput,lpips_alex,-0.005549953086922565,-0.005549953086922549,1.6479873021779667e-17
raw,3572,Dc,goodput,dino_cosine,0.03135989319284757,0.0313598931928476,2.7755575615628914e-17
raw,4084,D0,reliability,psnr_db,-1.7625043188730876,-1.7625043188730913,3.774758283725532e-15
raw,4084,D0,reliability,lpips_alex,0.027504611910631263,0.027504611910631277,1.3877787807814457e-17
raw,4084,D0,reliability,dino_cosine,0.02782011166214943,0.02782011166214937,5.898059818321144e-17
raw,4084,D0,quality,psnr_db,-1.2535196069081627,-1.2535196069081636,8.881784197001252e-16
raw,4084,D0,quality,lpips_alex,0.010833349684874215,0.010833349684874205,1.0408340855860843e-17
raw,4084,D0,quality,dino_cosine,0.03934214706222216,0.039342147062222055,1.0408340855860843e-16
raw,4084,D0,goodput,psnr_db,-1.7625043188730876,-1.7625043188730913,3.774758283725532e-15
raw,4084,D0,goodput,lpips_alex,0.027504611910631263,0.027504611910631277,1.3877787807814457e-17
raw,4084,D0,goodput,dino_cosine,0.02782011166214943,0.02782011166214937,5.898059818321144e-17
raw,4084,Dc,reliability,psnr_db,-1.0705547008514404,-1.0705547008514422,1.7763568394002505e-15
raw,4084,Dc,reliability,lpips_alex,0.015888498776902755,0.015888498776902765,1.0408340855860843e-17
raw,4084,Dc,reliability,dino_cosine,0.010476853917042412,0.01047685391704245,3.8163916471489756e-17
raw,4084,Dc,quality,psnr_db,-0.5620355993906656,-0.5620355993906649,6.661338147750939e-16
raw,4084,Dc,quality,lpips_alex,0.00030295640354355193,0.00030295640354358055,2.862293735361732e-17
raw,4084,Dc,quality,dino_cosine,0.019158765107393262,0.019158765107393227,3.469446951953614e-17
raw,4084,Dc,goodput,psnr_db,-1.0705547008514404,-1.0705547008514422,1.7763568394002505e-15
raw,4084,Dc,goodput,lpips_alex,0.015888498776902755,0.015888498776902765,1.0408340855860843e-17
raw,4084,Dc,goodput,dino_cosine,0.010476853917042412,0.01047685391704245,3.8163916471489756e-17
arithmetic,3572,D0,reliability,psnr_db,-1.0430483436584472,-1.0430483436584481,8.881784197001252e-16
arithmetic,3572,D0,reliability,lpips_alex,0.005985669557005167,0.005985669557005219,5.204170427930421e-17
arithmetic,3572,D0,reliability,dino_cosine,0.04889053812623024,0.04889053812623023,6.938893903907228e-18
arithmetic,3572,D0,quality,psnr_db,-0.9280814615885418,-0.9280814615885404,1.3322676295501878e-15
arithmetic,3572,D0,quality,lpips_alex,0.005300652466714382,0.005300652466714406,2.42861286636753e-17
arithmetic,3572,D0,quality,dino_cosine,0.0476835599342982,0.04768355993429829,9.020562075079397e-17
arithmetic,3572,D0,goodput,psnr_db,-0.9280814615885418,-0.9280814615885404,1.3322676295501878e-15
arithmetic,3572,D0,goodput,lpips_alex,0.005300652466714382,0.005300652466714406,2.42861286636753e-17
arithmetic,3572,D0,goodput,dino_cosine,0.0476835599342982,0.04768355993429829,9.020562075079397e-17
arithmetic,3572,Dc,reliability,psnr_db,-0.35098620986938484,-0.35098620986938656,1.7208456881689926e-15
arithmetic,3572,Dc,reliability,lpips_alex,-0.005629661543915669,-0.005629661543915615,5.377642775528102e-17
arithmetic,3572,Dc,reliability,dino_cosine,0.031576432615518575,0.03157643261551857,6.938893903907228e-18
arithmetic,3572,Dc,quality,psnr_db,-0.243944538752238,-0.24394453875223476,3.247402347028583e-15
arithmetic,3572,Dc,quality,lpips_alex,-0.005939704172313214,-0.005939704172313209,4.336808689942018e-18
arithmetic,3572,Dc,quality,dino_cosine,0.029058924674987788,0.02905892467498783,4.163336342344337e-17
arithmetic,3572,Dc,goodput,psnr_db,-0.243944538752238,-0.24394453875223476,3.247402347028583e-15
arithmetic,3572,Dc,goodput,lpips_alex,-0.005939704172313214,-0.005939704172313209,4.336808689942018e-18
arithmetic,3572,Dc,goodput,dino_cosine,0.029058924674987788,0.02905892467498783,4.163336342344337e-17
arithmetic,4084,D0,reliability,psnr_db,-1.476316899617513,-1.4763168996175153,2.4424906541753444e-15
arithmetic,4084,D0,reliability,lpips_alex,0.02022126206755638,0.020221262067556423,4.163336342344337e-17
arithmetic,4084,D0,reliability,dino_cosine,0.033379589140415195,0.03337958914041517,2.7755575615628914e-17
arithmetic,4084,D0,quality,psnr_db,-1.3192123279571533,-1.3192123279571533,0.0
arithmetic,4084,D0,quality,lpips_alex,0.016518559804807105,0.016518559804807098,6.938893903907228e-18
arithmetic,4084,D0,quality,dino_cosine,0.03333375772833824,0.03333375772833824,0.0
arithmetic,4084,D0,goodput,psnr_db,-1.3192123279571533,-1.3192123279571533,0.0
arithmetic,4084,D0,goodput,lpips_alex,0.016518559804807105,0.016518559804807098,6.938893903907228e-18
arithmetic,4084,D0,goodput,dino_cosine,0.03333375772833824,0.03333375772833824,0.0
arithmetic,4084,Dc,reliability,psnr_db,-0.7851394443511963,-0.785139444351195,1.3322676295501878e-15
arithmetic,4084,Dc,reliability,lpips_alex,0.009063408302764099,0.009063408302764114,1.5612511283791264e-17
arithmetic,4084,Dc,reliability,dino_cosine,0.014596647113561626,0.014596647113561567,5.898059818321144e-17
arithmetic,4084,Dc,quality,psnr_db,-0.6252605113983154,-0.625260511398313,2.4424906541753444e-15
arithmetic,4084,Dc,quality,lpips_alex,0.00589682736992836,0.005896827369928387,2.688821387764051e-17
arithmetic,4084,Dc,quality,dino_cosine,0.013397748122612631,0.013397748122612518,1.1275702593849246e-16
arithmetic,4084,Dc,goodput,psnr_db,-0.6252605113983154,-0.625260511398313,2.4424906541753444e-15
arithmetic,4084,Dc,goodput,lpips_alex,0.00589682736992836,0.005896827369928387,2.688821387764051e-17
arithmetic,4084,Dc,goodput,dino_cosine,0.013397748122612631,0.013397748122612518,1.1275702593849246e-16
