method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,psnr_db,lpips_alex,dino_cosine
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,198,13.429201126098633,0.23761622607707977,0.6141170263290405
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,173,12.952722549438477,0.2508799135684967,0.5861626267433167
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,198,12.977971076965332,0.2575608491897583,0.5093197822570801
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,173,12.523880004882812,0.28308388590812683,0.4859335124492645
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,198,13.769094467163086,0.24766185879707336,0.654625415802002
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,173,13.305363655090332,0.279084175825119,0.5961990356445312
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,198,15.075546264648438,0.17173121869564056,0.8094779253005981
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,173,15.148802757263184,0.16925664246082306,0.7985024452209473
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,198,15.043695449829102,0.17178992927074432,0.6631619334220886
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,173,15.121980667114258,0.16975679993629456,0.6622568368911743
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,198,15.156295776367188,0.16542719304561615,0.6800984144210815
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,173,15.219217300415039,0.16266945004463196,0.6767175197601318
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,198,15.229787826538086,0.1662520468235016,0.7838566303253174
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,173,15.283221244812012,0.16427010297775269,0.7770191431045532
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,198,15.207415580749512,0.16700950264930725,0.6762441396713257
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,173,15.264503479003906,0.16498327255249023,0.6821354627609253
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,198,15.28772258758545,0.15985751152038574,0.6758622527122498
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,173,15.33474063873291,0.15845954418182373,0.6756401062011719
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,198,15.400535583496094,0.15938711166381836,0.7599685192108154
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,173,15.41932487487793,0.15858817100524902,0.7547413110733032
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,198,15.391129493713379,0.16021786630153656,0.6855026483535767
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,173,15.411483764648438,0.15966182947158813,0.687315046787262
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,198,15.437192916870117,0.1562790423631668,0.6865782737731934
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,173,15.452308654785156,0.15608440339565277,0.6902328729629517
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,198,15.457466125488281,0.15722708404064178,0.7432401180267334
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,173,15.463199615478516,0.15706554055213928,0.7420045137405396
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,198,15.452117919921875,0.15834522247314453,0.7014944553375244
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,173,15.458565711975098,0.15817497670650482,0.7065744400024414
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,198,15.476984977722168,0.15614257752895355,0.7074679136276245
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,173,15.480262756347656,0.1562604010105133,0.7121161818504333
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,136,19.26060676574707,0.1850840449333191,0.7208132147789001
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,114,18.794919967651367,0.19480280578136444,0.7103420495986938
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,136,21.271364212036133,0.13890282809734344,0.6547911167144775
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,114,21.12851333618164,0.14387325942516327,0.7266919016838074
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,136,20.735233306884766,0.16974568367004395,0.7942861318588257
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,114,20.504657745361328,0.18121042847633362,0.8016921877861023
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,136,21.632747650146484,0.1169852614402771,0.7790272235870361
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,114,21.67667007446289,0.11675169318914413,0.779306173324585
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,136,21.602516174316406,0.1195855662226677,0.7229398488998413
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,114,21.64464569091797,0.1185981035232544,0.726564884185791
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,136,21.594934463500977,0.11890026181936264,0.7394900321960449
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,114,21.640653610229492,0.11842109262943268,0.7392148971557617
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,136,21.72933578491211,0.11582326889038086,0.7785202264785767
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,114,21.760175704956055,0.11549647897481918,0.778540849685669
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,136,21.700214385986328,0.11686749756336212,0.7333546876907349
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,114,21.732440948486328,0.11607708781957626,0.7356351613998413
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,136,21.69654655456543,0.11763365566730499,0.7400010824203491
