method,calls,tx_ms_mean,rx_ms_mean,total_ms_mean
m8_D0,50,9.827077297959477,62.01805963879451,71.84513693675399
m8_Dc_only,50,9.780316958203912,61.95128678577021,71.73160374397412
m8_receiver_only_refiner,50,9.77255507837981,62.42238346254453,72.19493854092434
m8_plus_latent_512,50,60.86184217361733,62.294612810947,123.15645498456433
m8_plus_latent_1024,50,60.08443347644061,62.259455267339945,122.34388874378055
raw_N3060_m8_Dc,50,9.710514433681965,61.82600596686825,71.53652040055022
arithmetic_N3060_m8_Dc,50,64.19165377039462,80.69969738833606,144.89135115873069
raw_N3060_m9_Dc,50,10.682447184808552,62.98994128825143,73.67238847305998
arithmetic_N3060_m9_Dc,50,81.22543020406738,92.25166199263185,173.47709219669923
raw_N3572_m8_Dc,50,9.810207383707166,62.40819177124649,72.21839915495366
arithmetic_N3572_m8_Dc,50,64.43101287586614,80.88514536619186,145.316158242058
raw_N4084_m8_Dc,50,9.785162841435522,62.166254178155214,71.95141701959074
arithmetic_N4084_m8_Dc,50,64.14112639380619,81.36239095591009,145.50351734971628
