snr_db,method,control,metric,delta,ci_low,ci_high
1.0+4.0+7.0,prefix_next_scale,prefix_parallel,psnr_db,0.7161648919847277,0.5534111267195808,0.8944549079206253
1.0+4.0+7.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.032353600822389125,-0.040791346206536724,-0.024187704038081903
1.0+4.0+7.0,prefix_next_scale,prefix_parallel,dino_cosine,0.06787496938473649,0.051352412637944024,0.08440882038107761
1.0+4.0+7.0,prefix_parallel,digital_m8,psnr_db,-1.2288473394181991,-1.4878856003814274,-0.9842743386957382
1.0+4.0+7.0,prefix_parallel,digital_m8,lpips_alex,0.1477407688688901,0.1376074979612604,0.1581887100042982
1.0+4.0+7.0,prefix_parallel,digital_m8,dino_cosine,-0.19432670647071465,-0.2138607300328505,-0.1748684130467268
1.0+4.0+7.0,prefix_parallel,digital_adaptive,psnr_db,-2.2023405954572888,-2.5475721118715073,-1.8788013561831578
1.0+4.0+7.0,prefix_parallel,digital_adaptive,lpips_alex,0.17890449834159677,0.1698149409525924,0.18850954839219855
1.0+4.0+7.0,prefix_parallel,digital_adaptive,dino_cosine,-0.2361476971954107,-0.25703296894269684,-0.21550704096909612
1.0+4.0+7.0,prefix_parallel,perceptual_deepjscc,psnr_db,-6.954025946723091,-7.3628381554285705,-6.54933977397283
1.0+4.0+7.0,prefix_parallel,perceptual_deepjscc,lpips_alex,0.1573767089140084,0.14847199981959744,0.1664376294149293
1.0+4.0+7.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.10616826696735288,0.08004339069474696,0.13172560389153662
1.0+4.0+7.0,prefix_next_scale,digital_m8,psnr_db,-0.5126824474334717,-0.6830782917605505,-0.33979911740620944
1.0+4.0+7.0,prefix_next_scale,digital_m8,lpips_alex,0.11538716804650093,0.10593920945727993,0.1251143011783974
1.0+4.0+7.0,prefix_next_scale,digital_m8,dino_cosine,-0.12645173708597818,-0.14370119457691907,-0.10958057648191853
1.0+4.0+7.0,prefix_next_scale,digital_adaptive,psnr_db,-1.4861757034725613,-1.7208612972365485,-1.2540729317665102
1.0+4.0+7.0,prefix_next_scale,digital_adaptive,lpips_alex,0.1465508975192077,0.13821223432141255,0.1551657149971256
1.0+4.0+7.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.16827272781067426,-0.18595669704178974,-0.15123117736437253
1.0+4.0+7.0,prefix_next_scale,perceptual_deepjscc,psnr_db,-6.237861054738363,-6.581896940787634,-5.892247831715477
1.0+4.0+7.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,0.1250231080916193,0.11563624499738218,0.134406492274565
1.0+4.0+7.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.1740432363520894,0.1502063475064933,0.19763749611781284
1.0,prefix_next_scale,prefix_parallel,psnr_db,0.7724051539103189,0.6341618034044901,0.9167943803469342
1.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.04604047209024429,-0.05486414748678605,-0.03733649854113659
1.0,prefix_next_scale,prefix_parallel,dino_cosine,0.12422291311124958,0.09934330838701377,0.14942465311909714
1.0,prefix_parallel,digital_m8,psnr_db,-0.004271612167358388,-0.2681045482953389,0.27068297759691873
1.0,prefix_parallel,digital_m8,lpips_alex,0.14731003264586132,0.13364340720946588,0.16092318933705488
1.0,prefix_parallel,digital_m8,dino_cosine,-0.27508972528080144,-0.30444033973043166,-0.24515976267587394
1.0,prefix_parallel,digital_adaptive,psnr_db,-1.4466887124379475,-1.7723877843221028,-1.1365772758324943
1.0,prefix_parallel,digital_adaptive,lpips_alex,0.20113088078796865,0.19122178223170339,0.2112282574512065
1.0,prefix_parallel,digital_adaptive,dino_cosine,-0.3684839283178249,-0.3989369445710132,-0.3377777947500969
1.0,prefix_parallel,perceptual_deepjscc,psnr_db,-6.755219376881918,-7.1684805148442585,-6.350350309848786
1.0,prefix_parallel,perceptual_deepjscc,lpips_alex,0.1869594318668047,0.17750168713741005,0.19669253219043215
1.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.06361369650190075,0.031072036159380024,0.09560308713139964
1.0,prefix_next_scale,digital_m8,psnr_db,0.7681335417429607,0.5064154903093974,1.0463474284013106
1.0,prefix_next_scale,digital_m8,lpips_alex,0.101269560555617,0.08729969799766939,0.11482971768453715
1.0,prefix_next_scale,digital_m8,dino_cosine,-0.15086681216955183,-0.18219532897323373,-0.12113176504274208
1.0,prefix_next_scale,digital_adaptive,psnr_db,-0.6742835585276284,-0.9370455763339995,-0.4226371381282807
1.0,prefix_next_scale,digital_adaptive,lpips_alex,0.15509040869772434,0.14655663159365456,0.16382903490153455
1.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.2442610152065754,-0.2729903311642508,-0.2171137613418202
1.0,prefix_next_scale,perceptual_deepjscc,psnr_db,-5.982814222971598,-6.345940298954645,-5.620826905965804
1.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,0.14091895977656047,0.13088735010847447,0.15112108588777484
1.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.1878366096131504,0.15549127376374478,0.2195481268139556
4.0,prefix_next_scale,prefix_parallel,psnr_db,0.7534965674082439,0.5754685269991557,0.9378291368484494
4.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.03135063556333383,-0.040572067155192286,-0.02209503192578753
4.0,prefix_next_scale,prefix_parallel,dino_cosine,0.05563252021869023,0.03709769712636868,0.07497736278921366
4.0,prefix_parallel,digital_m8,psnr_db,-2.155122299194336,-2.521597222805023,-1.8135987768967947
4.0,prefix_parallel,digital_m8,lpips_alex,0.17107494947190083,0.1610561507502571,0.18191846173893034
4.0,prefix_parallel,digital_m8,dino_cosine,-0.19415125926335647,-0.2163318326920271,-0.1725660032977661
4.0,prefix_parallel,digital_adaptive,psnr_db,-2.155122299194336,-2.521597222805023,-1.8135987768967947
4.0,prefix_parallel,digital_adaptive,lpips_alex,0.17107494947190083,0.1610561507502571,0.18191846173893034
4.0,prefix_parallel,digital_adaptive,dino_cosine,-0.19415125926335647,-0.2163318326920271,-0.1725660032977661
4.0,prefix_parallel,perceptual_deepjscc,psnr_db,-6.915810130437214,-7.328963967879615,-6.50271590646108
4.0,prefix_parallel,perceptual_deepjscc,lpips_alex,0.1497337550794085,0.13993458010287332,0.15980114455334843
4.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.13433983390529952,0.10513071542605756,0.16263171898325282
4.0,prefix_next_scale,digital_m8,psnr_db,-1.4016257317860918,-1.636824862718582,-1.1712522181669873
4.0,prefix_next_scale,digital_m8,lpips_alex,0.13972431390856702,0.13085574142743525,0.1488244951356513
4.0,prefix_next_scale,digital_m8,dino_cosine,-0.1385187390446663,-0.1553061758056283,-0.12201785367478929
4.0,prefix_next_scale,digital_adaptive,psnr_db,-1.4016257317860918,-1.636824862718582,-1.1712522181669873
4.0,prefix_next_scale,digital_adaptive,lpips_alex,0.13972431390856702,0.13085574142743525,0.1488244951356513
4.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.1385187390446663,-0.1553061758056283,-0.12201785367478929
