snr_db,arm,transmissions,source_images,psnr_db,lpips_alex,dino_cosine,token_accuracy,header_usable,header_false_acceptance,inference_seconds,data_power
1.0,prefix_parallel,300,100,16.572772719065348,0.4378005604445934,0.4801960352311532,0.5308235570788383,1.0,0.0,0.06274087792029605,2.000000013113022
1.0,prefix_next_scale,300,100,17.34517787297567,0.3917600883543491,0.6044189483424027,0.49728107571601865,1.0,0.0,0.06905295027652755,1.9999999964237214
1.0,digital_m8,300,100,16.577044331232706,0.29049052779873213,0.7552857605119546,,1.0,0.0,,2.0
1.0,digital_adaptive,300,100,18.019461431503295,0.2366696796566248,0.8486799635489781,,1.0,0.0,,2.0
1.0,perceptual_deepjscc,300,100,23.327992095947266,0.2508411285777887,0.41658233872925243,,,,0.004785002088174224,1.9999999511241913
4.0,prefix_parallel,300,100,17.535691175460816,0.3482240111877521,0.6955979271729787,0.7500784786542257,1.0,0.0,0.06115026248153299,2.000000013113022
4.0,prefix_next_scale,300,100,18.28918774286906,0.31687337562441825,0.751230447391669,0.7075686500469843,1.0,0.0,0.06868962697762375,1.9999999964237214
4.0,digital_m8,300,100,19.69081347465515,0.17714906171585124,0.8897491864363353,,1.0,0.0,,2.0
4.0,digital_adaptive,300,100,19.69081347465515,0.17714906171585124,0.8897491864363353,,1.0,0.0,,2.0
4.0,perceptual_deepjscc,300,100,24.45150130589803,0.1984902561083436,0.5612580932676792,,,,0.0045752189696456,1.9999999928474426
5.0,prefix_parallel,300,100,17.782837139765423,0.3267427813758453,0.7330810954173406,0.7971634636322658,1.0,0.0,0.061130154941541455,2.000000013113022
5.0,prefix_next_scale,300,100,18.501380551656087,0.30281365243097147,0.7681715840101242,0.7522876274585724,1.0,0.0,0.06865535273604716,1.9999999964237214
5.0,digital_m8,300,100,19.691623792648315,0.17714132776483893,0.8897296416759491,,1.0,0.0,,2.0
5.0,digital_adaptive,300,100,19.691623792648315,0.17714132776483893,0.8897296416759491,,1.0,0.0,,2.0
5.0,perceptual_deepjscc,300,100,11.266093425750732,0.7367856815457344,0.05507964965887368,,,,0.004563160032654802,1.9999999809265137
6.0,prefix_parallel,300,100,17.977795864741008,0.3123268010218938,0.7565554158886274,0.8308105238278707,1.0,0.0,0.0611422035160164,2.000000013113022
6.0,prefix_next_scale,300,100,18.724254020055135,0.2894705285256108,0.7890781806906064,0.78633993268013,1.0,0.0,0.06862907859031112,1.9999999964237214
6.0,digital_m8,300,100,19.691623792648315,0.17714132776483893,0.8897296416759491,,1.0,0.0,,2.0
6.0,digital_adaptive,300,100,20.461426073710125,0.15426895804703236,0.9028729283809662,,1.0,0.0,,2.0
6.0,perceptual_deepjscc,300,100,23.643892911275227,0.30724320286264023,0.5011873938391606,,,,0.004560827189901223,1.9999999737739562
7.0,prefix_parallel,300,100,18.164475685755413,0.301978652253747,0.775990506807963,0.8558432038625081,1.0,0.0,0.06118162854807451,2.000000013113022
7.0,prefix_next_scale,300,100,18.78706864039103,0.2823089574401577,0.7997599816322327,0.8108628125985463,1.0,0.0,0.06865081244613976,1.9999999964237214
7.0,digital_m8,300,100,19.691623792648315,0.17714132776483893,0.8897296416759491,,1.0,0.0,,2.0
7.0,digital_adaptive,300,100,21.169686460494994,0.1374709874888261,0.9217984108130137,,1.0,0.0,,2.0
7.0,perceptual_deepjscc,300,100,25.35552401860555,0.166541712457935,0.6554392363131046,,,,0.004561482381541282,1.999999989271164
13.0,prefix_parallel,300,100,18.53868600209554,0.28212028990189236,0.802259127497673,0.9120915677150091,1.0,0.0,0.061094173344317826,2.000000013113022
13.0,prefix_next_scale,300,100,19.039169267018636,0.26212740611284974,0.8154507851600648,0.8695294791460038,1.0,0.0,0.06858875224289174,1.9999999964237214
13.0,digital_m8,300,100,19.691623792648315,0.17714132776483893,0.8897296416759491,,1.0,0.0,,2.0
13.0,digital_adaptive,300,100,21.24372802734375,0.13589562106877565,0.9238587617874146,,1.0,0.0,,2.0
13.0,perceptual_deepjscc,300,100,26.467272446950275,0.1386478207881252,0.7451532711088658,,,,0.004554122494688878,1.9999999761581422
19.0,prefix_parallel,300,100,18.632075112660726,0.28320161886513234,0.7983946941296259,0.9215164041519165,1.0,0.0,0.061035844553262,2.000000013113022
19.0,prefix_next_scale,300,100,19.041644738515217,0.2628427708521485,0.8186507775386175,0.8774510473012924,1.0,0.0,0.06849433058174327,1.9999999964237214
19.0,digital_m8,300,100,19.691623792648315,0.17714132776483893,0.8897296416759491,,1.0,0.0,,2.0
19.0,digital_adaptive,300,100,21.24372802734375,0.13589562106877565,0.9238587617874146,,1.0,0.0,,2.0
19.0,perceptual_deepjscc,300,100,26.88324706395467,0.13037120171512168,0.772764148414135,,,,0.0045495019100296,1.9999999618530273
