snr_db,control,metric,VAR_minus_control,ci_low,ci_high,control_mean
1.0,group_ml,psnr_db,0.0,0.0,0.0,7.963378579616546
1.0,group_ml,lpips_alex,0.0,0.0,0.0,0.8281420689821243
1.0,group_ml,dino_cosine,0.0,0.0,0.0,0.27903085728175936
1.0,whole_adaptive,psnr_db,-10.05608285188675,-10.785794355650744,-9.336204050143559,18.019461431503295
1.0,whole_adaptive,lpips_alex,0.5914723890771468,0.5676649616453796,0.6158715675001343,0.2366696799049775
1.0,whole_adaptive,dino_cosine,-0.569649106465901,-0.6131876155301773,-0.5259130658758029,0.8486799637476604
1.0,group_entropy,psnr_db,0.0,0.0,0.0,7.963378579616546
1.0,group_entropy,lpips_alex,0.0,0.0,0.0,0.8281420689821243
1.0,group_entropy,dino_cosine,0.0,0.0,0.0,0.27903085728175936
4.0,group_ml,psnr_db,0.013218568166097011,0.0,0.029940420786539725,14.226879440148673
4.0,group_ml,lpips_alex,-0.0003291156888008118,-0.0008475918571154279,0.0,0.43607652804503844
4.0,group_ml,dino_cosine,0.000205706159273783,-4.612286885579353e-05,0.0006265074014663674,0.6518822463663916
4.0,whole_adaptive,psnr_db,-5.450715504487355,-6.017222316165764,-4.910825794835885,19.690813512802123
4.0,whole_adaptive,lpips_alex,0.2585983495848874,0.2329077892058218,0.28546075215004374,0.17714906277135015
4.0,whole_adaptive,dino_cosine,-0.23766124523555238,-0.2711285697611359,-0.20535564166478196,0.8897491977612176
4.0,group_entropy,psnr_db,-0.10673680305480962,-0.7296143123706185,0.5212008469104759,14.346834811369579
4.0,group_entropy,lpips_alex,0.005907667409628631,-0.0274208212805291,0.03856768654162684,0.429839744946609
4.0,group_entropy,dino_cosine,-0.0069609704210112444,-0.042624934036129464,0.02912827127582083,0.6590489229466766
7.0,group_ml,psnr_db,1.3423821608225504,1.102493307987849,1.588173443635304,19.467445238431296
7.0,group_ml,lpips_alex,-0.04259036612386504,-0.05071951207239181,-0.03468115873122589,0.19581473069886365
7.0,group_ml,dino_cosine,0.03596888601779938,0.02847553341587385,0.04413811328013738,0.8730687468747298
7.0,whole_adaptive,psnr_db,-0.35985902945200593,-0.5384408508141835,-0.20056122191747044,21.169686428705855
7.0,whole_adaptive,lpips_alex,0.0157533770489196,0.00856611527937154,0.024183607749020064,0.13747098752607903
7.0,whole_adaptive,dino_cosine,-0.012760786662499104,-0.02190163940936327,-0.005507612639417249,0.9217984195550284
7.0,group_entropy,psnr_db,0.056294646263122666,-0.20017387739817297,0.31116555388768513,20.753532752990722
7.0,group_entropy,lpips_alex,-0.0010671476398905109,-0.01112132662596802,0.009476977297725769,0.15429151221488915
7.0,group_entropy,dino_cosine,0.002080739686886469,-0.008437589501341184,0.01207465101530154,0.9069568932056425
13.0,group_ml,psnr_db,0.0,0.0,0.0,21.243728008270264
13.0,group_ml,lpips_alex,0.0,0.0,0.0,0.13589562190696597
13.0,group_ml,dino_cosine,0.0,0.0,0.0,0.9238587683439254
13.0,whole_adaptive,psnr_db,0.0,0.0,0.0,21.243728008270264
13.0,whole_adaptive,lpips_alex,0.0,0.0,0.0,0.13589562190696597
13.0,whole_adaptive,dino_cosine,0.0,0.0,0.0,0.9238587683439254
13.0,group_entropy,psnr_db,0.0,0.0,0.0,21.243728008270264
13.0,group_entropy,lpips_alex,0.0,0.0,0.0,0.13589562190696597
13.0,group_entropy,dino_cosine,0.0,0.0,0.0,0.9238587683439254
19.0,group_ml,psnr_db,0.0,0.0,0.0,21.243728008270264
19.0,group_ml,lpips_alex,0.0,0.0,0.0,0.13589562190696597
19.0,group_ml,dino_cosine,0.0,0.0,0.0,0.9238587683439254
19.0,whole_adaptive,psnr_db,0.0,0.0,0.0,21.243728008270264
19.0,whole_adaptive,lpips_alex,0.0,0.0,0.0,0.13589562190696597
19.0,whole_adaptive,dino_cosine,0.0,0.0,0.0,0.9238587683439254
19.0,group_entropy,psnr_db,0.0,0.0,0.0,21.243728008270264
19.0,group_entropy,lpips_alex,0.0,0.0,0.0,0.13589562190696597
19.0,group_entropy,dino_cosine,0.0,0.0,0.0,0.9238587683439254
4.0+7.0,group_ml,psnr_db,0.6778003644943239,0.5574034190177917,0.8018636073668801,16.847162339289984
4.0+7.0,group_ml,lpips_alex,-0.02145974090633293,-0.025526112603411696,-0.01748111106501893,0.31594562937195103
4.0+7.0,group_ml,dino_cosine,0.018087296088536577,0.014351747376223398,0.022165211205681146,0.7624754966205607
4.0+7.0,whole_adaptive,psnr_db,-2.905287266969681,-3.186188489516576,-2.6339530239403253,20.43024997075399
4.0+7.0,whole_adaptive,lpips_alex,0.1371758633169035,0.12387709001995002,0.15085315750896308,0.1573100251487146
4.0+7.0,whole_adaptive,dino_cosine,-0.12521101594902576,-0.14286196870248147,-0.10828489057859407,0.9057738086581231
4.0+7.0,group_entropy,psnr_db,-0.025221078395843293,-0.3636603393554684,0.3187724716862045,17.550183782180152
4.0+7.0,group_entropy,lpips_alex,0.002420259884869059,-0.01554522862914018,0.020123231743151938,0.2920656285807491
4.0+7.0,group_entropy,dino_cosine,-0.0024401153670623966,-0.021682835037354384,0.01713628671655896,0.7830029080761597
