method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
residual,0,1.0,"2001,2002,2003",12.927348772684732,0.27102171381314594,0.5563831925392151
residual,0,4.0,"2001,2002,2003",15.163420041402182,0.16723203659057617,0.7123929262161255
residual,0,7.0,"2001,2002,2003",15.294129053751627,0.1625769038995107,0.7114285429318746
residual,0,13.0,"2001,2002,2003",15.427658398946127,0.1581223408381144,0.7106343309084574
residual,0,19.0,"2001,2002,2003",15.467339197794596,0.15717134376366934,0.7199102640151978
residual,1,1.0,"2001,2002,2003",20.142845789591473,0.1732936551173528,0.7462621132532755
residual,1,4.0,"2001,2002,2003",21.6541690826416,0.11791798969109853,0.7483224868774414
residual,1,7.0,"2001,2002,2003",21.740549723307293,0.11624862502018611,0.7513459920883179
residual,1,13.0,"2001,2002,2003",21.82712173461914,0.11510725567738216,0.7493776877721151
residual,1,19.0,"2001,2002,2003",21.8533509572347,0.11492985238631566,0.7442747553189596
residual,2,1.0,"2001,2002,2003",15.89508056640625,0.35704873005549115,0.603156199057897
residual,2,4.0,"2001,2002,2003",17.363398869832356,0.25036535660425824,0.8665086030960083
residual,2,7.0,"2001,2002,2003",17.446221033732098,0.24320334692796072,0.8721210161844889
residual,2,13.0,"2001,2002,2003",17.536569595336914,0.23893486460049948,0.8779705762863159
residual,2,19.0,"2001,2002,2003",17.5675474802653,0.23810534179210663,0.8783701658248901
residual,3,1.0,"2001,2002,2003",14.160718282063803,0.3184990684191386,0.4594542632500331
residual,3,4.0,"2001,2002,2003",16.184743245442707,0.18968157966931662,0.8739402294158936
residual,3,7.0,"2001,2002,2003",16.304974873860676,0.18735853830973306,0.865830679734548
residual,3,13.0,"2001,2002,2003",16.418516159057617,0.18523997565110525,0.8587684233983358
residual,3,19.0,"2001,2002,2003",16.449849446614582,0.18427695830663046,0.8585335612297058
residual,4,1.0,"2001,2002,2003",17.172614415486652,0.27809858322143555,0.7596102158228556
residual,4,4.0,"2001,2002,2003",18.462032953898113,0.18927918374538422,0.8784673810005188
residual,4,7.0,"2001,2002,2003",18.568658192952473,0.18709600965181986,0.8849148154258728
residual,4,13.0,"2001,2002,2003",18.672579447428387,0.1857813000679016,0.891962726910909
residual,4,19.0,"2001,2002,2003",18.70327377319336,0.18601380288600922,0.8978328903516134
residual,5,1.0,"2001,2002,2003",21.40306218465169,0.25786933799584705,0.5699898501237234
residual,5,4.0,"2001,2002,2003",23.943443298339844,0.13450261453787485,0.8456159035364786
residual,5,7.0,"2001,2002,2003",23.999343872070312,0.13242940107981363,0.8500276605288187
residual,5,13.0,"2001,2002,2003",24.063064575195312,0.1316306640704473,0.8560870687166849
residual,5,19.0,"2001,2002,2003",24.085695266723633,0.13106107711791992,0.8571019172668457
residual,6,1.0,"2001,2002,2003",20.656239191691082,0.2902508080005646,0.8774772882461548
residual,6,4.0,"2001,2002,2003",23.144001007080078,0.18901329735914865,0.9021496176719666
residual,6,7.0,"2001,2002,2003",23.173293431599934,0.18787007530530295,0.9059155583381653
residual,6,13.0,"2001,2002,2003",23.202884038289387,0.18852201104164124,0.9131801923116049
residual,6,19.0,"2001,2002,2003",23.21042315165202,0.1902292917172114,0.915160616238912
residual,7,1.0,"2001,2002,2003",14.787202835083008,0.29370983441670734,0.5770558416843414
residual,7,4.0,"2001,2002,2003",15.833172162373861,0.23295990626017252,0.8453010320663452
residual,7,7.0,"2001,2002,2003",15.901772816975912,0.2302598605553309,0.8502166668574015
residual,7,13.0,"2001,2002,2003",15.965825716654459,0.22593635817368826,0.8590394854545593
residual,7,19.0,"2001,2002,2003",15.979505856831869,0.22459998726844788,0.8601522048314413
residual,8,1.0,"2001,2002,2003",13.621246337890625,0.34418631593386334,0.786696712176005
residual,8,4.0,"2001,2002,2003",16.422707239786785,0.1948519547780355,0.9426766236623129
residual,8,7.0,"2001,2002,2003",16.556201934814453,0.18973763783772787,0.9437703887621561
residual,8,13.0,"2001,2002,2003",16.701139450073242,0.18450528383255005,0.9457884232203165
residual,8,19.0,"2001,2002,2003",16.750425974527996,0.18270369370778403,0.9465383887290955
residual,9,1.0,"2001,2002,2003",16.093835194905598,0.2590264131625493,0.8593610326449076
residual,9,4.0,"2001,2002,2003",17.343285242716473,0.18682092428207397,0.9088318943977356
residual,9,7.0,"2001,2002,2003",17.489316940307617,0.18414417405923209,0.9091078639030457
residual,9,13.0,"2001,2002,2003",17.626211802164715,0.18095957239468893,0.9059018095334371
residual,9,19.0,"2001,2002,2003",17.660518646240234,0.18069563309351602,0.9045066436131796
residual,10,1.0,"2001,2002,2003",16.45439879099528,0.2610332866509755,0.9105554024378458
residual,10,4.0,"2001,2002,2003",19.295456568400066,0.14385583500067392,0.9573808312416077
residual,10,7.0,"2001,2002,2003",19.44566027323405,0.14049965143203735,0.9578497012456259
residual,10,13.0,"2001,2002,2003",19.621252059936523,0.13739663859208426,0.9568285544713339
residual,10,19.0,"2001,2002,2003",19.68638801574707,0.1364284207423528,0.9562985499699911
residual,11,1.0,"2001,2002,2003",14.551921208699545,0.3728685776392619,0.3633759220441182
residual,11,4.0,"2001,2002,2003",19.034617741902668,0.17168417076269785,0.8477960824966431
residual,11,7.0,"2001,2002,2003",19.146995544433594,0.17115806539853415,0.85295703013738
residual,11,13.0,"2001,2002,2003",19.26321283976237,0.17116960883140564,0.860376238822937
residual,11,19.0,"2001,2002,2003",19.304304122924805,0.17035653193791708,0.8587548931439718
residual,12,1.0,"2001,2002,2003",17.324759165445965,0.32278501987457275,0.771503766377767
residual,12,4.0,"2001,2002,2003",21.721046447753906,0.20758216579755148,0.9021559556325277
residual,12,7.0,"2001,2002,2003",21.91746711730957,0.203631321589152,0.9068251252174377
residual,12,13.0,"2001,2002,2003",22.129473368326824,0.19753827651341757,0.9135131438573202
residual,12,19.0,"2001,2002,2003",22.192785898844402,0.19500447809696198,0.9142084121704102
residual,13,1.0,"2001,2002,2003",15.833680788675943,0.3266096313794454,0.6867358485857645
residual,13,4.0,"2001,2002,2003",19.755608876546223,0.1862576206525167,0.878236711025238
residual,13,7.0,"2001,2002,2003",20.014824549357098,0.17917390167713165,0.8788415988286337
residual,13,13.0,"2001,2002,2003",20.333438873291016,0.17006370921929678,0.8795214692751566
residual,13,19.0,"2001,2002,2003",20.434420267740887,0.16667348643143973,0.8826098243395487
residual,14,1.0,"2001,2002,2003",15.521321614583334,0.20966842770576477,0.7628605961799622
residual,14,4.0,"2001,2002,2003",17.70809555053711,0.11113169540961583,0.8929237524668375
residual,14,7.0,"2001,2002,2003",17.882479349772137,0.10733671734730403,0.8976461291313171
residual,14,13.0,"2001,2002,2003",18.045567830403645,0.10433987279733022,0.8993739287058512
residual,14,19.0,"2001,2002,2003",18.089742024739582,0.10346884032090505,0.9006893436113993
residual,15,1.0,"2001,2002,2003",22.645130793253582,0.20650701224803925,0.8933442831039429
residual,15,4.0,"2001,2002,2003",25.440102259318035,0.1331812491019567,0.9411411881446838
residual,15,7.0,"2001,2002,2003",25.556999842325848,0.13038061062494913,0.9437639514605204
residual,15,13.0,"2001,2002,2003",25.6778990427653,0.12796302139759064,0.9459706743558248
residual,15,19.0,"2001,2002,2003",25.7133305867513,0.12778491278489432,0.9466659625371298
residual,16,1.0,"2001,2002,2003",16.395172119140625,0.24373435974121094,0.8999355236689249
residual,16,4.0,"2001,2002,2003",20.030696233113606,0.15218456089496613,0.9427329500516256
residual,16,7.0,"2001,2002,2003",20.194827397664387,0.14847331742445627,0.9435505469640096
residual,16,13.0,"2001,2002,2003",20.356401443481445,0.14559534192085266,0.9440606633822123
residual,16,19.0,"2001,2002,2003",20.40313975016276,0.14506283899148306,0.9443708856900533
residual,17,1.0,"2001,2002,2003",13.443214416503906,0.3027612070242564,0.7434390981992086
residual,17,4.0,"2001,2002,2003",16.476470947265625,0.17257513602574667,0.9054880340894064
residual,17,7.0,"2001,2002,2003",16.572310129801433,0.17058715224266052,0.9097257057825724
residual,17,13.0,"2001,2002,2003",16.67115084330241,0.1686470607916514,0.9155550003051758
residual,17,19.0,"2001,2002,2003",16.70144780476888,0.1688168595234553,0.9175070722897848
residual,18,1.0,"2001,2002,2003",19.429192860921223,0.23907916247844696,0.8051532506942749
residual,18,4.0,"2001,2002,2003",22.114105224609375,0.1377385457356771,0.9158134460449219
