method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,198,2048.0,13.428421974182129,0.23766517639160156,0.6142539381980896
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,173,2048.0,12.952646255493164,0.2508953809738159,0.5862308740615845
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,198,2048.0,12.97724723815918,0.2576189637184143,0.5093362331390381
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,173,2048.0,12.52393627166748,0.28309690952301025,0.48604267835617065
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,198,2048.0,13.768379211425781,0.24771347641944885,0.6548764705657959
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,173,2048.0,13.305463790893555,0.2790728509426117,0.5968760251998901
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,198,2048.0,15.075525283813477,0.17173641920089722,0.8093051314353943
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,173,2048.0,15.148876190185547,0.16926291584968567,0.7981812953948975
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,198,2048.0,15.043689727783203,0.17180734872817993,0.6629189252853394
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,173,2048.0,15.122011184692383,0.16977301239967346,0.6623728275299072
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,198,2048.0,15.156335830688477,0.16541898250579834,0.6798650026321411
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,173,2048.0,15.219372749328613,0.16266018152236938,0.6766246557235718
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,198,2048.0,15.229702949523926,0.1662755310535431,0.7836843729019165
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,173,2048.0,15.283205032348633,0.16427429020404816,0.7767795920372009
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,198,2048.0,15.207419395446777,0.16702023148536682,0.6760885119438171
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,173,2048.0,15.264444351196289,0.16499117016792297,0.6820145845413208
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,198,2048.0,15.287723541259766,0.15986303985118866,0.675780177116394
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,173,2048.0,15.334737777709961,0.15846525132656097,0.675491452217102
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,198,2048.0,15.40046215057373,0.15939682722091675,0.759937047958374
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,173,2048.0,15.419239044189453,0.15860065817832947,0.7546284198760986
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,198,2048.0,15.391107559204102,0.1602284014225006,0.6855047941207886
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,173,2048.0,15.411477088928223,0.15966768562793732,0.6872506141662598
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,198,2048.0,15.437150955200195,0.15629088878631592,0.6863160133361816
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,173,2048.0,15.452259063720703,0.15609867870807648,0.6900239586830139
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,198,2048.0,15.457390785217285,0.15724308788776398,0.7430416941642761
