method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,198,2048.0,13.428136825561523,0.23767435550689697,0.6142884492874146
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,173,2048.0,12.948869705200195,0.2508337199687958,0.5844347476959229
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,198,2048.0,12.976997375488281,0.2576323449611664,0.5093176364898682
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,173,2048.0,12.518953323364258,0.28349483013153076,0.48432278633117676
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,198,2048.0,13.768157005310059,0.24773257970809937,0.6547819375991821
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,173,2048.0,13.296488761901855,0.2794479727745056,0.5818716287612915
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,198,2048.0,15.074552536010742,0.17172950506210327,0.8093156814575195
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,173,2048.0,15.148824691772461,0.1692633330821991,0.7981985807418823
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,198,2048.0,15.042600631713867,0.17174172401428223,0.6634982228279114
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,173,2048.0,15.121963500976562,0.16977018117904663,0.6623862981796265
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,198,2048.0,15.155254364013672,0.1655058115720749,0.6802549362182617
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,173,2048.0,15.219324111938477,0.16266334056854248,0.6766546964645386
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,198,2048.0,15.228819847106934,0.16628360748291016,0.7839260101318359
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,173,2048.0,15.282984733581543,0.1642746925354004,0.7766957879066467
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,198,2048.0,15.206598281860352,0.1669909954071045,0.6761813163757324
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,173,2048.0,15.264240264892578,0.16498753428459167,0.6819698810577393
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,198,2048.0,15.28669261932373,0.15989293158054352,0.676409125328064
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,173,2048.0,15.334404945373535,0.1584637463092804,0.6756478548049927
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,198,2048.0,15.400175094604492,0.15938755869865417,0.7597180604934692
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,173,2048.0,15.419181823730469,0.15859895944595337,0.7546112537384033
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,198,2048.0,15.390789031982422,0.16021329164505005,0.6855858564376831
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,173,2048.0,15.411417007446289,0.15966105461120605,0.6872910261154175
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,198,2048.0,15.43655776977539,0.1562529057264328,0.6865928173065186
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,173,2048.0,15.452141761779785,0.15609143674373627,0.6901200413703918
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,198,2048.0,15.457218170166016,0.15723852813243866,0.7432196140289307
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,173,2048.0,15.463239669799805,0.15706218779087067,0.7413504123687744
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,198,2048.0,15.45195484161377,0.15831133723258972,0.7014206051826477
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,173,2048.0,15.458516120910645,0.15817996859550476,0.7064617872238159
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,198,2048.0,15.476679801940918,0.15613329410552979,0.7075735926628113
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,173,2048.0,15.480194091796875,0.15626443922519684,0.7120094299316406
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,136,2048.0,19.260175704956055,0.18507370352745056,0.7208482027053833
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,114,2047.999755859375,18.7994327545166,0.19496546685695648,0.711288571357727
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,136,2048.0,21.271543502807617,0.13890554010868073,0.654786229133606
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,114,2047.999755859375,21.131084442138672,0.14329709112644196,0.7283867001533508
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,136,2048.0,20.73517608642578,0.16975286602973938,0.7943904399871826
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,114,2047.999755859375,20.504993438720703,0.18136879801750183,0.8018660545349121
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,136,2048.0,21.63141632080078,0.11694346368312836,0.7787034511566162
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.676807403564453,0.11673630028963089,0.7793116569519043
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,136,2048.0,21.601612091064453,0.11956868320703506,0.7232240438461304
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.644744873046875,0.11858657002449036,0.7265204191207886
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,136,2048.0,21.593664169311523,0.11888466030359268,0.739627480506897
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.640762329101562,0.11842885613441467,0.7391477227210999
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,136,2048.0,21.728181838989258,0.1157940998673439,0.7782526016235352
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.759803771972656,0.11547237634658813,0.7783636450767517
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,136,2048.0,21.699373245239258,0.11687938123941422,0.7336137890815735
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.732234954833984,0.11607386916875839,0.7356674075126648
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,136,2048.0,21.695411682128906,0.11758305132389069,0.7400934100151062
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.72859001159668,0.11717377603054047,0.7400707602500916
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,136,2048.0,21.829593658447266,0.11456368863582611,0.7701358795166016
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.83985710144043,0.11452239751815796,0.7672408223152161
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,136,2048.0,21.8117733001709,0.11488663405179977,0.7392180562019348
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.823556900024414,0.11471214890480042,0.7390965223312378
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,136,2048.0,21.805679321289062,0.11617979407310486,0.741968035697937
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.81745719909668,0.11607769131660461,0.741822361946106
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,136,2048.0,21.857975006103516,0.11477100849151611,0.7563012838363647
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.860397338867188,0.11482036113739014,0.7542014122009277
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,136,2048.0,21.84888458251953,0.1146220713853836,0.7389285564422607
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.852407455444336,0.11460331082344055,0.7386527061462402
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,136,2048.0,21.842939376831055,0.11547800898551941,0.740471363067627
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.84705352783203,0.11536400020122528,0.739977240562439
