source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode,seed,preprocessing_id,seed_count,seed_keys,budget
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1562,1562,,"('arithmetic', 'e5cac6c8ac7bde78e916547af84f1a3cb3ecca5b3e5072e3977d7f7202986f8d')",arithmetic_N3572_m7_D0,12.33504867553711,0.2813071608543396,0.6454495787620544,D0,goodput,7,2001,,3,"2001,2002,2003",3572
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4214,4214,,"('arithmetic', '30d9778ece7cc3503bb30b6b302f7fe41e8366b7ab5fe60f1bbccc751205fb69')",arithmetic_N3572_m9_D0,14.400623321533203,0.16540132959683737,0.7895399928092957,D0,goodput,9,2001,,3,"2001,2002,2003",3572
0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4214,4214,,"('arithmetic', '30d9778ece7cc3503bb30b6b302f7fe41e8366b7ab5fe60f1bbccc751205fb69')",arithmetic_N3572_m9_D0,14.76740837097168,0.15156676868597665,0.8782002925872803,D0,goodput,9,2001,,3,"2001,2002,2003",3572
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4214,4214,,"('arithmetic', '30d9778ece7cc3503bb30b6b302f7fe41e8366b7ab5fe60f1bbccc751205fb69')",arithmetic_N3572_m9_D0,14.76740837097168,0.15156676868597665,0.8782002925872803,D0,goodput,9,2001,,3,"2001,2002,2003",3572
0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4214,4214,,"('arithmetic', '30d9778ece7cc3503bb30b6b302f7fe41e8366b7ab5fe60f1bbccc751205fb69')",arithmetic_N3572_m9_D0,14.76740837097168,0.15156676868597665,0.8782002925872803,D0,goodput,9,2001,,3,"2001,2002,2003",3572
1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1513,1513,,"('arithmetic', 'cca621119f6898436fcf13827d40be61661629066a1d49c531ba96daed060bfc')",arithmetic_N3572_m7_D0,19.626873016357422,0.177059143781662,0.6421431303024292,D0,goodput,7,2001,,3,"2001,2002,2003",3572
1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4116,4116,,"('arithmetic', '330be808b274b15b3dfb418d52d94b4dc72b7d75cb8f841da1860b55fbe70101')",arithmetic_N3572_m9_D0,20.524206161499023,0.12865633765856424,0.8784524202346802,D0,goodput,9,2001,,3,"2001,2002,2003",3572
1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4116,4116,,"('arithmetic', '330be808b274b15b3dfb418d52d94b4dc72b7d75cb8f841da1860b55fbe70101')",arithmetic_N3572_m9_D0,20.524206161499023,0.12865633765856424,0.8784524202346802,D0,goodput,9,2001,,3,"2001,2002,2003",3572
1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4116,4116,,"('arithmetic', '330be808b274b15b3dfb418d52d94b4dc72b7d75cb8f841da1860b55fbe70101')",arithmetic_N3572_m9_D0,20.524206161499023,0.12865633765856424,0.8784524202346802,D0,goodput,9,2001,,3,"2001,2002,2003",3572
1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4116,4116,,"('arithmetic', '330be808b274b15b3dfb418d52d94b4dc72b7d75cb8f841da1860b55fbe70101')",arithmetic_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,goodput,9,2001,,3,"2001,2002,2003",3572
