family,budget,renderer,policy,psnr_db,lpips_alex,dino_cosine
raw,3572,D0,reliability,20.30241584523519,0.16378767917926115,0.9020832183361054
raw,3572,D0,quality,20.399890008290612,0.15956294729063908,0.9034372555613518
raw,3572,D0,goodput,20.30241584523519,0.16378767917926115,0.9020832183361054
raw,3572,Dc,reliability,20.994197023391724,0.15219088496143618,0.8847108631928762
raw,3572,Dc,quality,21.084036185582477,0.14858167494212587,0.884309980769952
raw,3572,Dc,goodput,20.994197023391724,0.15219088496143618,0.8847108631928762
raw,4084,D0,reliability,20.30487024561564,0.16372927756235003,0.9022320020198822
raw,4084,D0,quality,20.813854957580567,0.14705801533659296,0.9137540374199549
raw,4084,D0,goodput,20.30487024561564,0.16372927756235003,0.9022320020198822
raw,4084,Dc,reliability,20.99681986363729,0.15211316442862152,0.8848887442747753
raw,4084,Dc,quality,21.505338965098066,0.13652762205526234,0.893570655465126
raw,4084,Dc,goodput,20.99681986363729,0.15211316442862152,0.8848887442747753
arithmetic,3572,D0,reliability,20.304901489257812,0.16372650760536395,0.9022415081262588
arithmetic,3572,D0,quality,20.41986837132772,0.16304149051507313,0.9010345299343269
arithmetic,3572,D0,goodput,20.41986837132772,0.16304149051507313,0.9010345299343269
arithmetic,3572,Dc,reliability,20.996963623046874,0.1521111765044431,0.8849274026155471
arithmetic,3572,Dc,quality,21.104005294164025,0.15180113387604552,0.8824098946750164
arithmetic,3572,Dc,goodput,21.104005294164025,0.15180113387604552,0.8824098946750164
arithmetic,4084,D0,reliability,20.591057664871215,0.15644592771927518,0.907791479498148
arithmetic,4084,D0,quality,20.748162236531577,0.15274322545652586,0.907745648086071
arithmetic,4084,D0,goodput,20.748162236531577,0.15274322545652586,0.907745648086071
arithmetic,4084,Dc,reliability,21.282235120137535,0.14528807395448287,0.8890085374712944
arithmetic,4084,Dc,quality,21.442114053090418,0.14212149302164714,0.8878096384803453
arithmetic,4084,Dc,goodput,21.442114053090418,0.14212149302164714,0.8878096384803453
