method,repetition,tx_ms,rx_ms
m8_D0,0,9.826041990891099,59.50789200142026
m8_D0,1,9.788405033759773,59.43155393470079
m8_D0,2,9.78600897360593,59.24839898943901
m8_D0,3,9.814690100029111,58.85892501100898
m8_D0,4,9.711423073895276,58.84688091464341
m8_Dc_only,0,9.764552931301296,59.11591392941773
m8_Dc_only,1,9.710773942060769,58.92929690890014
m8_Dc_only,2,9.72043292131275,58.67658497299999
m8_Dc_only,3,9.687670040875673,58.88491705991328
m8_Dc_only,4,9.73750906996429,58.96825098898262
m8_receiver_only_refiner,0,9.663830976933241,59.40769205335528
m8_receiver_only_refiner,1,9.686463046818972,59.4298739451915
m8_receiver_only_refiner,2,9.692986030131578,59.527001925744116
m8_receiver_only_refiner,3,9.669683058746159,59.35610888991505
m8_receiver_only_refiner,4,9.829911985434592,60.6425809673965
m8_plus_latent_512,0,58.32458205986768,59.87877701409161
m8_plus_latent_512,1,57.30514496099204,59.52897993847728
m8_plus_latent_512,2,57.43797495961189,59.40991407260299
m8_plus_latent_512,3,57.19693598803133,59.33940294198692
m8_plus_latent_512,4,57.50820995308459,59.56858501303941
m8_plus_latent_1024,0,57.32216697651893,59.564119088463485
m8_plus_latent_1024,1,57.178281946107745,59.50965697411448
m8_plus_latent_1024,2,57.2492879582569,59.68025093898177
m8_plus_latent_1024,3,57.21030698623508,59.58358198404312
m8_plus_latent_1024,4,57.490332052111626,59.419873054139316
raw_N3060_m8_Dc,0,9.77353600319475,58.968918048776686
raw_N3060_m8_Dc,1,9.706807904876769,58.73363802675158
raw_N3060_m8_Dc,2,9.708363912068307,58.90105594880879
raw_N3060_m8_Dc,3,9.695818996988237,58.81795403547585
raw_N3060_m8_Dc,4,9.689472964964807,58.729651966132224
arithmetic_N3060_m8_Dc,0,60.73079991620034,76.73494599293917
arithmetic_N3060_m8_Dc,1,60.72761304676533,76.92687399685383
arithmetic_N3060_m8_Dc,2,60.995089006610215,77.10593799129128
arithmetic_N3060_m8_Dc,3,60.73802104219794,76.92487502936274
arithmetic_N3060_m8_Dc,4,61.03076308500022,77.04752101562917
raw_N3060_m9_Dc,0,10.732828988693655,59.66893199365586
raw_N3060_m9_Dc,1,10.718431090936065,59.98213798739016
raw_N3060_m9_Dc,2,10.723615996539593,59.541362104937434
raw_N3060_m9_Dc,3,10.620704968459904,59.879719046875834
raw_N3060_m9_Dc,4,10.619483073242009,59.58655395079404
arithmetic_N3060_m9_Dc,0,77.6796960271895,88.21201301179826
arithmetic_N3060_m9_Dc,1,77.86226400639862,88.4126789169386
arithmetic_N3060_m9_Dc,2,77.99598900601268,88.40919402427971
arithmetic_N3060_m9_Dc,3,78.06487998459488,88.28008896671236
arithmetic_N3060_m9_Dc,4,78.09400802943856,88.41998502612114
raw_N3572_m8_Dc,0,9.809054085053504,59.226512094028294
raw_N3572_m8_Dc,1,9.821770945563912,59.22931991517544
raw_N3572_m8_Dc,2,9.789898991584778,59.22580591868609
raw_N3572_m8_Dc,3,9.724397910758853,58.9808450313285
raw_N3572_m8_Dc,4,9.702160023152828,58.873548987321556
arithmetic_N3572_m8_Dc,0,61.00289209280163,76.87792903743684
arithmetic_N3572_m8_Dc,1,60.90140691958368,77.03164196573198
arithmetic_N3572_m8_Dc,2,61.021500965580344,77.18649203889072
arithmetic_N3572_m8_Dc,3,60.908533982001245,76.90978504251689
arithmetic_N3572_m8_Dc,4,61.09406903851777,77.14703597594053
raw_N4084_m8_Dc,0,9.795509977266192,59.14283695165068
raw_N4084_m8_Dc,1,9.786639944650233,59.141601086594164
raw_N4084_m8_Dc,2,9.790323907509446,58.93545097205788
raw_N4084_m8_Dc,3,9.695483022369444,58.8779920944944
raw_N4084_m8_Dc,4,9.687400073744357,58.692271006293595
arithmetic_N4084_m8_Dc,0,60.766530921682715,76.76720805466175
arithmetic_N4084_m8_Dc,1,60.72569906245917,76.87964697834104
arithmetic_N4084_m8_Dc,2,60.995139996521175,76.90359791740775
arithmetic_N4084_m8_Dc,3,61.27327308058739,77.096733963117
arithmetic_N4084_m8_Dc,4,61.16101308725774,77.01758295297623
