method,N,E,snr_db,evidence,decoder,psnr_db,lpips_alex,dino_cosine
m8_1024_control,4084,8168,1.0,historical_adaptation_not_requalified,original_Dc,19.924112701416014,0.20458502200742562,0.7743653525908788
m8_1024_control,4084,8168,4.0,historical_adaptation_not_requalified,original_Dc,22.204151674906413,0.12764950536191463,0.8902616987625758
m8_1024_control,4084,8168,7.0,historical_adaptation_not_requalified,original_Dc,22.532320976257324,0.12065921129658819,0.8972307093938192
m8_1024_control,4084,8168,13.0,historical_adaptation_not_requalified,original_Dc,22.868266919453937,0.1135246734134853,0.9037702955802281
m8_1024_control,4084,8168,19.0,historical_adaptation_not_requalified,original_Dc,22.963556543986,0.11146114791433016,0.9056218345959981
m8_1024_decoder_adapt,4084,8168,1.0,historical_adaptation_not_requalified,different_adapted_Dc,20.086675764719644,0.1977062474936247,0.7750432435671488
m8_1024_decoder_adapt,4084,8168,4.0,historical_adaptation_not_requalified,different_adapted_Dc,22.307177143096922,0.12464662920683622,0.8865499649445215
m8_1024_decoder_adapt,4084,8168,7.0,historical_adaptation_not_requalified,different_adapted_Dc,22.642707430521646,0.11715198770475885,0.8946888885895411
m8_1024_decoder_adapt,4084,8168,13.0,historical_adaptation_not_requalified,different_adapted_Dc,22.978554814656576,0.10983244515334567,0.9033441569407781
m8_1024_decoder_adapt,4084,8168,19.0,historical_adaptation_not_requalified,different_adapted_Dc,23.079957593282064,0.10776536772648493,0.9057900977134704
raw_N4084_m8_Dc_adapted,4084,8168,1.0,historical_adaptation_not_requalified,different_adapted_Dc,19.965816424687702,0.17583141077309847,0.8570677765210469
raw_N4084_m8_Dc_adapted,4084,8168,4.0,historical_adaptation_not_requalified,different_adapted_Dc,20.405556751887005,0.1654739444764952,0.87009445865949
raw_N4084_m8_Dc_adapted,4084,8168,7.0,historical_adaptation_not_requalified,different_adapted_Dc,20.40616156578064,0.16547685869658987,0.8700959491729736
raw_N4084_m8_Dc_adapted,4084,8168,13.0,historical_adaptation_not_requalified,different_adapted_Dc,20.40616156578064,0.16547685889527203,0.8700959491729736
raw_N4084_m8_Dc_adapted,4084,8168,19.0,historical_adaptation_not_requalified,different_adapted_Dc,20.40616156578064,0.16547685845444599,0.8700959491729736
raw_N4084_m9_Dc_adapted,4084,8168,1.0,historical_adaptation_not_requalified,different_adapted_Dc,12.370337001482646,0.5606236392259598,0.11315606763275961
raw_N4084_m9_Dc_adapted,4084,8168,4.0,historical_adaptation_not_requalified,different_adapted_Dc,21.790519946416218,0.1298191981514295,0.8889430316289266
raw_N4084_m9_Dc_adapted,4084,8168,7.0,historical_adaptation_not_requalified,different_adapted_Dc,21.99047431945801,0.12614352764561773,0.8951645362377166
raw_N4084_m9_Dc_adapted,4084,8168,13.0,historical_adaptation_not_requalified,different_adapted_Dc,21.99047431945801,0.12614352747797966,0.8951645362377166
raw_N4084_m9_Dc_adapted,4084,8168,19.0,historical_adaptation_not_requalified,different_adapted_Dc,21.99047431945801,0.12614352935304243,0.8951645439863205
