method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,0,1.0,"2001,2002,2003",13.873333295186361,0.22650001446406046,0.6005789140860239
arithmetic_adaptive_m789_Dc,0,4.0,"2001,2002,2003",15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_adaptive_m789_Dc,0,7.0,"2001,2002,2003",15.693902969360352,0.14851780235767365,0.7976690729459127
arithmetic_adaptive_m789_Dc,0,13.0,"2001,2002,2003",15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,0,19.0,"2001,2002,2003",15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,1,1.0,"2001,2002,2003",21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_adaptive_m789_Dc,1,4.0,"2001,2002,2003",21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_adaptive_m789_Dc,1,7.0,"2001,2002,2003",21.61578941345215,0.11658566445112228,0.8231229782104492
arithmetic_adaptive_m789_Dc,1,13.0,"2001,2002,2003",21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,1,19.0,"2001,2002,2003",21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,2,1.0,"2001,2002,2003",16.78792444864909,0.2929394046465556,0.860660175482432
arithmetic_adaptive_m789_Dc,2,4.0,"2001,2002,2003",16.867353757222492,0.2841402937968572,0.7651216189066569
arithmetic_adaptive_m789_Dc,2,7.0,"2001,2002,2003",17.645963668823242,0.24124203125635782,0.8346746961275736
arithmetic_adaptive_m789_Dc,2,13.0,"2001,2002,2003",17.645963668823242,0.24124203125635782,0.8346747756004333
arithmetic_adaptive_m789_Dc,2,19.0,"2001,2002,2003",17.645963668823242,0.24124203622341156,0.8346747756004333
arithmetic_adaptive_m789_Dc,3,1.0,"2001,2002,2003",14.50776227315267,0.2494039237499237,0.8019788463910421
arithmetic_adaptive_m789_Dc,3,4.0,"2001,2002,2003",15.968773206075033,0.20735438664754233,0.8268574078877767
arithmetic_adaptive_m789_Dc,3,7.0,"2001,2002,2003",16.627696990966797,0.18437612056732178,0.8713895082473755
arithmetic_adaptive_m789_Dc,3,13.0,"2001,2002,2003",16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,3,19.0,"2001,2002,2003",16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,4,1.0,"2001,2002,2003",16.78247324625651,0.2780487934748332,0.6509330620368322
arithmetic_adaptive_m789_Dc,4,4.0,"2001,2002,2003",18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,4,7.0,"2001,2002,2003",18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,4,13.0,"2001,2002,2003",18.94675636291504,0.1636971781651179,0.8722684979438782
arithmetic_adaptive_m789_Dc,4,19.0,"2001,2002,2003",18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,5,1.0,"2001,2002,2003",22.887194951375324,0.18937948346138,0.702810525894165
arithmetic_adaptive_m789_Dc,5,4.0,"2001,2002,2003",24.077701568603516,0.12948590517044067,0.7905673384666443
arithmetic_adaptive_m789_Dc,5,7.0,"2001,2002,2003",24.077701568603516,0.12948590020338693,0.7905672788619995
arithmetic_adaptive_m789_Dc,5,13.0,"2001,2002,2003",24.077701568603516,0.12948590517044067,0.79056715965271
arithmetic_adaptive_m789_Dc,5,19.0,"2001,2002,2003",24.077701568603516,0.12948590020338693,0.79056715965271
arithmetic_adaptive_m789_Dc,6,1.0,"2001,2002,2003",18.013741493225098,0.429371178150177,0.6317092527945837
arithmetic_adaptive_m789_Dc,6,4.0,"2001,2002,2003",23.521711349487305,0.1676033834616343,0.9086804389953613
arithmetic_adaptive_m789_Dc,6,7.0,"2001,2002,2003",23.521711349487305,0.16760338842868805,0.9086804191271464
arithmetic_adaptive_m789_Dc,6,13.0,"2001,2002,2003",23.521711349487305,0.1676033834616343,0.9086803793907166
arithmetic_adaptive_m789_Dc,6,19.0,"2001,2002,2003",23.521711349487305,0.1676033834616343,0.9086803793907166
arithmetic_adaptive_m789_Dc,7,1.0,"2001,2002,2003",15.398406028747559,0.24074997007846832,0.7604616284370422
arithmetic_adaptive_m789_Dc,7,4.0,"2001,2002,2003",14.994882583618164,0.2818323075771332,0.6141634086767832
arithmetic_adaptive_m789_Dc,7,7.0,"2001,2002,2003",16.14510726928711,0.2006566971540451,0.8690737883249918
arithmetic_adaptive_m789_Dc,7,13.0,"2001,2002,2003",16.14510726928711,0.2006566971540451,0.8690738677978516
arithmetic_adaptive_m789_Dc,7,19.0,"2001,2002,2003",16.14510726928711,0.2006566971540451,0.8690738677978516
arithmetic_adaptive_m789_Dc,8,1.0,"2001,2002,2003",14.271229108174643,0.28008095920085907,0.8744920690854391
arithmetic_adaptive_m789_Dc,8,4.0,"2001,2002,2003",16.849454879760742,0.17073343694210052,0.9254805445671082
