method,snr_db,psnr_db,lpips_alex,dino_cosine,normalized_latent
Dc_F_representation_reference,1.0,26.47245994567871,0.05230989407127102,0.9573012858629226,0.0
Dc_F_representation_reference,4.0,26.47245994567871,0.052309894089897474,0.9573012858629226,0.0
Dc_F_representation_reference,7.0,26.47245994567871,0.05230989401539167,0.9573012858629226,0.0
Dc_F_representation_reference,13.0,26.47245994567871,0.05230989409610629,0.9573012858629226,0.0
Dc_F_representation_reference,19.0,26.472459920247395,0.05230989486289521,0.9573012890418371,0.0
actual_RX_AWGN,1.0,19.892172978719074,0.20566224822153648,0.7780006029705206,0.674105920791626
actual_RX_AWGN,4.0,22.176560990015666,0.12837085222204525,0.8892602795362472,0.5548091186086337
actual_RX_AWGN,7.0,22.50399403889974,0.12122734614958365,0.8962705131371816,0.5268210666875045
actual_RX_AWGN,13.0,22.83502430597941,0.11397453426072995,0.9032930934429169,0.49915874215463796
actual_RX_AWGN,19.0,22.92912050882975,0.11188834740469854,0.9052349627017975,0.49078347586095333
actual_RX_zero_noise,1.0,20.65675855636597,0.1902474558601777,0.7917549121876558,0.5892720837394396
actual_RX_zero_noise,4.0,22.75686877568563,0.11883810478573044,0.8942989766597748,0.49376865175863105
actual_RX_zero_noise,7.0,22.891535720825196,0.11458133083457749,0.9005802214145661,0.487952426970005
actual_RX_zero_noise,13.0,22.962953033447267,0.11176760825638969,0.9049013406038284,0.4866579128801823
actual_RX_zero_noise,19.0,22.964706077575684,0.11131715457886457,0.905754628777504,0.48739620715379717
oracle_TX_AWGN,1.0,21.596828753153485,0.14150747391705712,0.8774161434173584,0.5970067110657692
oracle_TX_AWGN,4.0,22.177477464675903,0.12834924477462967,0.8893691245714823,0.5547758503754934
oracle_TX_AWGN,7.0,22.50399403889974,0.12122734562804302,0.8962705131371816,0.5268210666875045
oracle_TX_AWGN,13.0,22.83502430597941,0.11397453461463253,0.9032930934429169,0.49915874215463796
oracle_TX_AWGN,19.0,22.929120540618896,0.11188834845398864,0.9052349710464478,0.49078347586095333
oracle_TX_zero_noise,1.0,22.475613250732422,0.12997047196452816,0.8785020500421524,0.5149171144515275
oracle_TX_zero_noise,4.0,22.75799690882365,0.11880620383347074,0.8943673793474833,0.4937393320351839
oracle_TX_zero_noise,7.0,22.891535720825196,0.11458133053655425,0.9005802214145661,0.487952426970005
oracle_TX_zero_noise,13.0,22.962953033447267,0.11176760856683056,0.9049013406038284,0.4866579128801823
oracle_TX_zero_noise,19.0,22.964706103007,0.11131715471545856,0.9057546271880468,0.48739620715379717
