method,snr_db,calls,tx_ms,rx_ms,total_ms
full_tx_control,1.0,20,111.56829909887165,113.57976770377718,225.14806680264883
full_tx_control,4.0,20,111.3028621475678,113.61454984289594,224.91741199046373
full_tx_control,7.0,20,111.45603588665836,113.73601756058633,225.1920534472447
full_tx_control,13.0,20,111.19756458792835,113.507016049698,224.70458063762635
full_tx_control,19.0,20,111.31602064124309,114.22723105642945,225.54325169767253
light_tx,1.0,20,10.981898452155292,113.54276150814258,124.52465996029787
light_tx,4.0,20,10.984812770038843,113.75408919411711,124.73890196415596
light_tx,7.0,20,10.997696610866114,113.6816467915196,124.67934340238571
light_tx,13.0,20,10.992762667592615,113.64007825031877,124.63284091791138
light_tx,19.0,20,11.004651145776734,113.6580140562728,124.66266520204954
pure_continuous,1.0,20,7.409765414195135,11.186751903733239,18.596517317928374
pure_continuous,4.0,20,7.402372563956305,11.183532327413559,18.585904891369864
pure_continuous,7.0,20,7.403098692884669,11.181311629479751,18.58441032236442
pure_continuous,13.0,20,7.405599905177951,11.176947399508208,18.58254730468616
pure_continuous,19.0,20,7.408613240113482,11.182215169537812,18.590828409651294
