method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
PCA_residual,0,1.0,"2001,2002,2003",13.082921028137207,0.2667274971803029,0.5380067030588785
PCA_residual,0,4.0,"2001,2002,2003",15.41574223836263,0.16680591801802316,0.7285657723744711
PCA_residual,0,7.0,"2001,2002,2003",15.562034289042154,0.16268965601921082,0.7500116427739462
PCA_residual,0,13.0,"2001,2002,2003",15.708186785380045,0.15859430531660715,0.7658919890721639
PCA_residual,0,19.0,"2001,2002,2003",15.753889083862305,0.15670685470104218,0.7658916711807251
PCA_residual,1,1.0,"2001,2002,2003",20.278866449991863,0.17122064034144083,0.7738568782806396
PCA_residual,1,4.0,"2001,2002,2003",21.819286982218426,0.11147275318702062,0.7652862071990967
PCA_residual,1,7.0,"2001,2002,2003",21.928544998168945,0.10847735653320949,0.7781849900881449
PCA_residual,1,13.0,"2001,2002,2003",22.037173589070637,0.1054838349421819,0.7796590725580851
PCA_residual,1,19.0,"2001,2002,2003",22.06909434000651,0.10406370709339778,0.7791775465011597
PCA_residual,2,1.0,"2001,2002,2003",15.827478408813477,0.36651556690533954,0.6213342944780985
PCA_residual,2,4.0,"2001,2002,2003",17.499351501464844,0.25879209240277606,0.8803261121114095
PCA_residual,2,7.0,"2001,2002,2003",17.610937754313152,0.2562832732995351,0.8861326773961385
PCA_residual,2,13.0,"2001,2002,2003",17.731279373168945,0.25267915924390155,0.887299656867981
PCA_residual,2,19.0,"2001,2002,2003",17.771581649780273,0.25197288393974304,0.8869759440422058
PCA_residual,3,1.0,"2001,2002,2003",14.373515129089355,0.31347394982973736,0.4994661013285319
PCA_residual,3,4.0,"2001,2002,2003",16.58189582824707,0.1852865219116211,0.8784622550010681
PCA_residual,3,7.0,"2001,2002,2003",16.771872838338215,0.18230279286702475,0.8825905521710714
PCA_residual,3,13.0,"2001,2002,2003",16.95536740620931,0.18017984926700592,0.8901857932408651
PCA_residual,3,19.0,"2001,2002,2003",17.008276621500652,0.1799926459789276,0.8948344786961874
PCA_residual,4,1.0,"2001,2002,2003",17.270536422729492,0.2766128679116567,0.7776675820350647
PCA_residual,4,4.0,"2001,2002,2003",18.78965187072754,0.18428455293178558,0.888591468334198
PCA_residual,4,7.0,"2001,2002,2003",18.935706456502277,0.18123062948385874,0.886775811513265
PCA_residual,4,13.0,"2001,2002,2003",19.07032521565755,0.17672580480575562,0.8848625818888346
PCA_residual,4,19.0,"2001,2002,2003",19.106876373291016,0.17454275488853455,0.8857289354006449
PCA_residual,5,1.0,"2001,2002,2003",21.49058787027995,0.25795507431030273,0.5862070322036743
PCA_residual,5,4.0,"2001,2002,2003",24.170161565144856,0.1368373433748881,0.8681641419728597
PCA_residual,5,7.0,"2001,2002,2003",24.25860087076823,0.13505670924981436,0.8717332482337952
PCA_residual,5,13.0,"2001,2002,2003",24.344070434570312,0.13232836623986563,0.8785374760627747
PCA_residual,5,19.0,"2001,2002,2003",24.365406672159832,0.13140898446242014,0.8808453877766927
PCA_residual,6,1.0,"2001,2002,2003",20.85361607869466,0.28210414946079254,0.880041499932607
PCA_residual,6,4.0,"2001,2002,2003",23.430050532023113,0.17911072572072348,0.9094322721163431
PCA_residual,6,7.0,"2001,2002,2003",23.525177001953125,0.1768500010172526,0.9099686741828918
PCA_residual,6,13.0,"2001,2002,2003",23.618249257405598,0.1723386545976003,0.9074400663375854
PCA_residual,6,19.0,"2001,2002,2003",23.64550844828288,0.16984230279922485,0.9047772089640299
PCA_residual,7,1.0,"2001,2002,2003",14.929410934448242,0.28804630041122437,0.5183206250270208
PCA_residual,7,4.0,"2001,2002,2003",16.022755940755207,0.2209836741288503,0.829109271367391
PCA_residual,7,7.0,"2001,2002,2003",16.13090705871582,0.21697823703289032,0.841620922088623
PCA_residual,7,13.0,"2001,2002,2003",16.242103576660156,0.2127214918533961,0.8593729734420776
PCA_residual,7,19.0,"2001,2002,2003",16.276007334391277,0.21084999044736227,0.8632301290829977
PCA_residual,8,1.0,"2001,2002,2003",13.765366236368815,0.33529626329739887,0.7654766043027242
PCA_residual,8,4.0,"2001,2002,2003",16.724616368611652,0.1835346221923828,0.934357484181722
PCA_residual,8,7.0,"2001,2002,2003",16.912222544352215,0.17732484638690948,0.9375658830006918
PCA_residual,8,13.0,"2001,2002,2003",17.045155843098957,0.17159522573153177,0.9393120209376017
PCA_residual,8,19.0,"2001,2002,2003",17.0756893157959,0.16889492173989615,0.9388409455617269
PCA_residual,9,1.0,"2001,2002,2003",16.19324239095052,0.24873693784077963,0.8504517674446106
PCA_residual,9,4.0,"2001,2002,2003",17.495035807291668,0.18130934735139212,0.9110180934270223
PCA_residual,9,7.0,"2001,2002,2003",17.64892641703288,0.17560224731763205,0.9139002362887064
PCA_residual,9,13.0,"2001,2002,2003",17.780476888020832,0.16880562901496887,0.9198600848515829
