method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine,decoder_sha256,protocol_id,model_context_sha256
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,198,2048.0,13.428421974182129,0.23766517639160156,0.6142539381980896,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,173,2048.0,12.952646255493164,0.2508953809738159,0.5862308740615845,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,198,2048.0,12.97724723815918,0.2576189637184143,0.5093362331390381,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,173,2048.0,12.52393627166748,0.28309690952301025,0.48604267835617065,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,198,2048.0,13.768379211425781,0.24771347641944885,0.6548764705657959,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,173,2048.0,13.305463790893555,0.2790728509426117,0.5968760251998901,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,198,2048.0,15.075525283813477,0.17173641920089722,0.8093051314353943,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,173,2048.0,15.148876190185547,0.16926291584968567,0.7981812953948975,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,198,2048.0,15.043689727783203,0.17180734872817993,0.6629189252853394,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,173,2048.0,15.122011184692383,0.16977301239967346,0.6623728275299072,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,198,2048.0,15.156335830688477,0.16541898250579834,0.6798650026321411,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,173,2048.0,15.219372749328613,0.16266018152236938,0.6766246557235718,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,198,2048.0,15.229702949523926,0.1662755310535431,0.7836843729019165,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,173,2048.0,15.283205032348633,0.16427429020404816,0.7767795920372009,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,198,2048.0,15.207419395446777,0.16702023148536682,0.6760885119438171,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
