method,step,utility,full_calibration_rows,calibration_seconds,source_sha256
pure_continuous,0,0.16538827027181785,45000,509.55827021598816,3143c1b60300529f6b3084ae13800087f4a7785a68bd531122864d572178357f
full_tx_control,0,0.027573387559565406,45000,509.55827021598816,3143c1b60300529f6b3084ae13800087f4a7785a68bd531122864d572178357f
light_tx,0,0.028051573005877434,45000,509.55827021598816,3143c1b60300529f6b3084ae13800087f4a7785a68bd531122864d572178357f
pure_continuous,2500,0.022974067328032106,45000,550.9346466064453,e027c9cbb865c5338507a08526441c31613b99c3962bc44f512bb3b91e4d7565
full_tx_control,2500,0.028063594846101478,45000,550.9346466064453,e027c9cbb865c5338507a08526441c31613b99c3962bc44f512bb3b91e4d7565
light_tx,2500,0.027842308072388793,45000,550.9346466064453,e027c9cbb865c5338507a08526441c31613b99c3962bc44f512bb3b91e4d7565
pure_continuous,5000,0.01984822659228618,45000,546.686253786087,fa2558ad50807156d4a361ab05687d7504168bde64bcb8aed51d8b98c1e8297d
full_tx_control,5000,0.027529648078403746,45000,546.686253786087,fa2558ad50807156d4a361ab05687d7504168bde64bcb8aed51d8b98c1e8297d
light_tx,5000,0.027814133502418795,45000,546.686253786087,fa2558ad50807156d4a361ab05687d7504168bde64bcb8aed51d8b98c1e8297d
pure_continuous,7500,0.0183302013717747,15000,187.86930060386658,74cd63d1125a2e62f0a629821f793b32d1bd06cc3c186307e8aed48072bb5cf0
pure_continuous,10000,0.017672080993000418,15000,189.07022905349731,f2c718c573df70fdf8318512b5267497ab816ab78c68bfbbc3c38982e519964f
