method,source_index,image_id,snr_db,seed,N,E,diagnostic_only,header_ok,normalized_latent,psnr_db,lpips_alex,dino_cosine
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,False,True,1.0598416328430176,14.863190650939941,0.2020762711763382,0.6267433762550354
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,True,True,0.9640501737594604,15.260154724121094,0.19764558970928192,0.5853660106658936
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,True,True,0.9959468841552734,15.61943531036377,0.16252535581588745,0.6606763601303101
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,True,True,0.9030992984771729,16.080530166625977,0.1602177917957306,0.7741228938102722
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764182657003403,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,False,True,1.1041473150253296,14.64165210723877,0.22735540568828583,0.5548162460327148
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,True,True,0.9985412955284119,15.085954666137695,0.21479341387748718,0.5077714323997498
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,True,True,1.0052955150604248,15.580710411071777,0.1738719940185547,0.6195484399795532
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,True,True,0.9030992984771729,16.080530166625977,0.1602177917957306,0.7741228938102722
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764181911945343,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,False,True,1.0882023572921753,15.004310607910156,0.21770891547203064,0.5960285067558289
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,True,True,1.0008971691131592,15.162872314453125,0.21869967877864838,0.5693920254707336
