population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,1.0,4101,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,1.0,4102,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,1.0,4103,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,4.0,4101,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,4.0,4102,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,4.0,4103,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,7.0,4101,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,7.0,4102,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,7.0,4103,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,13.0,4101,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,13.0,4102,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,13.0,4103,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,19.0,4101,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,19.0,4102,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,8,Dc,19.0,4103,3060,2539,1,1,1,1,21.239696502685547,0.15857872366905212
