population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,12.353340148925781,0.566388726234436
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,12.53132438659668,0.5351120233535767
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,12.088698387145996,0.5381414890289307
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,22.76235580444336,0.12526342272758484
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,4.0,4102,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,22.81192970275879,0.1278422623872757
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,22.87276840209961,0.1258692592382431
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,8.7785062789917,0.6736328601837158
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,9.913226127624512,0.6460545063018799
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,12.086113929748535,0.6509363055229187
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,19.665557861328125,0.18136578798294067
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,19.744396209716797,0.18417534232139587
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,19.806476593017578,0.1919955015182495
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,19.83127784729004,0.175197571516037
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,19.83127784729004,0.17519758641719818
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,19.83127784729004,0.17519758641719818
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,19.83127784729004,0.175197571516037
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,19.83127784729004,0.175197571516037
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,19.83127784729004,0.17519758641719818
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,19.83127784729004,0.17519758641719818
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,19.83127784729004,0.175197571516037
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,19.83127784729004,0.175197571516037
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,11.445001602172852,0.6557159423828125
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,13.298188209533691,0.5266913175582886
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,15.001870155334473,0.45175743103027344
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,24.382802963256836,0.09398402273654938
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,24.51307487487793,0.08913172781467438
