population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips,dino_cosine
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,1.0,2001,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476048231124878
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,1.0,2001,3060,3060,1,0,0,1,14.248100280761719,0.2010643184185028,0.6723915338516235
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,1.0,2001,5088,5088,1,0,0,1,10.430730819702148,0.4959264397621155,0.13012126088142395
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,1.0,2001,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476048231124878
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,1.0,2001,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649432182312012
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,1.0,2001,5088,4214,1,0,0,1,8.082724571228027,0.5722368955612183,0.4368876814842224
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,1.0,2002,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476048231124878
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,1.0,2002,3060,3060,1,0,0,1,14.18429946899414,0.19560137391090393,0.6350640058517456
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,1.0,2002,5088,5088,1,0,0,1,9.49028205871582,0.5074328780174255,0.17556379735469818
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,1.0,2002,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476048231124878
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,1.0,2002,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649432182312012
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,1.0,2002,5088,4214,1,0,0,1,9.687793731689453,0.5199874639511108,0.48859545588493347
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,1.0,2003,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476048231124878
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,1.0,2003,3060,3060,1,0,0,1,13.892741203308105,0.21483729779720306,0.608396053314209
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,1.0,2003,5088,5088,1,0,0,1,9.189172744750977,0.5567598342895508,0.05005805939435959
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,1.0,2003,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476048231124878
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,1.0,2003,3060,2612,1,0,0,1,12.661999702453613,0.29535847902297974,0.47185030579566956
