method,source_index,image_id,snr_db,seed,N,E,checkpoint_sha256,decoder_sha256,protocol_id,normalized_latent,header_ok,body_crc_ok,psnr_db,lpips_alex,dino_cosine
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.7402137517929077,1,not_applicable,16.179773330688477,0.17283464968204498,0.7957835793495178
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,1.0565905570983887,1,0,14.894487380981445,0.20143286883831024,0.635202169418335
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,1.060807466506958,1,0,14.963936805725098,0.19850106537342072,0.6320377588272095
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.7496116161346436,1,not_applicable,16.23906898498535,0.14391066133975983,0.7992095947265625
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,1.103278398513794,1,0,14.68726634979248,0.2325601875782013,0.5673302412033081
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,1.1062617301940918,1,0,14.692935943603516,0.21972990036010742,0.5893165469169617
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.7434993386268616,1,not_applicable,16.537181854248047,0.1503739058971405,0.8049473762512207
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,1.0819650888442993,1,0,15.007990837097168,0.21982303261756897,0.58672696352005
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,1.0857412815093994,1,0,14.988965034484863,0.22081679105758667,0.5665614008903503
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.5394885540008545,1,not_applicable,17.262977600097656,0.12695468962192535,0.8565959334373474
