method,source_index,snr_db,repeat,max_abs_error,tolerance
pure_continuous,0,1.0,0,0.0,2e-05
full_tx_control,0,1.0,0,0.0,2e-05
light_tx,0,1.0,0,0.0,2e-05
full_tx_control,0,1.0,1,0.0,2e-05
light_tx,0,1.0,1,0.0,2e-05
pure_continuous,0,1.0,1,0.0,2e-05
pure_continuous,0,4.0,0,0.0,2e-05
full_tx_control,0,4.0,0,0.0,2e-05
light_tx,0,4.0,0,0.0,2e-05
full_tx_control,0,4.0,1,0.0,2e-05
light_tx,0,4.0,1,0.0,2e-05
pure_continuous,0,4.0,1,0.0,2e-05
pure_continuous,0,7.0,0,0.0,2e-05
full_tx_control,0,7.0,0,0.0,2e-05
light_tx,0,7.0,0,0.0,2e-05
full_tx_control,0,7.0,1,0.0,2e-05
light_tx,0,7.0,1,0.0,2e-05
pure_continuous,0,7.0,1,0.0,2e-05
pure_continuous,0,13.0,0,0.0,2e-05
full_tx_control,0,13.0,0,0.0,2e-05
light_tx,0,13.0,0,0.0,2e-05
full_tx_control,0,13.0,1,0.0,2e-05
light_tx,0,13.0,1,0.0,2e-05
pure_continuous,0,13.0,1,0.0,2e-05
pure_continuous,0,19.0,0,0.0,2e-05
full_tx_control,0,19.0,0,0.0,2e-05
light_tx,0,19.0,0,0.0,2e-05
full_tx_control,0,19.0,1,0.0,2e-05
light_tx,0,19.0,1,0.0,2e-05
pure_continuous,0,19.0,1,0.0,2e-05
light_tx,11,1.0,0,0.0,2e-05
pure_continuous,11,1.0,0,0.0,2e-05
full_tx_control,11,1.0,0,0.0,2e-05
pure_continuous,11,1.0,1,0.0,2e-05
full_tx_control,11,1.0,1,0.0,2e-05
light_tx,11,1.0,1,0.0,2e-05
light_tx,11,4.0,0,0.0,2e-05
pure_continuous,11,4.0,0,0.0,2e-05
full_tx_control,11,4.0,0,0.0,2e-05
pure_continuous,11,4.0,1,0.0,2e-05
full_tx_control,11,4.0,1,0.0,2e-05
light_tx,11,4.0,1,0.0,2e-05
light_tx,11,7.0,0,0.0,2e-05
pure_continuous,11,7.0,0,0.0,2e-05
full_tx_control,11,7.0,0,0.0,2e-05
pure_continuous,11,7.0,1,0.0,2e-05
full_tx_control,11,7.0,1,0.0,2e-05
light_tx,11,7.0,1,0.0,2e-05
light_tx,11,13.0,0,0.0,2e-05
pure_continuous,11,13.0,0,0.0,2e-05
full_tx_control,11,13.0,0,0.0,2e-05
pure_continuous,11,13.0,1,0.0,2e-05
full_tx_control,11,13.0,1,0.0,2e-05
light_tx,11,13.0,1,0.0,2e-05
light_tx,11,19.0,0,0.0,2e-05
pure_continuous,11,19.0,0,0.0,2e-05
full_tx_control,11,19.0,0,0.0,2e-05
pure_continuous,11,19.0,1,0.0,2e-05
full_tx_control,11,19.0,1,0.0,2e-05
light_tx,11,19.0,1,0.0,2e-05
full_tx_control,22,1.0,0,0.0,2e-05
light_tx,22,1.0,0,0.0,2e-05
pure_continuous,22,1.0,0,0.0,2e-05
light_tx,22,1.0,1,0.0,2e-05
pure_continuous,22,1.0,1,0.0,2e-05
full_tx_control,22,1.0,1,0.0,2e-05
full_tx_control,22,4.0,0,0.0,2e-05
light_tx,22,4.0,0,0.0,2e-05
pure_continuous,22,4.0,0,0.0,2e-05
light_tx,22,4.0,1,0.0,2e-05
pure_continuous,22,4.0,1,0.0,2e-05
full_tx_control,22,4.0,1,0.0,2e-05
full_tx_control,22,7.0,0,0.0,2e-05
light_tx,22,7.0,0,0.0,2e-05
pure_continuous,22,7.0,0,0.0,2e-05
light_tx,22,7.0,1,0.0,2e-05
pure_continuous,22,7.0,1,0.0,2e-05
full_tx_control,22,7.0,1,0.0,2e-05
full_tx_control,22,13.0,0,0.0,2e-05
light_tx,22,13.0,0,0.0,2e-05
pure_continuous,22,13.0,0,0.0,2e-05
light_tx,22,13.0,1,0.0,2e-05
pure_continuous,22,13.0,1,0.0,2e-05
full_tx_control,22,13.0,1,0.0,2e-05
full_tx_control,22,19.0,0,0.0,2e-05
light_tx,22,19.0,0,0.0,2e-05
pure_continuous,22,19.0,0,0.0,2e-05
light_tx,22,19.0,1,0.0,2e-05
pure_continuous,22,19.0,1,0.0,2e-05
full_tx_control,22,19.0,1,0.0,2e-05
pure_continuous,33,1.0,0,0.0,2e-05
full_tx_control,33,1.0,0,0.0,2e-05
light_tx,33,1.0,0,0.0,2e-05
full_tx_control,33,1.0,1,0.0,2e-05
light_tx,33,1.0,1,0.0,2e-05
pure_continuous,33,1.0,1,0.0,2e-05
pure_continuous,33,4.0,0,0.0,2e-05
full_tx_control,33,4.0,0,0.0,2e-05
light_tx,33,4.0,0,0.0,2e-05
full_tx_control,33,4.0,1,0.0,2e-05
light_tx,33,4.0,1,0.0,2e-05
pure_continuous,33,4.0,1,0.0,2e-05
pure_continuous,33,7.0,0,0.0,2e-05
full_tx_control,33,7.0,0,0.0,2e-05
light_tx,33,7.0,0,0.0,2e-05
