method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
pure_continuous,0,1.0,2001,0,0,7.440731045790017,11.19589398149401,18.636625027284026
full_tx_control,0,1.0,2001,0,1,111.08548496849835,113.65373199805617,224.73921696655452
light_tx,0,1.0,2001,0,2,11.003713007085025,113.23809996247292,124.24181296955794
full_tx_control,0,1.0,2001,1,0,111.50254402309656,113.58763708267361,225.09018110577017
light_tx,0,1.0,2001,1,1,10.968365939334035,113.14476805273443,124.11313399206847
pure_continuous,0,1.0,2001,1,2,7.390713086351752,11.161328991875052,18.552042078226805
pure_continuous,0,4.0,2001,0,0,7.39135395269841,11.209380929358304,18.600734882056713
full_tx_control,0,4.0,2001,0,1,110.85432593245059,113.95783594343811,224.8121618758887
light_tx,0,4.0,2001,0,2,11.024124920368195,114.68924302607775,125.71336794644594
full_tx_control,0,4.0,2001,1,0,111.18189408443868,113.44712891150266,224.62902299594134
light_tx,0,4.0,2001,1,1,11.013095965608954,116.13888991996646,127.15198588557541
pure_continuous,0,4.0,2001,1,2,7.453948957845569,11.26108190510422,18.71503086294979
pure_continuous,0,7.0,2001,0,0,7.43860297370702,11.193783022463322,18.632385996170342
full_tx_control,0,7.0,2001,0,1,112.89642204064876,114.61329599842429,227.50971803907305
light_tx,0,7.0,2001,0,2,11.003745021298528,113.44069300685078,124.4444380281493
full_tx_control,0,7.0,2001,1,0,111.65298498235643,113.62461792305112,225.27760290540755
light_tx,0,7.0,2001,1,1,10.978800943121314,113.70772100053728,124.68652194365859
pure_continuous,0,7.0,2001,1,2,7.3971860110759735,11.18275395128876,18.579939962364733
pure_continuous,0,13.0,2001,0,0,7.433596067130566,11.171053047291934,18.6046491144225
full_tx_control,0,13.0,2001,0,1,110.92622391879559,113.52835805155337,224.45458197034895
light_tx,0,13.0,2001,0,2,10.961905005387962,113.50343108642846,124.46533609181643
full_tx_control,0,13.0,2001,1,0,111.17356701288372,113.28418692573905,224.45775393862277
light_tx,0,13.0,2001,1,1,10.945207090117037,113.63286105915904,124.57806814927608
pure_continuous,0,13.0,2001,1,2,7.422814960591495,11.158243985846639,18.581058946438134
pure_continuous,0,19.0,2001,0,0,7.3910539504140615,11.149384081363678,18.54043803177774
full_tx_control,0,19.0,2001,0,1,111.98808904737234,116.28133896738291,228.26942801475525
light_tx,0,19.0,2001,0,2,11.148682911880314,114.58471906371415,125.73340197559446
full_tx_control,0,19.0,2001,1,0,111.30367300938815,114.19996793847531,225.50364094786346
light_tx,0,19.0,2001,1,1,11.018518940545619,113.52899600751698,124.5475149480626
pure_continuous,0,19.0,2001,1,2,7.386929006315768,11.213143006898463,18.60007201321423
light_tx,11,1.0,2001,0,0,10.981668019667268,113.94176003523171,124.92342805489898
pure_continuous,11,1.0,2001,0,1,7.403915049508214,11.200897977687418,18.604813027195632
