method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,False,0,2047.999755859375,12.711366653442383,0.2570253312587738,0.5138096809387207
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,1,0,True,149,2047.9998779296875,13.076089859008789,0.24347251653671265,0.4739069938659668
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,158,2047.999755859375,12.901320457458496,0.2641744911670685,0.5311999917030334
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,1,0,True,149,2047.9998779296875,12.62122917175293,0.2788914442062378,0.5174264907836914
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,158,2047.999755859375,13.995563507080078,0.25473475456237793,0.6405500173568726
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,1,0,True,149,2047.9998779296875,13.551444053649902,0.2778185307979584,0.6226866245269775
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,158,2047.999755859375,15.348678588867188,0.17066919803619385,0.725358247756958
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,1,1,True,149,2047.9998779296875,15.385557174682617,0.16977795958518982,0.7316901087760925
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,158,2047.999755859375,15.42458724975586,0.16763587296009064,0.7552089691162109
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,1,1,True,149,2047.9998779296875,15.457574844360352,0.16680797934532166,0.7589995861053467
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,158,2047.999755859375,15.367880821228027,0.16501212120056152,0.6863802671432495
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,1,1,True,149,2047.9998779296875,15.404094696044922,0.16383181512355804,0.6950076222419739
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,158,2047.999755859375,15.512248039245605,0.16619789600372314,0.7463617324829102
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,1,1,True,149,2047.9998779296875,15.538351058959961,0.1654983013868332,0.7480000853538513
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,158,2047.999755859375,15.572137832641602,0.16296029090881348,0.7721469402313232
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,149,2047.9998779296875,15.595006942749023,0.16234418749809265,0.7741755247116089
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,158,2047.999755859375,15.528502464294434,0.16061779856681824,0.7201676964759827
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,149,2047.9998779296875,15.55274486541748,0.1602264791727066,0.7278593182563782
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,158,2047.999755859375,15.686712265014648,0.16021636128425598,0.7468112707138062
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,149,2047.9998779296875,15.69622802734375,0.15977467596530914,0.7473301887512207
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,158,2047.999755859375,15.721107482910156,0.1584492325782776,0.7865068912506104
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,149,2047.9998779296875,15.728531837463379,0.1581360101699829,0.7878132462501526
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,158,2047.999755859375,15.691282272338867,0.15805178880691528,0.7618347406387329
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,149,2047.9998779296875,15.699800491333008,0.15787222981452942,0.7625325322151184
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,158,2047.999755859375,15.744955062866211,0.15718314051628113,0.7591440081596375
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,149,2047.9998779296875,15.748205184936523,0.15697570145130157,0.7610170841217041
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,158,2047.999755859375,15.763497352600098,0.15634633600711823,0.7803720831871033
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,149,2047.9998779296875,15.765456199645996,0.1562594175338745,0.7803739309310913
source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,158,2047.999755859375,15.745073318481445,0.1569570153951645,0.7551063895225525
residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,149,2047.9998779296875,15.748005867004395,0.15688544511795044,0.7562839984893799
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,98,2048.0,19.180070877075195,0.18791501224040985,0.7032962441444397
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,98,2048.0,18.945999145507812,0.19525426626205444,0.7056694030761719
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,98,2048.0,21.489002227783203,0.12502288818359375,0.8020040988922119
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,98,2048.0,21.28725242614746,0.1360243409872055,0.7810690402984619
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,98,2048.0,20.793973922729492,0.17424337565898895,0.831301748752594
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,98,2048.0,20.603347778320312,0.18238331377506256,0.8348321914672852
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,98,2048.0,21.842519760131836,0.11428453773260117,0.7514700293540955
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,98,2048.0,21.85235023498535,0.1139567568898201,0.7519545555114746
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,98,2048.0,21.82732391357422,0.10858525335788727,0.7668787240982056
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,98,2048.0,21.834896087646484,0.10820500552654266,0.7686914801597595
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,98,2048.0,21.763914108276367,0.11248065531253815,0.7738786935806274
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,98,2048.0,21.770614624023438,0.1122564971446991,0.7752125859260559
