method,source_index,snr_db,seed,mse,lpips,utility
arithmetic_N4084_m8_Dc,0,1.0,4101,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,1.0,4102,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,1.0,4103,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,4.0,4101,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,4.0,4102,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,4.0,4103,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,7.0,4101,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,7.0,4102,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,7.0,4103,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,13.0,4101,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,13.0,4102,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,13.0,4103,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,19.0,4101,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,19.0,4102,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,0,19.0,4103,0.007516754213954086,0.15857872366905212,0.0233746265808593
arithmetic_N4084_m8_Dc,1,1.0,4101,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,1.0,4102,0.029602198532931084,0.3996182978153229,0.06956402831446337
arithmetic_N4084_m8_Dc,1,1.0,4103,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,4.0,4101,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,4.0,4102,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,4.0,4103,0.013178147216606196,0.2144969403743744,0.03462784125404364
arithmetic_N4084_m8_Dc,1,7.0,4101,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,7.0,4102,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,7.0,4103,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,13.0,4101,0.013178147216606196,0.2144969403743744,0.03462784125404364
arithmetic_N4084_m8_Dc,1,13.0,4102,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,13.0,4103,0.013178147216606196,0.2144969403743744,0.03462784125404364
arithmetic_N4084_m8_Dc,1,19.0,4101,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,1,19.0,4102,0.013178147216606196,0.2144969403743744,0.03462784125404364
arithmetic_N4084_m8_Dc,1,19.0,4103,0.013178147216606196,0.21449695527553558,0.034627842744159754
arithmetic_N4084_m8_Dc,2,1.0,4101,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,1.0,4102,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,1.0,4103,0.005690764732819914,0.15144126117229462,0.020834890850049376
arithmetic_N4084_m8_Dc,2,4.0,4101,0.005690764732819914,0.1514412760734558,0.020834892340165497
