method,source_index,snr_db,seed,mse,lpips,utility
m8_plus_latent_1024,0,1.0,4101,0.008553655818104744,0.2096141278743744,0.029515068978071213
m8_plus_latent_1024,0,1.0,4102,0.009943005628883839,0.22431713342666626,0.03237472102046013
m8_plus_latent_1024,0,1.0,4103,0.006181019823998213,0.17114977538585663,0.023295998573303223
m8_plus_latent_1024,0,4.0,4101,0.004981711506843567,0.1173204630613327,0.016713757067918777
m8_plus_latent_1024,0,4.0,4102,0.004729532636702061,0.1187511533498764,0.016604647040367126
m8_plus_latent_1024,0,4.0,4103,0.0048558032140135765,0.1255609095096588,0.017411895096302032
m8_plus_latent_1024,0,7.0,4101,0.004630066454410553,0.11110200732946396,0.01574026793241501
m8_plus_latent_1024,0,7.0,4102,0.004443155135959387,0.11080627143383026,0.01552378199994564
m8_plus_latent_1024,0,7.0,4103,0.004512134473770857,0.11767144501209259,0.016279278323054314
m8_plus_latent_1024,0,13.0,4101,0.004275435581803322,0.10520073771476746,0.014795509167015553
m8_plus_latent_1024,0,13.0,4102,0.004185710102319717,0.10414130240678787,0.01459984015673399
m8_plus_latent_1024,0,13.0,4103,0.004195720888674259,0.10789114981889725,0.014984835870563984
m8_plus_latent_1024,0,19.0,4101,0.0041487207636237144,0.10331366211175919,0.014480086974799633
m8_plus_latent_1024,0,19.0,4102,0.004106817301362753,0.10245749354362488,0.014352567493915558
m8_plus_latent_1024,0,19.0,4103,0.004107941873371601,0.10463844239711761,0.014571785926818848
m8_plus_latent_1024,1,1.0,4101,0.012396189384162426,0.2412947416305542,0.0365256629884243
m8_plus_latent_1024,1,1.0,4102,0.011109757237136364,0.2018362283706665,0.03129338100552559
m8_plus_latent_1024,1,1.0,4103,0.014257381670176983,0.28796008229255676,0.043053388595581055
m8_plus_latent_1024,1,4.0,4101,0.009875413030385971,0.17157645523548126,0.027033058926463127
m8_plus_latent_1024,1,4.0,4102,0.009563587605953217,0.17380188405513763,0.02694377675652504
m8_plus_latent_1024,1,4.0,4103,0.009980691596865654,0.1740308701992035,0.027383778244256973
m8_plus_latent_1024,1,7.0,4101,0.00953177735209465,0.16169722378253937,0.025701500475406647
m8_plus_latent_1024,1,7.0,4102,0.009290928952395916,0.16514158248901367,0.02580508589744568
m8_plus_latent_1024,1,7.0,4103,0.009652968496084213,0.16406306624412537,0.02605927549302578
m8_plus_latent_1024,1,13.0,4101,0.00918986089527607,0.15015046298503876,0.024204906076192856
m8_plus_latent_1024,1,13.0,4102,0.009065461345016956,0.15452368557453156,0.024517830461263657
m8_plus_latent_1024,1,13.0,4103,0.009280811995267868,0.15327496826648712,0.0246083103120327
m8_plus_latent_1024,1,19.0,4101,0.009082172997295856,0.14847984910011292,0.023930158466100693
m8_plus_latent_1024,1,19.0,4102,0.009022820740938187,0.15100254118442535,0.02412307634949684
m8_plus_latent_1024,1,19.0,4103,0.009133975952863693,0.14978846907615662,0.024112824350595474
m8_plus_latent_1024,2,1.0,4101,0.0066870092414319515,0.1791047751903534,0.024597488343715668
m8_plus_latent_1024,2,1.0,4102,0.005856591276824474,0.15380650758743286,0.021237242966890335
m8_plus_latent_1024,2,1.0,4103,0.007191178854554892,0.1798248589038849,0.025173665955662727
m8_plus_latent_1024,2,4.0,4101,0.003790651448071003,0.09889627993106842,0.01368027925491333
m8_plus_latent_1024,2,4.0,4102,0.0034063104540109634,0.11505638808012009,0.014911949634552002
m8_plus_latent_1024,2,4.0,4103,0.003527489025145769,0.1099243089556694,0.014519920572638512
m8_plus_latent_1024,2,7.0,4101,0.003327140351757407,0.09468847513198853,0.012795988470315933
m8_plus_latent_1024,2,7.0,4102,0.0029281056486070156,0.09503886103630066,0.012431992217898369
m8_plus_latent_1024,2,7.0,4103,0.0030427647288888693,0.09508643299341202,0.012551408261060715
m8_plus_latent_1024,2,13.0,4101,0.00282719056122005,0.08637235313653946,0.011464426293969154
m8_plus_latent_1024,2,13.0,4102,0.002595366910099983,0.0831831842660904,0.010913685895502567
m8_plus_latent_1024,2,13.0,4103,0.002672119066119194,0.08444789052009583,0.011116907931864262
m8_plus_latent_1024,2,19.0,4101,0.002627964597195387,0.08156576007604599,0.010784540325403214
m8_plus_latent_1024,2,19.0,4102,0.0025470000691711903,0.0806848406791687,0.010615484789013863
m8_plus_latent_1024,2,19.0,4103,0.0025787733029574156,0.08168633282184601,0.010747406631708145
m8_plus_latent_1024,3,1.0,4101,0.0019898859318345785,0.12089090049266815,0.014078976586461067
m8_plus_latent_1024,3,1.0,4102,0.00468828622251749,0.17860518395900726,0.02254880592226982
m8_plus_latent_1024,3,1.0,4103,0.005198881030082703,0.168838232755661,0.022082705050706863
m8_plus_latent_1024,3,4.0,4101,0.0011433885665610433,0.07820162922143936,0.008963551372289658
m8_plus_latent_1024,3,4.0,4102,0.0011474562343209982,0.07413756847381592,0.008561213500797749
m8_plus_latent_1024,3,4.0,4103,0.0012543079210445285,0.07585924118757248,0.008840232156217098
m8_plus_latent_1024,3,7.0,4101,0.0010246133897453547,0.07226536422967911,0.008251150138676167
m8_plus_latent_1024,3,7.0,4102,0.001038151327520609,0.06877324730157852,0.007915476337075233
m8_plus_latent_1024,3,7.0,4103,0.0011007289867848158,0.07047336548566818,0.008148065768182278
m8_plus_latent_1024,3,13.0,4101,0.0009309737361036241,0.06538369506597519,0.007469343487173319
m8_plus_latent_1024,3,13.0,4102,0.0009441873407922685,0.06465329229831696,0.0074095167219638824
m8_plus_latent_1024,3,13.0,4103,0.0009614060400053859,0.06516612321138382,0.007478018756955862
m8_plus_latent_1024,3,19.0,4101,0.0009163249051198363,0.06339946389198303,0.007256271317601204
m8_plus_latent_1024,3,19.0,4102,0.0009258930804207921,0.06340443342924118,0.007266336586326361
m8_plus_latent_1024,3,19.0,4103,0.0009310870664194226,0.06354200094938278,0.0072852871380746365
m8_plus_latent_1024,4,1.0,4101,0.006147405132651329,0.18779276311397552,0.02492668107151985
m8_plus_latent_1024,4,1.0,4102,0.014272747561335564,0.251260370016098,0.039398785680532455
m8_plus_latent_1024,4,1.0,4103,0.005255017429590225,0.15108029544353485,0.02036304771900177
m8_plus_latent_1024,4,4.0,4101,0.0035722467582672834,0.0973944142460823,0.013311688788235188
m8_plus_latent_1024,4,4.0,4102,0.0033052689395844936,0.09677886962890625,0.012983156368136406
m8_plus_latent_1024,4,4.0,4103,0.003382306545972824,0.09905824065208435,0.013288130983710289
m8_plus_latent_1024,4,7.0,4101,0.0033287741243839264,0.08882557600736618,0.012211332097649574
m8_plus_latent_1024,4,7.0,4102,0.0031204898841679096,0.08966703712940216,0.012087194249033928
