method,source_index,snr_db,seed,mse,lpips,utility
m8_plus_latent_512_fold_N4084,0,1.0,4101,0.007573030889034271,0.16530372202396393,0.024103403091430664
m8_plus_latent_512_fold_N4084,0,1.0,4102,0.009446478448808193,0.20830614864826202,0.03027709200978279
m8_plus_latent_512_fold_N4084,0,1.0,4103,0.006583674810826778,0.15798377990722656,0.02238205447793007
m8_plus_latent_512_fold_N4084,0,4.0,4101,0.005414014216512442,0.1394534856081009,0.019359363242983818
m8_plus_latent_512_fold_N4084,0,4.0,4102,0.005621121730655432,0.14520062506198883,0.020141184329986572
m8_plus_latent_512_fold_N4084,0,4.0,4103,0.005426295101642609,0.1356217861175537,0.0189884752035141
m8_plus_latent_512_fold_N4084,0,7.0,4101,0.00518816988915205,0.1326143890619278,0.018449608236551285
m8_plus_latent_512_fold_N4084,0,7.0,4102,0.0053315237164497375,0.1380445510149002,0.0191359780728817
m8_plus_latent_512_fold_N4084,0,7.0,4103,0.005167457740753889,0.13057170808315277,0.018224628642201424
m8_plus_latent_512_fold_N4084,0,13.0,4101,0.00498962914571166,0.12608666718006134,0.017598295584321022
m8_plus_latent_512_fold_N4084,0,13.0,4102,0.005034928675740957,0.12924239039421082,0.017959168180823326
m8_plus_latent_512_fold_N4084,0,13.0,4103,0.004952326416969299,0.12512452900409698,0.017464779317378998
m8_plus_latent_512_fold_N4084,0,19.0,4101,0.004933508578687906,0.12483323365449905,0.017416832968592644
m8_plus_latent_512_fold_N4084,0,19.0,4102,0.004944671876728535,0.12642881274223328,0.017587553709745407
m8_plus_latent_512_fold_N4084,0,19.0,4103,0.004900292959064245,0.12394525110721588,0.01729481853544712
m8_plus_latent_512_fold_N4084,1,1.0,4101,0.01190582662820816,0.2109794020652771,0.03300376981496811
m8_plus_latent_512_fold_N4084,1,1.0,4102,0.011426342651247978,0.21162591874599457,0.032588936388492584
m8_plus_latent_512_fold_N4084,1,1.0,4103,0.010809841565787792,0.20082998275756836,0.030892841517925262
m8_plus_latent_512_fold_N4084,1,4.0,4101,0.010453302413225174,0.1776520013809204,0.028218502178788185
m8_plus_latent_512_fold_N4084,1,4.0,4102,0.010431434959173203,0.17903463542461395,0.028334898874163628
m8_plus_latent_512_fold_N4084,1,4.0,4103,0.01046491414308548,0.18453767895698547,0.028918681666254997
m8_plus_latent_512_fold_N4084,1,7.0,4101,0.010216526687145233,0.1696963608264923,0.027186162769794464
m8_plus_latent_512_fold_N4084,1,7.0,4102,0.01020067185163498,0.17197178304195404,0.027397850528359413
m8_plus_latent_512_fold_N4084,1,7.0,4103,0.010208351537585258,0.17541594803333282,0.02774994634091854
m8_plus_latent_512_fold_N4084,1,13.0,4101,0.009971431456506252,0.1633024662733078,0.026301678270101547
m8_plus_latent_512_fold_N4084,1,13.0,4102,0.009968198835849762,0.1624431014060974,0.026212509721517563
m8_plus_latent_512_fold_N4084,1,13.0,4103,0.009953438304364681,0.16430185735225677,0.026383623480796814
m8_plus_latent_512_fold_N4084,1,19.0,4101,0.009885352104902267,0.15960058569908142,0.02584541030228138
m8_plus_latent_512_fold_N4084,1,19.0,4102,0.009884036146104336,0.16020207107067108,0.02590424194931984
m8_plus_latent_512_fold_N4084,1,19.0,4103,0.009874358773231506,0.16154463589191437,0.026028823107481003
m8_plus_latent_512_fold_N4084,2,1.0,4101,0.006692065857350826,0.160114586353302,0.02270352467894554
m8_plus_latent_512_fold_N4084,2,1.0,4102,0.0056246607564389706,0.15839922428131104,0.02146458439528942
m8_plus_latent_512_fold_N4084,2,1.0,4103,0.005141506902873516,0.1584159880876541,0.020983107388019562
m8_plus_latent_512_fold_N4084,2,4.0,4101,0.004306635819375515,0.12119584530591965,0.016426220536231995
m8_plus_latent_512_fold_N4084,2,4.0,4102,0.003999228589236736,0.11827647686004639,0.01582687720656395
m8_plus_latent_512_fold_N4084,2,4.0,4103,0.00395969208329916,0.12250931560993195,0.01621062308549881
m8_plus_latent_512_fold_N4084,2,7.0,4101,0.004005226772278547,0.11797413229942322,0.015802640467882156
m8_plus_latent_512_fold_N4084,2,7.0,4102,0.0037874046247452497,0.11500154435634613,0.015287559479475021
