method,source_index,snr_db,seed,mse,lpips,utility
raw_N4084_m7_Dc,0,1.0,4101,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,1.0,4102,0.01119983676072414,0.2268856167793274,0.03388839843865688
raw_N4084_m7_Dc,0,1.0,4103,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,4.0,4101,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,4.0,4102,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,4.0,4103,0.01119983676072414,0.2268856167793274,0.03388839843865688
raw_N4084_m7_Dc,0,7.0,4101,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,7.0,4102,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,7.0,4103,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,13.0,4101,0.01119983676072414,0.2268856167793274,0.03388839843865688
raw_N4084_m7_Dc,0,13.0,4102,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,13.0,4103,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,19.0,4101,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,0,19.0,4102,0.01119983676072414,0.2268856167793274,0.03388839843865688
raw_N4084_m7_Dc,0,19.0,4103,0.01119983676072414,0.22688564658164978,0.033888401418889116
raw_N4084_m7_Dc,1,1.0,4101,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,1.0,4102,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,1.0,4103,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,4.0,4101,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,4.0,4102,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,4.0,4103,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,7.0,4101,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,7.0,4102,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,7.0,4103,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,13.0,4101,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,13.0,4102,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,13.0,4103,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,19.0,4101,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,19.0,4102,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,1,19.0,4103,0.015862253119797897,0.2678041160106659,0.04264266472086449
raw_N4084_m7_Dc,2,1.0,4101,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,1.0,4102,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,1.0,4103,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,4.0,4101,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,4.0,4102,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,4.0,4103,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,7.0,4101,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,7.0,4102,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,7.0,4103,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,13.0,4101,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,13.0,4102,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,13.0,4103,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,19.0,4101,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,19.0,4102,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,2,19.0,4103,0.007827570286936023,0.20741435885429382,0.028569006172365408
raw_N4084_m7_Dc,3,1.0,4101,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,1.0,4102,0.002566831238122481,0.1346893608570099,0.01603576732382347
raw_N4084_m7_Dc,3,1.0,4103,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,4.0,4101,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,4.0,4102,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,4.0,4103,0.002566831238122481,0.1346893608570099,0.01603576732382347
raw_N4084_m7_Dc,3,7.0,4101,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,7.0,4102,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,7.0,4103,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,13.0,4101,0.002566831238122481,0.1346893608570099,0.01603576732382347
raw_N4084_m7_Dc,3,13.0,4102,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,13.0,4103,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,19.0,4101,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,3,19.0,4102,0.002566831238122481,0.1346893608570099,0.01603576732382347
raw_N4084_m7_Dc,3,19.0,4103,0.002566831238122481,0.1346893459558487,0.01603576583370735
raw_N4084_m7_Dc,4,1.0,4101,0.006346369141708077,0.19974640011787415,0.026321009153495493
