snr_db,method,utility
1.0,arithmetic_N4084_m7_Dc,0.03869769720343493
1.0,arithmetic_N4084_m8_Dc,0.03627714006015912
1.0,arithmetic_N4084_m9_Dc,0.10816518009960724
1.0,m8_plus_latent_1024,0.03293773417097206
1.0,m8_plus_latent_512_fold_N4084,0.029381540777316938
1.0,raw_N4084_m7_Dc,0.03870079235452948
1.0,raw_N4084_m8_Dc,0.030825164083942216
1.0,raw_N4084_m9_Dc,0.12971536599835035
4.0,arithmetic_N4084_m7_Dc,0.03869769719387336
4.0,arithmetic_N4084_m8_Dc,0.02809839217747632
4.0,arithmetic_N4084_m9_Dc,0.021889054508091418
4.0,m8_plus_latent_1024,0.020577676966243113
4.0,m8_plus_latent_512_fold_N4084,0.023361211830129226
4.0,raw_N4084_m7_Dc,0.03869769719387336
4.0,raw_N4084_m8_Dc,0.02809912672928939
4.0,raw_N4084_m9_Dc,0.021596553890109383
7.0,arithmetic_N4084_m7_Dc,0.038697697206977605
7.0,arithmetic_N4084_m8_Dc,0.028098392183972948
7.0,arithmetic_N4084_m9_Dc,0.020762737877155598
7.0,m8_plus_latent_1024,0.019359855640757206
7.0,m8_plus_latent_512_fold_N4084,0.02252220602465483
7.0,raw_N4084_m7_Dc,0.038697697206977605
7.0,raw_N4084_m8_Dc,0.028098392183972948
7.0,raw_N4084_m9_Dc,0.020762737877155598
13.0,arithmetic_N4084_m7_Dc,0.03869769720499808
13.0,arithmetic_N4084_m8_Dc,0.028098392195476076
13.0,arithmetic_N4084_m9_Dc,0.020762737866257045
13.0,m8_plus_latent_1024,0.018202785688297203
13.0,m8_plus_latent_512_fold_N4084,0.0216683562345958
13.0,raw_N4084_m7_Dc,0.03869769720499808
13.0,raw_N4084_m8_Dc,0.028098392195476076
13.0,raw_N4084_m9_Dc,0.020762737866257045
19.0,arithmetic_N4084_m7_Dc,0.038697697221141
19.0,arithmetic_N4084_m8_Dc,0.0280983922047893
19.0,arithmetic_N4084_m9_Dc,0.02076273786892684
19.0,m8_plus_latent_1024,0.01786586774691629
19.0,m8_plus_latent_512_fold_N4084,0.021399723339282598
19.0,raw_N4084_m7_Dc,0.038697697221141
19.0,raw_N4084_m8_Dc,0.0280983922047893
19.0,raw_N4084_m9_Dc,0.02076273786892684
