method,selected_mode,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
raw_adaptive_m789_Dc,8,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,14.248100280761719,0.2010643184185028,0.6723915338516235
arithmetic_adaptive_m789_Dc,8,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_adaptive_m789_Dc,8,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,14.18429946899414,0.19560137391090393,0.6350640058517456
arithmetic_adaptive_m789_Dc,8,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_adaptive_m789_Dc,8,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,13.892741203308105,0.21483729779720306,0.608396053314209
arithmetic_adaptive_m789_Dc,8,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,12.661999702453613,0.29535847902297974,0.47185030579566956
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,15.66267204284668,0.15003007650375366,0.8448184728622437
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,15.681812286376953,0.1507471352815628,0.7903635501861572
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,15.685928344726562,0.1473958045244217,0.8237771391868591
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
raw_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_adaptive_m789_Dc,9,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,15.693902969360352,0.14851780235767365,0.7976688742637634
raw_adaptive_m789_Dc,8,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,21.099233627319336,0.1299935281276703,0.6072885990142822
arithmetic_adaptive_m789_Dc,8,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,21.200607299804688,0.12767630815505981,0.7305284738540649
raw_adaptive_m789_Dc,8,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,21.212142944335938,0.1310829520225525,0.7322961688041687
arithmetic_adaptive_m789_Dc,8,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,21.200607299804688,0.12767630815505981,0.7305284738540649
raw_adaptive_m789_Dc,8,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,21.105852127075195,0.12707796692848206,0.7706601023674011
arithmetic_adaptive_m789_Dc,8,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,21.200607299804688,0.12767630815505981,0.7305284738540649
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,21.644184112548828,0.11380093544721603,0.790861964225769
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,21.492416381835938,0.11901919543743134,0.8069690465927124
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,21.61578941345215,0.11658566445112228,0.8231227993965149
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
raw_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_adaptive_m789_Dc,9,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,21.61578941345215,0.11658566445112228,0.8231233358383179
raw_adaptive_m789_Dc,8,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,16.161184310913086,0.31993648409843445,0.7873024344444275
arithmetic_adaptive_m789_Dc,8,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,16.485641479492188,0.31352174282073975,0.8782055974006653
raw_adaptive_m789_Dc,8,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,16.803802490234375,0.30203551054000854,0.8377197980880737
arithmetic_adaptive_m789_Dc,8,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,16.93906593322754,0.2826482355594635,0.8518874645233154
raw_adaptive_m789_Dc,8,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,16.88083839416504,0.29230260848999023,0.8705340623855591
arithmetic_adaptive_m789_Dc,8,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,16.93906593322754,0.2826482355594635,0.8518874645233154
raw_adaptive_m789_Dc,9,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,17.5870361328125,0.2415221631526947,0.8257609009742737
