method,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,4084,8168,15.201395034790039,0.18756408989429474,0.5883452296257019
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,4084,8168,14.953537940979004,0.19425873458385468,0.5955914258956909
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,4084,8168,15.053585052490234,0.17633844912052155,0.5542210340499878
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,4084,8168,15.430208206176758,0.16114726662635803,0.7439521551132202
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,4084,8168,15.551787376403809,0.17108280956745148,0.6608262658119202
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,4084,8168,15.462177276611328,0.16831941902637482,0.6493592262268066
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,15.586601257324219,0.1578046828508377,0.7425993084907532
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,15.706805229187012,0.16401003301143646,0.6328622102737427
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,15.611940383911133,0.16189320385456085,0.6519100666046143
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,15.755224227905273,0.15567047894001007,0.7053860425949097
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,15.841036796569824,0.1576402634382248,0.6538798809051514
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,15.789872169494629,0.15831902623176575,0.6582739353179932
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,15.820262908935547,0.1557469367980957,0.6864253282546997
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,15.868894577026367,0.15718916058540344,0.6634036302566528
m8_plus_latent_512_fold_N4084,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,15.842360496520996,0.1569640189409256,0.6632969975471497
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,21.541852951049805,0.13460859656333923,0.8024490475654602
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,21.45806121826172,0.1383422613143921,0.7165685892105103
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,21.480016708374023,0.12723036110401154,0.6868185997009277
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,21.89912986755371,0.1101255863904953,0.733029842376709
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,21.890819549560547,0.12030433118343353,0.6915003657341003
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,21.80345344543457,0.11360377818346024,0.7038618922233582
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,21.98451805114746,0.10962153226137161,0.7377291917800903
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,21.992630004882812,0.11559010297060013,0.6980991363525391
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,21.916654586791992,0.11064087599515915,0.7165794372558594
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,22.061981201171875,0.10871923714876175,0.7381714582443237
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,22.07858657836914,0.11060336232185364,0.7118586301803589
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,22.025997161865234,0.10809444636106491,0.7311383485794067
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,22.077844619750977,0.10854233801364899,0.7384769320487976
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,22.0883731842041,0.10975272953510284,0.7248474359512329
m8_plus_latent_512_fold_N4084,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,22.05909538269043,0.10809919983148575,0.7335355281829834
