source_index,image_id,m,N,ND,NA,snr_db,seed,header_ok,header_crc_ok,decoded_mode,decoded_label,body_crc_ok,token_error_rate_including_erasure,prefix_error_normalized,base_error_normalized
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,1,4101,1,1,6,0,0,0.12087912087912088,0.05355050414800644,1.0841126441955566
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,1,4102,1,1,6,0,0,0.04395604395604396,0.009159675799310207,0.9911236763000488
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,1,4103,1,1,6,0,0,0.06593406593406594,0.019566144794225693,1.0019922256469727
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,4,4101,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,4,4102,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,4,4103,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,7,4101,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,7,4102,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,7,4103,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,13,4101,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,13,4102,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,13,4103,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,19,4101,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,19,4102,1,1,6,0,1,0.0,0.0,0.9911091923713684
0,n01440764/ILSVRC2012_val_00045866_n01440764,6,4084,1200,2816,19,4103,1,1,6,0,1,0.0,0.0,0.9911091923713684
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,1,4101,1,1,6,1,0,0.14285714285714285,0.03686043247580528,1.1479833126068115
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,1,4102,1,1,6,1,0,0.08791208791208792,0.015270962379872799,1.0946078300476074
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,1,4103,1,1,6,1,0,0.01098901098901099,0.0015645293751731515,1.0513352155685425
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,4,4101,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,4,4102,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,4,4103,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,7,4101,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,7,4102,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,7,4103,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,13,4101,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,13,4102,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,13,4103,1,1,6,1,1,0.0,0.0,1.0487686395645142
1,n01443537/ILSVRC2012_val_00044095_n01443537,6,4084,1200,2816,19,4101,1,1,6,1,1,0.0,0.0,1.0487686395645142
