method,snr_db,attempts,header_failures,body_failures_with_valid_header,source_overflow_erasures,energy_constraint,E_mean
P2048,1,300,0,0,0,per_frame_2N,4095.9999680057804
P2048,4,300,0,0,0,per_frame_2N,4095.9999680057804
P2048,7,300,0,0,0,per_frame_2N,4095.9999680057804
P2048,13,300,0,0,0,per_frame_2N,4095.9999680057804
P2048,19,300,0,0,0,per_frame_2N,4095.9999680057804
P3060,1,300,0,0,0,per_frame_2N,6119.999880584262
P3060,4,300,0,0,0,per_frame_2N,6119.999880584262
P3060,7,300,0,0,0,per_frame_2N,6119.999880584262
P3060,13,300,0,0,0,per_frame_2N,6119.999880584262
P3060,19,300,0,0,0,per_frame_2N,6119.999880584262
P4084,1,300,0,0,0,per_frame_2N,8168.000242230349
P4084,4,300,0,0,0,per_frame_2N,8168.000242230349
P4084,7,300,0,0,0,per_frame_2N,8168.000242230349
P4084,13,300,0,0,0,per_frame_2N,8168.000242230349
P4084,19,300,0,0,0,per_frame_2N,8168.000242230349
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,1,300,0,300,0,fixed_constellation_average_2_per_symbol,4097.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,4,300,0,300,0,fixed_constellation_average_2_per_symbol,4097.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,7,300,0,300,0,fixed_constellation_average_2_per_symbol,4097.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,13,300,0,106,0,fixed_constellation_average_2_per_symbol,4097.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4097.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,1,300,0,50,0,fixed_constellation_average_2_per_symbol,4108.72
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,4,300,0,0,0,fixed_constellation_average_2_per_symbol,4108.72
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,7,300,0,0,0,fixed_constellation_average_2_per_symbol,4108.72
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4108.72
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4108.72
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,1,300,0,293,0,fixed_constellation_average_2_per_symbol,4100.192
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,4,300,0,13,0,fixed_constellation_average_2_per_symbol,4100.192
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,7,300,0,0,0,fixed_constellation_average_2_per_symbol,4100.192
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4100.192
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4100.192
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m8,1,300,0,300,0,fixed_constellation_average_2_per_symbol,4094.24
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m8,4,300,0,286,0,fixed_constellation_average_2_per_symbol,4094.24
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m8,7,300,0,8,0,fixed_constellation_average_2_per_symbol,4094.24
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m8,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4094.24
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m8,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4094.24
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m9,1,300,0,300,0,fixed_constellation_average_2_per_symbol,4095.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m9,4,300,0,300,0,fixed_constellation_average_2_per_symbol,4095.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m9,7,300,0,275,0,fixed_constellation_average_2_per_symbol,4095.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m9,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4095.92
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m9,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4095.92
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,1,300,0,300,0,fixed_constellation_average_2_per_symbol,6125.296
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,4,300,0,300,0,fixed_constellation_average_2_per_symbol,6125.296
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,7,300,0,278,0,fixed_constellation_average_2_per_symbol,6125.296
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6125.296
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6125.296
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,1,300,0,0,0,fixed_constellation_average_2_per_symbol,6139.216
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,4,300,0,0,0,fixed_constellation_average_2_per_symbol,6139.216
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,7,300,0,0,0,fixed_constellation_average_2_per_symbol,6139.216
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6139.216
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6139.216
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,1,300,0,159,0,fixed_constellation_average_2_per_symbol,6127.024
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,4,300,0,0,0,fixed_constellation_average_2_per_symbol,6127.024
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,7,300,0,0,0,fixed_constellation_average_2_per_symbol,6127.024
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6127.024
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6127.024
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,1,300,0,297,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,4,300,0,40,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,7,300,0,0,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,1,300,0,300,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,4,300,0,291,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,7,300,0,19,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,1,300,0,300,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,4,300,0,295,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,7,300,0,90,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,1,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,4,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
