method,source_id,local_reconstruction,sha256,public_pixels
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_00_1.png,92dd50c3fb2892a93d658dd216be170629ac0d37c696ea2fa5d5f461aba1899e,False
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_00_4.png,92dd50c3fb2892a93d658dd216be170629ac0d37c696ea2fa5d5f461aba1899e,False
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_00_7.png,92dd50c3fb2892a93d658dd216be170629ac0d37c696ea2fa5d5f461aba1899e,False
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_00_13.png,92dd50c3fb2892a93d658dd216be170629ac0d37c696ea2fa5d5f461aba1899e,False
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_00_19.png,92dd50c3fb2892a93d658dd216be170629ac0d37c696ea2fa5d5f461aba1899e,False
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_01_1.png,6128d90a033e211d796201b19e2c829bb450b90f30788a076a62b82f541c4f56,False
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_01_4.png,5953a47d60d0d3352973b58602f00da0eb4dcad7980d353837121dd4bdf131e1,False
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_01_7.png,5953a47d60d0d3352973b58602f00da0eb4dcad7980d353837121dd4bdf131e1,False
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_01_13.png,5953a47d60d0d3352973b58602f00da0eb4dcad7980d353837121dd4bdf131e1,False
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,/home/liulu/projects/VAR_COMM/outputs/TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/QPSK/development/previews/0000_01_19.png,5953a47d60d0d3352973b58602f00da0eb4dcad7980d353837121dd4bdf131e1,False
