method,population,snr_db,sources,noise_seeds,run_id,context_sha256,family,N,mcs,energy_constraint,noise_namespace,mse,psnr_db,lpips_alex,dino_cosine,E_mean,E_min,E_p05,E_p95,E_max,table_sha256
P2048,development,1,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,2048,continuous,per_frame_2N,VAR-CONTINUOUS-2048,0.012241430790427372,19.805609938303633,0.21276805151253936,0.6847000059485435,4095.9999680057804,4095.999313657122,4095.9995251505406,4096.000335161865,4096.000497832825,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P2048,development,4,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,2048,continuous,per_frame_2N,VAR-CONTINUOUS-2048,0.009120456599673228,21.19849666595459,0.16053741869827115,0.8000384005904196,4095.9999680057804,4095.999313657122,4095.9995251505406,4096.000335161865,4096.000497832825,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P2048,development,7,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,2048,continuous,per_frame_2N,VAR-CONTINUOUS-2048,0.007684946851316138,22.02381234486898,0.13405763591329264,0.8473739884297048,4095.9999680057804,4095.999313657122,4095.9995251505406,4096.000335161865,4096.000497832825,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P2048,development,13,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,2048,continuous,per_frame_2N,VAR-CONTINUOUS-2048,0.006631024974641689,22.750325686136886,0.114515253448238,0.8754865606625876,4095.9999680057804,4095.999313657122,4095.9995251505406,4096.000335161865,4096.000497832825,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P2048,development,19,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,2048,continuous,per_frame_2N,VAR-CONTINUOUS-2048,0.0063641266254054986,22.956532344818108,0.10954027612383165,0.8827851299444834,4095.9999680057804,4095.999313657122,4095.9995251505406,4096.000335161865,4096.000497832825,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P3060,development,1,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,3060,continuous,per_frame_2N,VAR-CONTINUOUS-3060,0.00909226593370424,21.198039070765176,0.159098006952554,0.8388783609867098,6119.999880584262,6119.998949808275,6119.999246921118,6120.000504481888,6120.000726218628,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P3060,development,4,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,3060,continuous,per_frame_2N,VAR-CONTINUOUS-3060,0.006737082250511241,22.664885126749677,0.11810893608257172,0.8959910881519315,6119.999880584262,6119.998949808275,6119.999246921118,6120.000504481888,6120.000726218628,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P3060,development,7,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,3060,continuous,per_frame_2N,VAR-CONTINUOUS-3060,0.005626605939477924,23.568483950297033,0.0975502116729816,0.9184125250577925,6119.999880584262,6119.998949808275,6119.999246921118,6120.000504481888,6120.000726218628,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P3060,development,13,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,3060,continuous,per_frame_2N,VAR-CONTINUOUS-3060,0.004760269505373219,24.428483238220213,0.08086818231269716,0.9338064710299174,6119.999880584262,6119.998949808275,6119.999246921118,6120.000504481888,6120.000726218628,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P3060,development,19,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,3060,continuous,per_frame_2N,VAR-CONTINUOUS-3060,0.0045294769274540235,24.68808643976848,0.07632004952058194,0.9374799635012946,6119.999880584262,6119.998949808275,6119.999246921118,6120.000504481888,6120.000726218628,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P4084,development,1,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,4084,continuous,per_frame_2N,VAR-CONTINUOUS-4084,0.007949430993565917,21.85883101781209,0.14056262411798043,0.8734406968951227,8168.000242230349,8167.998832690533,8167.999219912691,8168.001161090882,8168.001486037782,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P4084,development,4,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,4084,continuous,per_frame_2N,VAR-CONTINUOUS-4084,0.005864557057358827,23.353258921305347,0.10221133290479582,0.9188402124245961,8168.000242230349,8167.998832690533,8167.999219912691,8168.001161090882,8168.001486037782,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P4084,development,7,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,4084,continuous,per_frame_2N,VAR-CONTINUOUS-4084,0.004915739853146293,24.24398211161297,0.08449181987593574,0.9334456823269526,8168.000242230349,8167.998832690533,8167.999219912691,8168.001161090882,8168.001486037782,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P4084,development,13,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,4084,continuous,per_frame_2N,VAR-CONTINUOUS-4084,0.004139956738254237,25.131426080067953,0.06973827710996072,0.9443416899442673,8168.000242230349,8167.998832690533,8167.999219912691,8168.001161090882,8168.001486037782,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
P4084,development,19,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,4084,continuous,per_frame_2N,VAR-CONTINUOUS-4084,0.003923811311718474,25.417431316375733,0.06577504676456251,0.947788166999817,8168.000242230349,8167.998832690533,8167.999219912691,8168.001161090882,8168.001486037782,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,development,1,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,arithmetic,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/arithmetic/16QAM/N2048,0.1308870899152206,9.260030159950256,0.7259137193361919,0.22046620761665203,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,development,4,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,arithmetic,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/arithmetic/16QAM/N2048,0.12472004261103412,9.541841926574705,0.7150390088558197,0.22924309976709392,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,development,7,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,arithmetic,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/arithmetic/16QAM/N2048,0.10486449053757402,10.52119900862376,0.6660720682454607,0.28023249581300946,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,development,13,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,arithmetic,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/arithmetic/16QAM/N2048,0.011750984353883043,21.94848799069722,0.15131971028633412,0.8631254150470096,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,development,19,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,arithmetic,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/arithmetic/16QAM/N2048,0.0059315231769065955,23.464584121704103,0.09887114594690498,0.9141521066427231,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,development,1,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,arithmetic,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/arithmetic/16QAM/N2048,0.026604630145018047,16.825778891245523,0.29811887546132004,0.7615968369195856,4108.72,3921.5999999999995,3975.52,4219.36,4244.8,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,development,4,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,arithmetic,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/arithmetic/16QAM/N2048,0.02319420795294406,17.17391519546509,0.2783039801071087,0.7866010737419128,4108.72,3921.5999999999995,3975.52,4219.36,4244.8,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
