step,method,mse,lpips_alex,normalized_latent,utility,U_image,header_failures,body_crc_failures
0,H6-P,0.030344331324868835,0.5663671247601509,0.8552962973450621,0.09553400774300098,0.08698104490935803,0,2825
0,H6-V,0.025962574051553382,0.2885750387882193,1.0349649581809839,0.06516972769579539,0.054820078423743444,0,2825
2500,H6-P,0.007476534531785485,0.1198279213702927,0.4959429084698359,0.02441875586317231,0.019459326879276585,0,2825
2500,H6-V,0.007601304472078725,0.12265289226906995,0.5110783608322342,0.024977377412623417,0.01986659391107969,0,2825
5000,H6-P,0.006666538648668211,0.1062720093836387,0.43246067210088174,0.021618346390795583,0.01729373976366284,0,2825
5000,H6-V,0.006754138085370263,0.10937551967613399,0.44835167920291424,0.022175206938975803,0.01769169024298899,0,2825
7500,H6-P,0.00645554675234016,0.10298011125133684,0.4166466052606702,0.020920024018750216,0.016753558056708424,0,2825
7500,H6-V,0.006514242522602823,0.10486451888208588,0.4305327809994419,0.021306022316543386,0.01700069459954587,0,2825
10000,H6-P,0.0063142069093281555,0.10163554747104644,0.4082468482499321,0.02056023023336505,0.01647776183639653,0,2825
10000,H6-V,0.006418030931649264,0.1026437726246814,0.41998091447353364,0.020882217421894892,0.016682408368649582,0,2825
12500,H6-P,0.0062993057291489095,0.10089243315228572,0.4017604281154772,0.020406153412163258,0.01638854922132256,0,2825
12500,H6-V,0.006351880251499824,0.10137105598263442,0.41225103170126676,0.020611496246264627,0.0164889860289637,0,2825
15000,H6-P,0.006224194738614217,0.10045356028104822,0.39621053126926226,0.020231656168308108,0.016269550941263637,0,2825
15000,H6-V,0.0062494795076801285,0.10084149754469593,0.4067110020970305,0.020400739355711267,0.01633362943235164,0,2825
17500,H6-P,0.00614177299302731,0.0992666691372171,0.3906556699983776,0.01997499669759224,0.016068440078229954,0,2825
17500,H6-V,0.0061938493741385174,0.10010848667044192,0.40165728988995153,0.02022127104505586,0.0162046982254833,0,2825
20000,H6-P,0.006132872410258278,0.09910668418922772,0.3880533995134135,0.019924074921756983,0.016043541008986844,0,2825
20000,H6-V,0.006139763930938595,0.09959836969226599,0.3969704236442844,0.020069305233191698,0.01609960107213507,0,2825
