method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4101,0.011925729922950268,0.28837820887565613,0.7452529668807983,0.0482160784304142,0.040763549506664276,1,0
H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4101,0.012041914276778698,0.2237791270017624,0.723993182182312,0.04165975749492645,0.03441982716321945,1,0
H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4101,0.0061867451295256615,0.16563576459884644,0.5267101526260376,0.028017424046993256,0.02275032177567482,1,0
H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4101,0.002332645934075117,0.13777029514312744,0.4228113293647766,0.02033778838813305,0.01610967516899109,1,0
H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4101,0.005448746494948864,0.12737591564655304,0.5050902366638184,0.023237239569425583,0.018186338245868683,1,0
H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4101,0.004384969361126423,0.153216153383255,0.39437294006347656,0.023650314658880234,0.01970658451318741,1,0
H8-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4101,0.020009852945804596,0.36971428990364075,0.7274709343910217,0.06425599008798599,0.05698128417134285,1,0
H8-V,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4101,0.021713940426707268,0.3119938373565674,0.9992714524269104,0.06290603429079056,0.052913323044776917,1,0
H8-V,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4101,0.014291724190115929,0.1945158988237381,0.7876296043395996,0.04161961004137993,0.03374331444501877,1,0
H8-V,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4101,0.006340385880321264,0.13645552098751068,0.5126379728317261,0.025112317875027657,0.01998593844473362,1,0
H8-V,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4101,0.009888148866593838,0.1908789426088333,1.0563457012176514,0.03953949734568596,0.028976041823625565,1,0
H8-V,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4101,0.006095141172409058,0.11821738630533218,0.4959789514541626,0.022876670584082603,0.017916880548000336,1,0
H8-V,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4101,0.023254556581377983,0.2511647343635559,0.6758795380592346,0.055129826068878174,0.04837103188037872,1,0
H8-V,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4101,0.01004000287503004,0.14377568662166595,0.7123376131057739,0.031540948897600174,0.02441757172346115,1,0
H8-V,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4101,0.012211318127810955,0.14689669013023376,0.5883002281188965,0.03278398886322975,0.026900988072156906,1,0
H8-V,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4101,0.009135019965469837,0.1143418699502945,0.4311451315879822,0.024880658835172653,0.0205692071467638,1,0
H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4102,0.013902151957154274,0.27923065423965454,0.7059014439582825,0.04888423532247543,0.04182521998882294,1,0
H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4102,0.013446612283587456,0.2419678270816803,0.7369807362556458,0.04501320421695709,0.037643395364284515,1,0
H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4102,0.005046543665230274,0.13979877531528473,0.48061034083366394,0.023832524195313454,0.019026421010494232,1,0
H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4102,0.003527839435264468,0.15885008871555328,0.45616281032562256,0.023974474519491196,0.019412847235798836,1,0
H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4102,0.006514823064208031,0.16833221912384033,0.5300325155258179,0.028648369014263153,0.023348044604063034,1,0
H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4102,0.0038856740575283766,0.15522563457489014,0.3718807101249695,0.02312704361975193,0.01940823718905449,1,0
H8-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4102,0.011591264978051186,0.23103559017181396,0.6478599309921265,0.04117342457175255,0.03469482436776161,1,0
H8-V,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4102,0.016432490199804306,0.20298203825950623,0.9262417554855347,0.04599310830235481,0.03673069179058075,1,0
H8-V,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4102,0.014788872562348843,0.18077969551086426,0.7997423410415649,0.04086426645517349,0.03286684304475784,1,0
H8-V,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4102,0.0057062930427491665,0.1214175820350647,0.4779592454433441,0.02262764424085617,0.017848052084445953,1,0
H8-V,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4102,0.0224356260150671,0.28851789236068726,1.108119010925293,0.06236860528588295,0.051287416368722916,1,0
H8-V,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4102,0.005874401889741421,0.1337510645389557,0.49218231439590454,0.02417133003473282,0.019249508157372475,1,0
H8-V,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4102,0.013708147220313549,0.16099922358989716,0.5638856887817383,0.035446926951408386,0.02980807051062584,1,0
H8-V,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4102,0.009238006547093391,0.12121328711509705,0.7134512662887573,0.02849384769797325,0.021359335631132126,1,0
H8-V,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4102,0.011869555339217186,0.1688949316740036,0.5732316970825195,0.034491367638111115,0.028759049251675606,1,0
H8-V,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4102,0.00777292950078845,0.1021663174033165,0.423542320728302,0.02222498506307602,0.017989560961723328,1,0
H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4103,0.009885620325803757,0.205376997590065,0.6859034895896912,0.03728235512971878,0.030423320829868317,1,0
H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4103,0.01239111926406622,0.23146066069602966,0.7314696907997131,0.04285188391804695,0.03553718701004982,1,0
H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4103,0.009922200813889503,0.20914113521575928,0.5499471426010132,0.0363357849419117,0.0308363139629364,1,0
H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4103,0.006003073416650295,0.1710524559020996,0.45249509811401367,0.027633268386125565,0.02310831844806671,1,0
H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4103,0.006242281757295132,0.1559782177209854,0.5526168346405029,0.02736627124249935,0.021840102970600128,1,0
H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4103,0.005704957060515881,0.13584373891353607,0.38889384269714355,0.02317827008664608,0.019289331510663033,1,0
H8-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4103,0.013528889045119286,0.24238835275173187,0.6913958787918091,0.04468168318271637,0.03776772320270538,1,0
H8-V,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4103,0.016800973564386368,0.25204625725746155,0.9904520511627197,0.05191011726856232,0.04200559854507446,1,0
H8-V,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4103,0.015592217445373535,0.23240473866462708,0.8194987773895264,0.04702768102288246,0.03883269429206848,1,0
H8-V,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4103,0.010298158042132854,0.2294791042804718,0.5633809566497803,0.0388798788189888,0.03324607014656067,1,0
H8-V,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4103,0.014406835660338402,0.2799968421459198,1.1737183332443237,0.05414370447397232,0.04240652173757553,1,0
H8-V,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4103,0.006670000962913036,0.15816012024879456,0.4892130196094513,0.0273781418800354,0.022486012428998947,1,0
H8-V,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4103,0.01517421007156372,0.12998783588409424,0.5818455219268799,0.03399144858121872,0.028172994032502174,1,0
H8-V,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4103,0.010405446402728558,0.1474795937538147,0.7568179368972778,0.032721586525440216,0.025153405964374542,1,0
H8-V,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4103,0.010642575100064278,0.13849323987960815,0.5618153214454651,0.030110051855444908,0.024491898715496063,1,0
H8-V,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4103,0.011426004581153393,0.1877332627773285,0.4628177583217621,0.03482750803232193,0.030199330300092697,1,0
H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,4101,0.005080237984657288,0.12086628377437592,0.5400664806365967,0.02256753295660019,0.017166867852211,1,1
H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,4101,0.00963021069765091,0.1782490313053131,0.6239839792251587,0.033694952726364136,0.02745511382818222,1,1
