method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4101,0.005445071961730719,0.12918923795223236,0.4589746594429016,0.022953741252422333,0.018363995477557182,1,not_applicable
P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4101,0.008480307646095753,0.16178135573863983,0.47677290439605713,0.029426174238324165,0.0246584452688694,1,not_applicable
P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4101,0.003707263618707657,0.10370688140392303,0.39449542760849,0.01802290603518486,0.01407795213162899,1,not_applicable
P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4101,0.0017194056417793036,0.08888649940490723,0.3565528392791748,0.014173584058880806,0.010608055628836155,1,not_applicable
P4084,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4101,0.005227122455835342,0.10712476819753647,0.4114934206008911,0.020054534077644348,0.01593960076570511,1,not_applicable
P4084,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4101,0.0028912355192005634,0.08202972263097763,0.3300609588623047,0.014394817873835564,0.011094208806753159,1,not_applicable
P4084,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4101,0.007514777593314648,0.15342259407043457,0.4503399431705475,0.02736043557524681,0.02285703644156456,1,not_applicable
P4084,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4101,0.010554312728345394,0.1313132345676422,0.6426752805709839,0.030112389475107193,0.0236856359988451,1,not_applicable
P4084,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4101,0.009335005655884743,0.14717477560043335,0.554171085357666,0.029594192281365395,0.024052482098340988,1,not_applicable
P4084,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4101,0.004761288873851299,0.10155392438173294,0.3917521834373474,0.018834203481674194,0.014916681684553623,1,not_applicable
P4084,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4101,0.0076205674558877945,0.11681952327489853,0.7306276559829712,0.026608796790242195,0.019302520900964737,1,not_applicable
P4084,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4101,0.0037586695980280638,0.0831553265452385,0.37056535482406616,0.015779856592416763,0.012074202299118042,1,not_applicable
P4084,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4101,0.006617233157157898,0.0677662268280983,0.4012925624847412,0.017406782135367393,0.013393856585025787,1,not_applicable
P4084,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4101,0.005654823966324329,0.08275259286165237,0.5041579008102417,0.01897166296839714,0.013930083252489567,1,not_applicable
P4084,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4101,0.007830916903913021,0.0958208441734314,0.43508800864219666,0.021763881668448448,0.017413001507520676,1,not_applicable
P4084,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4101,0.007454066537320614,0.07961228489875793,0.3516429662704468,0.01893172413110733,0.015415295027196407,1,not_applicable
P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4102,0.0055540683679282665,0.13427303731441498,0.4641196131706238,0.02362256869673729,0.01898137293756008,1,not_applicable
P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4102,0.008795864880084991,0.16486266255378723,0.47355327010154724,0.030017664656043053,0.025282131507992744,1,not_applicable
P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4102,0.004748092032968998,0.10676607489585876,0.3927939236164093,0.019352639093995094,0.015424699522554874,1,not_applicable
P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4102,0.0017951573245227337,0.08368298411369324,0.35773372650146484,0.013740792870521545,0.010163456201553345,1,not_applicable
P4084,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4102,0.004493178799748421,0.0961863100528717,0.4150332808494568,0.018262144178152084,0.014111810363829136,1,not_applicable
P4084,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4102,0.0017480195965617895,0.06758337467908859,0.3225022554397583,0.011731378734111786,0.008506356738507748,1,not_applicable
P4084,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4102,0.006893701385706663,0.14044713973999023,0.4407395124435425,0.025345809757709503,0.020938415080308914,1,not_applicable
P4084,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4102,0.010036688297986984,0.1304265707731247,0.6480576992034912,0.029559923335909843,0.023079346865415573,1,not_applicable
P4084,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4102,0.010956186801195145,0.18238404393196106,0.5597737431526184,0.034792330116033554,0.02919459156692028,1,not_applicable
P4084,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4102,0.004828819073736668,0.11333898454904556,0.39548981189727783,0.020117616280913353,0.01616271771490574,1,not_applicable
P4084,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4102,0.00658763013780117,0.1287790834903717,0.7279403209686279,0.026744943112134933,0.01946553960442543,1,not_applicable
P4084,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4102,0.0042213439010083675,0.09079691767692566,0.36927318572998047,0.016993766650557518,0.013301035389304161,1,not_applicable
P4084,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4102,0.007787223905324936,0.08877450227737427,0.3946967124938965,0.02061164192855358,0.016664674505591393,1,not_applicable
P4084,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4102,0.006011755205690861,0.0797133520245552,0.5129896998405457,0.01911298744380474,0.013983090408146381,1,not_applicable
P4084,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4102,0.00781365018337965,0.10703511536121368,0.43008601665496826,0.022818023338913918,0.018517162650823593,1,not_applicable
P4084,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4102,0.006227187812328339,0.07230492681264877,0.3522495627403259,0.01698017492890358,0.013457680121064186,1,not_applicable
P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4103,0.005418408662080765,0.1364111453294754,0.4688430428504944,0.02374795451760292,0.019059523940086365,1,not_applicable
P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4103,0.008848754689097404,0.16977515816688538,0.4780614674091339,0.030606886371970177,0.02582627162337303,1,not_applicable
P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4103,0.004275151994079351,0.1064641997218132,0.4127614498138428,0.019049186259508133,0.014921572059392929,1,not_applicable
P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4103,0.0018234141170978546,0.10668430477380753,0.3729535639286041,0.01622137986123562,0.012491844594478607,1,not_applicable
P4084,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4103,0.005131350830197334,0.11166674643754959,0.41690248250961304,0.02046705037355423,0.016298025846481323,1,not_applicable
P4084,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4103,0.0017939964309334755,0.07712119072675705,0.3345971405506134,0.012852086685597897,0.009506115689873695,1,not_applicable
P4084,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4103,0.007114136591553688,0.15849842131137848,0.43794772028923035,0.02734345570206642,0.022963978350162506,1,not_applicable
P4084,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4103,0.012433001771569252,0.1382736712694168,0.6357406377792358,0.03261777386069298,0.026260368525981903,1,not_applicable
P4084,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4103,0.009509631432592869,0.14960259199142456,0.5449565649032593,0.0299194548279047,0.02446988970041275,1,not_applicable
P4084,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4103,0.004369841888546944,0.11835229396820068,0.39378678798675537,0.020142940804362297,0.0162050724029541,1,not_applicable
P4084,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4103,0.007700914517045021,0.13106533885002136,0.7376992702484131,0.028184441849589348,0.020807448774576187,1,not_applicable
P4084,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4103,0.0045925648882985115,0.0760272890329361,0.36446744203567505,0.015839967876672745,0.012195293791592121,1,not_applicable
P4084,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4103,0.007073231972754002,0.09411566704511642,0.40198519825935364,0.020504649728536606,0.01648479886353016,1,not_applicable
P4084,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4103,0.005586603190749884,0.09099756926298141,0.5105599761009216,0.01979196071624756,0.014686360955238342,1,not_applicable
P4084,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4103,0.007699772249907255,0.08807890862226486,0.4226633906364441,0.02073429711163044,0.01650766283273697,1,not_applicable
P4084,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4103,0.00669795973226428,0.08114324510097504,0.36999380588531494,0.018512222915887833,0.014812285080552101,1,not_applicable
P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,4101,0.003638173220679164,0.08608350902795792,0.29753947257995605,0.015221919864416122,0.012246524915099144,1,not_applicable
P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,4101,0.007122821174561977,0.13022606074810028,0.31532901525497437,0.0232987180352211,0.02014542743563652,1,not_applicable
P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,4,4101,0.0024000240955501795,0.06989676505327225,0.2451695203781128,0.011841395869851112,0.00938970036804676,1,not_applicable
P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,4,4101,0.0010782534955069423,0.05858917534351349,0.21259628236293793,0.009063133969902992,0.006937171332538128,1,not_applicable
P4084,4,n01494475/ILSVRC2012_val_00027283_n01494475,4,4101,0.003824651939794421,0.07568961381912231,0.2574721574783325,0.013968334533274174,0.011393613182008266,1,not_applicable
P4084,5,n01496331/ILSVRC2012_val_00041248_n01496331,4,4101,0.0018730994779616594,0.054415859282016754,0.1827128380537033,0.009141813963651657,0.007314685732126236,1,not_applicable
P4084,6,n01498041/ILSVRC2012_val_00030470_n01498041,4,4101,0.005769247189164162,0.11823022365570068,0.29137763381004333,0.02050604671239853,0.01759226992726326,1,not_applicable
P4084,7,n01514668/ILSVRC2012_val_00016052_n01514668,4,4101,0.0072963181883096695,0.09280147403478622,0.4415583908557892,0.02099204808473587,0.016576465219259262,1,not_applicable
P4084,8,n01514859/ILSVRC2012_val_00006195_n01514859,4,4101,0.007427727337926626,0.11552978307008743,0.37439966201782227,0.022724702954292297,0.018980706110596657,1,not_applicable
P4084,9,n01518878/ILSVRC2012_val_00033181_n01518878,4,4101,0.003501221537590027,0.07533726841211319,0.23911190032958984,0.013426067307591438,0.011034948751330376,1,not_applicable
P4084,10,n01530575/ILSVRC2012_val_00027374_n01530575,4,4101,0.00534607470035553,0.08596983551979065,0.5087975263595581,0.019031032919883728,0.01394305843859911,1,not_applicable
P4084,11,n01531178/ILSVRC2012_val_00025888_n01531178,4,4101,0.0031172586604952812,0.06286182999610901,0.21795359253883362,0.011582977138459682,0.009403441101312637,1,not_applicable
P4084,12,n01532829/ILSVRC2012_val_00030042_n01532829,4,4101,0.005285567604005337,0.053655434399843216,0.24712881445884705,0.013122400268912315,0.010651111602783203,1,not_applicable
P4084,13,n01534433/ILSVRC2012_val_00030911_n01534433,4,4101,0.003663950366899371,0.05759085714817047,0.33953094482421875,0.012818345800042152,0.009423036128282547,1,not_applicable
P4084,14,n01537544/ILSVRC2012_val_00031716_n01537544,4,4101,0.005852829664945602,0.06946975737810135,0.27382880449295044,0.015538092702627182,0.012799805030226707,1,not_applicable
